master_prt,derived_prt,trial,trial_year,country_code,state_province_code,state_province_name,city,site_type,syngenta_fieldscientist,trial_placement,latitude,longitude,cooperator,exp_design,quality,trial_status,assmt_num,last_assessment_flag,plant_date,assmt_date,emergence_date,first_appl_date_trt,first_appl_date_trial,most_recent_appl_date_trt,most_recent_appl_date_trial,dap,dae,daf_appl_trial,damr_appl_trial,daf_appl_trt,damr_appl_trt,crop_code,crop,variety,crop_attributes,crop_stg_min,crop_stg_max,pest_code,pest,pest_attributes,pest_stg_min,pest_stg_max,assmt_type,part_rated,part_rated_role,unit_reporting_basis,contrt,trt_num,product_names,product_rate_unit,app_schedule,application_description,method,placement,timing,spray_volume,trt_flag,factora,factora_level_desc,factorb,factorb_level_desc,factorc,factorc_level_desc,mitf_code,mitf_level,plot_id,range,row,rep_num,trt_label,se_name,assmt_label,rep_value,check_mean_value,trt_mean_value,check_pct,climate_zone_code,climate_zone_decode,trial_trialdesigntype,forced_single_factor,harmonized_rep_value,harmonized_unit_reporting_basis,artificial_population,company,generated_on,flight_time,site_name,flightblock_name,subplot_num,subplot_values,trt_chk_plottype,appl_date,crop_stage_majority_at_appl,crop_stage_majority_percent_at_appl,crop_stage_min_at_appl,crop_stage_min_percent_at_appl,crop_stage_max_at_appl,crop_stage_max_percent_at_appl,crop_density_at_appl,crop_height_at_appl,pest_stage_majority_at_appl,pest_stage_majority_percent_at_appl,pest_stage_min_at_appl,pest_stage_min_percent_at_appl,pest_stage_max_at_appl,pest_stage_max_percent_at_appl,pest_density_at_appl,pest_density_min_at_appl,pest_density_max_at_appl,pest_height_at_appl,pest_coverage_at_appl,componentindividualairateandunit,componentrateandunit,loc,year,species_cultivar,cultivar,plot_length,plot_lengthunit_symbol,plot_width,plot_widthunit_symbol,plot_area_sqft,rep_value_per_sqft
FAD801A3-2021US,FAD801A3-2021US,USEA0F1012021,2021,US,WI,Wisconsin,Verona,turf - research,Darren Lycan,P,43.0247339,-89.5349717,Dr. Paul Koch,RCBD,1.0,F,8,No,,2021-06-30 00:00:00+00:00,,,2021-05-24 00:00:00,,2021-06-22 00:00:00,,,37,8,,,AGSST,Creeping bentgrass,Penncross,,MAINT,MAINT,CLAEJA,Clarireedia jacksonii,,,,COUNT - DISEASE LOCI / HIT OR STRIKE,PLOT,,number per 1 plot,,1,CHECK UNTREATED,,,,,,,,Primary Check,,,,,,,,,105,5,1,1,001 CHECK UNTREATED ,ZUSF014,008 Clarireedia jacksonii COUDIS PLOT number per 1 plot 37_DAA,31.0,87.25,87.25,0.0,,,Randomised complete block,,31.0,number per 1 plot,N,,,,,,,,,2021-05-24 00:00:00; 2021-06-08 00:00:00; 2021-06-15 00:00:00; 2021-06-22 00:00:00; 2021-07-06 00:00:00; 2021-07-21 00:00:00; 2021-07-27 00:00:00; 2021-08-03 00:00:00; 2021-08-17 00:00:00, TURF;  TURF;  TURF;  TURF;  TURF;  TURF;  TURF;  TURF;  TURF,; ; ; ; ; ; ; ; , TURF;  TURF;  TURF;  TURF;  TURF;  TURF;  TURF;  TURF;  TURF,; ; ; ; ; ; ; ; , TURF;  TURF;  TURF;  TURF;  TURF;  TURF;  TURF;  TURF;  TURF,; ; ; ; ; ; ; ; ,,, BBCH;  BBCH;  BBCH;  BBCH;  BBCH;  BBCH;  BBCH;  BBCH;  BBCH,; ; ; ; ; ; ; ; , BBCH;  BBCH;  BBCH;  BBCH;  BBCH;  BBCH;  BBCH;  BBCH;  BBCH,; ; ; ; ; ; ; ; , BBCH;  BBCH;  BBCH;  BBCH;  BBCH;  BBCH;  BBCH;  BBCH;  BBCH,; ; ; ; ; ; ; ; ,,,,, ;  ;  ;  ;  ;  ;  ;  ;  ,,,43.0247339_-89.5349717,2021,Creeping bentgrass_Penncross,Penncross,5.0,ft,3.0,ft,15.0,2.066666666666667
FAD801A3-2021US,FAD801A3-2021US,USEA0F1012021,2021,US,WI,Wisconsin,Verona,turf - research,Darren Lycan,P,43.0247339,-89.5349717,Dr. Paul Koch,RCBD,1.0,F,16,No,,2021-07-28 00:00:00+00:00,,,2021-05-24 00:00:00,,2021-07-27 00:00:00,,,65,1,,,AGSST,Creeping bentgrass,Penncross,,MAINT,MAINT,CLAEJA,Clarireedia jacksonii,,,,COUNT - DISEASE LOCI / HIT OR STRIKE,PLOT,,number per 1 plot,,1,CHECK UNTREATED,,,,,,,,Primary Check,,,,,,,,,208,8,2,2,001 CHECK UNTREATED ,ZUSF014,016 Clarireedia jacksonii COUDIS PLOT number per 1 plot 65_DAA,264.0,156.0,156.0,0.0,,,Randomised complete block,,264.0,number per 1 plot,N,,,,,,,,,2021-05-24 00:00:00; 2021-06-08 00:00:00; 2021-06-15 00:00:00; 2021-06-22 00:00:00; 2021-07-06 00:00:00; 2021-07-21 00:00:00; 2021-07-27 00:00:00; 2021-08-03 00:00:00; 2021-08-17 00:00:00, TURF;  TURF;  TURF;  TURF;  TURF;  TURF;  TURF;  TURF;  TURF,; ; ; ; ; ; ; ; , TURF;  TURF;  TURF;  TURF;  TURF;  TURF;  TURF;  TURF;  TURF,; ; ; ; ; ; ; ; , TURF;  TURF;  TURF;  TURF;  TURF;  TURF;  TURF;  TURF;  TURF,; ; ; ; ; ; ; ; ,,, BBCH;  BBCH;  BBCH;  BBCH;  BBCH;  BBCH;  BBCH;  BBCH;  BBCH,; ; ; ; ; ; ; ; , BBCH;  BBCH;  BBCH;  BBCH;  BBCH;  BBCH;  BBCH;  BBCH;  BBCH,; ; ; ; ; ; ; ; , BBCH;  BBCH;  BBCH;  BBCH;  BBCH;  BBCH;  BBCH;  BBCH;  BBCH,; ; ; ; ; ; ; ; ,,,,, ;  ;  ;  ;  ;  ;  ;  ;  ,,,43.0247339_-89.5349717,2021,Creeping bentgrass_Penncross,Penncross,5.0,ft,3.0,ft,15.0,17.6
FAD801A3-2021US,FAD801A3-2021US,USEA0F1012021,2021,US,WI,Wisconsin,Verona,turf - research,Darren Lycan,P,43.0247339,-89.5349717,Dr. Paul Koch,RCBD,1.0,F,1,No,,2021-05-26 00:00:00+00:00,,,2021-05-24 00:00:00,,2021-05-24 00:00:00,,,2,2,,,AGSST,Creeping bentgrass,Penncross,,MAINT,MAINT,CLAEJA,Clarireedia jacksonii,,,,COUNT - DISEASE LOCI / HIT OR STRIKE,PLOT,,number per 1 plot,,1,CHECK UNTREATED,,,,,,,,Primary Check,,,,,,,,,306,6,3,3,001 CHECK UNTREATED ,ZUSF014,001 Clarireedia jacksonii COUDIS PLOT number per 1 plot 2_DAA,0.0,3.25,3.25,0.0,,,Randomised complete block,,0.0,number per 1 plot,N,,,,,,,,,2021-05-24 00:00:00; 2021-06-08 00:00:00; 2021-06-15 00:00:00; 2021-06-22 00:00:00; 2021-07-06 00:00:00; 2021-07-21 00:00:00; 2021-07-27 00:00:00; 2021-08-03 00:00:00; 2021-08-17 00:00:00, TURF;  TURF;  TURF;  TURF;  TURF;  TURF;  TURF;  TURF;  TURF,; ; ; ; ; ; ; ; , TURF;  TURF;  TURF;  TURF;  TURF;  TURF;  TURF;  TURF;  TURF,; ; ; ; ; ; ; ; , TURF;  TURF;  TURF;  TURF;  TURF;  TURF;  TURF;  TURF;  TURF,; ; ; ; ; ; ; ; ,,, BBCH;  BBCH;  BBCH;  BBCH;  BBCH;  BBCH;  BBCH;  BBCH;  BBCH,; ; ; ; ; ; ; ; , BBCH;  BBCH;  BBCH;  BBCH;  BBCH;  BBCH;  BBCH;  BBCH;  BBCH,; ; ; ; ; ; ; ; , BBCH;  BBCH;  BBCH;  BBCH;  BBCH;  BBCH;  BBCH;  BBCH;  BBCH,; ; ; ; ; ; ; ; ,,,,, ;  ;  ;  ;  ;  ;  ;  ;  ,,,43.0247339_-89.5349717,2021,Creeping bentgrass_Penncross,Penncross,5.0,ft,3.0,ft,15.0,0.0
FAD801A3-2021US,FAD801A3-2021US,USEA0F1012021,2021,US,WI,Wisconsin,Verona,turf - research,Darren Lycan,P,43.0247339,-89.5349717,Dr. Paul Koch,RCBD,1.0,F,13,No,,2021-07-15 00:00:00+00:00,,,2021-05-24 00:00:00,,2021-07-06 00:00:00,,,52,9,,,AGSST,Creeping bentgrass,Penncross,,MAINT,MAINT,CLAEJA,Clarireedia jacksonii,,,,COUNT - DISEASE LOCI / HIT OR STRIKE,PLOT,,number per 1 plot,,1,CHECK UNTREATED,,,,,,,,Primary Check,,,,,,,,,306,6,3,3,001 CHECK UNTREATED ,ZUSF014,013 Clarireedia jacksonii COUDIS PLOT number per 1 plot 52_DAA,179.0,135.75,135.75,0.0,,,Randomised complete block,,179.0,number per 1 plot,N,,,,,,,,,2021-05-24 00:00:00; 2021-06-08 00:00:00; 2021-06-15 00:00:00; 2021-06-22 00:00:00; 2021-07-06 00:00:00; 2021-07-21 00:00:00; 2021-07-27 00:00:00; 2021-08-03 00:00:00; 2021-08-17 00:00:00, TURF;  TURF;  TURF;  TURF;  TURF;  TURF;  TURF;  TURF;  TURF,; ; ; ; ; ; ; ; , TURF;  TURF;  TURF;  TURF;  TURF;  TURF;  TURF;  TURF;  TURF,; ; ; ; ; ; ; ; , TURF;  TURF;  TURF;  TURF;  TURF;  TURF;  TURF;  TURF;  TURF,; ; ; ; ; ; ; ; ,,, BBCH;  BBCH;  BBCH;  BBCH;  BBCH;  BBCH;  BBCH;  BBCH;  BBCH,; ; ; ; ; ; ; ; , BBCH;  BBCH;  BBCH;  BBCH;  BBCH;  BBCH;  BBCH;  BBCH;  BBCH,; ; ; ; ; ; ; ; , BBCH;  BBCH;  BBCH;  BBCH;  BBCH;  BBCH;  BBCH;  BBCH;  BBCH,; ; ; ; ; ; ; ; ,,,,, ;  ;  ;  ;  ;  ;  ;  ;  ,,,43.0247339_-89.5349717,2021,Creeping bentgrass_Penncross,Penncross,5.0,ft,3.0,ft,15.0,11.933333333333334
FAD801A3-2021US,FAD801A3-2021US,USEA0F1012021,2021,US,WI,Wisconsin,Verona,turf - research,Darren Lycan,P,43.0247339,-89.5349717,Dr. Paul Koch,RCBD,1.0,F,1,No,,2021-05-26 00:00:00+00:00,,,2021-05-24 00:00:00,,2021-05-24 00:00:00,,,2,2,,,AGSST,Creeping bentgrass,Penncross,,MAINT,MAINT,CLAEJA,Clarireedia jacksonii,,,,COUNT - DISEASE LOCI / HIT OR STRIKE,PLOT,,number per 1 plot,,1,CHECK UNTREATED,,,,,,,,Primary Check,,,,,,,,,208,8,2,2,001 CHECK UNTREATED ,ZUSF014,001 Clarireedia jacksonii COUDIS PLOT number per 1 plot 2_DAA,10.0,3.25,3.25,0.0,,,Randomised complete block,,10.0,number per 1 plot,N,,,,,,,,,2021-05-24 00:00:00; 2021-06-08 00:00:00; 2021-06-15 00:00:00; 2021-06-22 00:00:00; 2021-07-06 00:00:00; 2021-07-21 00:00:00; 2021-07-27 00:00:00; 2021-08-03 00:00:00; 2021-08-17 00:00:00, TURF;  TURF;  TURF;  TURF;  TURF;  TURF;  TURF;  TURF;  TURF,; ; ; ; ; ; ; ; , TURF;  TURF;  TURF;  TURF;  TURF;  TURF;  TURF;  TURF;  TURF,; ; ; ; ; ; ; ; , TURF;  TURF;  TURF;  TURF;  TURF;  TURF;  TURF;  TURF;  TURF,; ; ; ; ; ; ; ; ,,, BBCH;  BBCH;  BBCH;  BBCH;  BBCH;  BBCH;  BBCH;  BBCH;  BBCH,; ; ; ; ; ; ; ; , BBCH;  BBCH;  BBCH;  BBCH;  BBCH;  BBCH;  BBCH;  BBCH;  BBCH,; ; ; ; ; ; ; ; , BBCH;  BBCH;  BBCH;  BBCH;  BBCH;  BBCH;  BBCH;  BBCH;  BBCH,; ; ; ; ; ; ; ; ,,,,, ;  ;  ;  ;  ;  ;  ;  ;  ,,,43.0247339_-89.5349717,2021,Creeping bentgrass_Penncross,Penncross,5.0,ft,3.0,ft,15.0,0.6666666666666666
FAD801A3-2021US,FAD801A3-2021US,USEA0F1012021,2021,US,WI,Wisconsin,Verona,turf - research,Darren Lycan,P,43.0247339,-89.5349717,Dr. Paul Koch,RCBD,1.0,F,13,No,,2021-07-15 00:00:00+00:00,,,2021-05-24 00:00:00,,2021-07-06 00:00:00,,,52,9,,,AGSST,Creeping bentgrass,Penncross,,MAINT,MAINT,CLAEJA,Clarireedia jacksonii,,,,COUNT - DISEASE LOCI / HIT OR STRIKE,PLOT,,number per 1 plot,,1,CHECK UNTREATED,,,,,,,,Primary Check,,,,,,,,,208,8,2,2,001 CHECK UNTREATED ,ZUSF014,013 Clarireedia jacksonii COUDIS PLOT number per 1 plot 52_DAA,115.0,135.75,135.75,0.0,,,Randomised complete block,,115.0,number per 1 plot,N,,,,,,,,,2021-05-24 00:00:00; 2021-06-08 00:00:00; 2021-06-15 00:00:00; 2021-06-22 00:00:00; 2021-07-06 00:00:00; 2021-07-21 00:00:00; 2021-07-27 00:00:00; 2021-08-03 00:00:00; 2021-08-17 00:00:00, TURF;  TURF;  TURF;  TURF;  TURF;  TURF;  TURF;  TURF;  TURF,; ; ; ; ; ; ; ; , TURF;  TURF;  TURF;  TURF;  TURF;  TURF;  TURF;  TURF;  TURF,; ; ; ; ; ; ; ; , TURF;  TURF;  TURF;  TURF;  TURF;  TURF;  TURF;  TURF;  TURF,; ; ; ; ; ; ; ; ,,, BBCH;  BBCH;  BBCH;  BBCH;  BBCH;  BBCH;  BBCH;  BBCH;  BBCH,; ; ; ; ; ; ; ; , BBCH;  BBCH;  BBCH;  BBCH;  BBCH;  BBCH;  BBCH;  BBCH;  BBCH,; ; ; ; ; ; ; ; , BBCH;  BBCH;  BBCH;  BBCH;  BBCH;  BBCH;  BBCH;  BBCH;  BBCH,; ; ; ; ; ; ; ; ,,,,, ;  ;  ;  ;  ;  ;  ;  ;  ,,,43.0247339_-89.5349717,2021,Creeping bentgrass_Penncross,Penncross,5.0,ft,3.0,ft,15.0,7.666666666666667
FAD801A3-2021US,FAD801A3-2021US,USEA0F1012021,2021,US,WI,Wisconsin,Verona,turf - research,Darren Lycan,P,43.0247339,-89.5349717,Dr. Paul Koch,RCBD,1.0,F,7,No,,2021-06-16 00:00:00+00:00,,,2021-05-24 00:00:00,,2021-06-15 00:00:00,,,23,1,,,AGSST,Creeping bentgrass,Penncross,,MAINT,MAINT,CLAEJA,Clarireedia jacksonii,,,,COUNT - DISEASE LOCI / HIT OR STRIKE,PLOT,,number per 1 plot,,1,CHECK UNTREATED,,,,,,,,Primary Check,,,,,,,,,105,5,1,1,001 CHECK UNTREATED ,ZUSF014,007 Clarireedia jacksonii COUDIS PLOT number per 1 plot 23_DAA,6.0,35.5,35.5,0.0,,,Randomised complete block,,6.0,number per 1 plot,N,,,,,,,,,2021-05-24 00:00:00; 2021-06-08 00:00:00; 2021-06-15 00:00:00; 2021-06-22 00:00:00; 2021-07-06 00:00:00; 2021-07-21 00:00:00; 2021-07-27 00:00:00; 2021-08-03 00:00:00; 2021-08-17 00:00:00, TURF;  TURF;  TURF;  TURF;  TURF;  TURF;  TURF;  TURF;  TURF,; ; ; ; ; ; ; ; , TURF;  TURF;  TURF;  TURF;  TURF;  TURF;  TURF;  TURF;  TURF,; ; ; ; ; ; ; ; , TURF;  TURF;  TURF;  TURF;  TURF;  TURF;  TURF;  TURF;  TURF,; ; ; ; ; ; ; ; ,,, BBCH;  BBCH;  BBCH;  BBCH;  BBCH;  BBCH;  BBCH;  BBCH;  BBCH,; ; ; ; ; ; ; ; , BBCH;  BBCH;  BBCH;  BBCH;  BBCH;  BBCH;  BBCH;  BBCH;  BBCH,; ; ; ; ; ; ; ; , BBCH;  BBCH;  BBCH;  BBCH;  BBCH;  BBCH;  BBCH;  BBCH;  BBCH,; ; ; ; ; ; ; ; ,,,,, ;  ;  ;  ;  ;  ;  ;  ;  ,,,43.0247339_-89.5349717,2021,Creeping bentgrass_Penncross,Penncross,5.0,ft,3.0,ft,15.0,0.4
FAD801A3-2021US,FAD801A3-2021US,USEA0F1012021,2021,US,WI,Wisconsin,Verona,turf - research,Darren Lycan,P,43.0247339,-89.5349717,Dr. Paul Koch,RCBD,1.0,F,21,Yes,,2021-08-25 00:00:00+00:00,,,2021-05-24 00:00:00,,2021-08-17 00:00:00,,,93,8,,,AGSST,Creeping bentgrass,Penncross,,MAINT,MAINT,CLAEJA,Clarireedia jacksonii,,,,COUNT - DISEASE LOCI / HIT OR STRIKE,PLOT,,number per 1 plot,,1,CHECK UNTREATED,,,,,,,,Primary Check,,,,,,,,,208,8,2,2,001 CHECK UNTREATED ,ZUSF014,021 Clarireedia jacksonii COUDIS PLOT number per 1 plot 93_DAA,40.0,51.5,51.5,0.0,,,Randomised complete block,,40.0,number per 1 plot,N,,,,,,,,,2021-05-24 00:00:00; 2021-06-08 00:00:00; 2021-06-15 00:00:00; 2021-06-22 00:00:00; 2021-07-06 00:00:00; 2021-07-21 00:00:00; 2021-07-27 00:00:00; 2021-08-03 00:00:00; 2021-08-17 00:00:00, TURF;  TURF;  TURF;  TURF;  TURF;  TURF;  TURF;  TURF;  TURF,; ; ; ; ; ; ; ; , TURF;  TURF;  TURF;  TURF;  TURF;  TURF;  TURF;  TURF;  TURF,; ; ; ; ; ; ; ; , TURF;  TURF;  TURF;  TURF;  TURF;  TURF;  TURF;  TURF;  TURF,; ; ; ; ; ; ; ; ,,, BBCH;  BBCH;  BBCH;  BBCH;  BBCH;  BBCH;  BBCH;  BBCH;  BBCH,; ; ; ; ; ; ; ; , BBCH;  BBCH;  BBCH;  BBCH;  BBCH;  BBCH;  BBCH;  BBCH;  BBCH,; ; ; ; ; ; ; ; , BBCH;  BBCH;  BBCH;  BBCH;  BBCH;  BBCH;  BBCH;  BBCH;  BBCH,; ; ; ; ; ; ; ; ,,,,, ;  ;  ;  ;  ;  ;  ;  ;  ,,,43.0247339_-89.5349717,2021,Creeping bentgrass_Penncross,Penncross,5.0,ft,3.0,ft,15.0,2.6666666666666665
FAD801A3-2021US,FAD801A3-2021US,USEA0F1012021,2021,US,WI,Wisconsin,Verona,turf - research,Darren Lycan,P,43.0247339,-89.5349717,Dr. Paul Koch,RCBD,1.0,F,2,No,,2021-06-02 00:00:00+00:00,,,2021-05-24 00:00:00,,2021-05-24 00:00:00,,,9,9,,,AGSST,Creeping bentgrass,Penncross,,MAINT,MAINT,CLAEJA,Clarireedia jacksonii,,,,COUNT - DISEASE LOCI / HIT OR STRIKE,PLOT,,number per 1 plot,,1,CHECK UNTREATED,,,,,,,,Primary Check,,,,,,,,,306,6,3,3,001 CHECK UNTREATED ,ZUSF014,002 Clarireedia jacksonii COUDIS PLOT number per 1 plot 9_DAA,8.0,8.0,8.0,0.0,,,Randomised complete block,,8.0,number per 1 plot,N,,,,,,,,,2021-05-24 00:00:00; 2021-06-08 00:00:00; 2021-06-15 00:00:00; 2021-06-22 00:00:00; 2021-07-06 00:00:00; 2021-07-21 00:00:00; 2021-07-27 00:00:00; 2021-08-03 00:00:00; 2021-08-17 00:00:00, TURF;  TURF;  TURF;  TURF;  TURF;  TURF;  TURF;  TURF;  TURF,; ; ; ; ; ; ; ; , TURF;  TURF;  TURF;  TURF;  TURF;  TURF;  TURF;  TURF;  TURF,; ; ; ; ; ; ; ; , TURF;  TURF;  TURF;  TURF;  TURF;  TURF;  TURF;  TURF;  TURF,; ; ; ; ; ; ; ; ,,, BBCH;  BBCH;  BBCH;  BBCH;  BBCH;  BBCH;  BBCH;  BBCH;  BBCH,; ; ; ; ; ; ; ; , BBCH;  BBCH;  BBCH;  BBCH;  BBCH;  BBCH;  BBCH;  BBCH;  BBCH,; ; ; ; ; ; ; ; , BBCH;  BBCH;  BBCH;  BBCH;  BBCH;  BBCH;  BBCH;  BBCH;  BBCH,; ; ; ; ; ; ; ; ,,,,, ;  ;  ;  ;  ;  ;  ;  ;  ,,,43.0247339_-89.5349717,2021,Creeping bentgrass_Penncross,Penncross,5.0,ft,3.0,ft,15.0,0.5333333333333333
FAD801A3-2021US,FAD801A3-2021US,USEA0F1012021,2021,US,WI,Wisconsin,Verona,turf - research,Darren Lycan,P,43.0247339,-89.5349717,Dr. Paul Koch,RCBD,1.0,F,8,No,,2021-06-30 00:00:00+00:00,,,2021-05-24 00:00:00,,2021-06-22 00:00:00,,,37,8,,,AGSST,Creeping bentgrass,Penncross,,MAINT,MAINT,CLAEJA,Clarireedia jacksonii,,,,COUNT - DISEASE LOCI / HIT OR STRIKE,PLOT,,number per 1 plot,,1,CHECK UNTREATED,,,,,,,,Primary Check,,,,,,,,,208,8,2,2,001 CHECK UNTREATED ,ZUSF014,008 Clarireedia jacksonii COUDIS PLOT number per 1 plot 37_DAA,115.0,87.25,87.25,0.0,,,Randomised complete block,,115.0,number per 1 plot,N,,,,,,,,,2021-05-24 00:00:00; 2021-06-08 00:00:00; 2021-06-15 00:00:00; 2021-06-22 00:00:00; 2021-07-06 00:00:00; 2021-07-21 00:00:00; 2021-07-27 00:00:00; 2021-08-03 00:00:00; 2021-08-17 00:00:00, TURF;  TURF;  TURF;  TURF;  TURF;  TURF;  TURF;  TURF;  TURF,; ; ; ; ; ; ; ; , TURF;  TURF;  TURF;  TURF;  TURF;  TURF;  TURF;  TURF;  TURF,; ; ; ; ; ; ; ; , TURF;  TURF;  TURF;  TURF;  TURF;  TURF;  TURF;  TURF;  TURF,; ; ; ; ; ; ; ; ,,, BBCH;  BBCH;  BBCH;  BBCH;  BBCH;  BBCH;  BBCH;  BBCH;  BBCH,; ; ; ; ; ; ; ; , BBCH;  BBCH;  BBCH;  BBCH;  BBCH;  BBCH;  BBCH;  BBCH;  BBCH,; ; ; ; ; ; ; ; , BBCH;  BBCH;  BBCH;  BBCH;  BBCH;  BBCH;  BBCH;  BBCH;  BBCH,; ; ; ; ; ; ; ; ,,,,, ;  ;  ;  ;  ;  ;  ;  ;  ,,,43.0247339_-89.5349717,2021,Creeping bentgrass_Penncross,Penncross,5.0,ft,3.0,ft,15.0,7.666666666666667
