id,variant_id,ch_allowed_plan_tiers,meditation_type,published_at,position,title,language,content_group,description,icon_asset_id,is_hidden,should_play_as_guide,search_category,upsell_variant,is_clinical,created_at,updated_at,content_type,author_id,author_name,author_should_display,narrator_id,narrator_name,narrator_bio,narrator_is_composer,narrator_created_at,narrator_updated_at,narrator_headshot_id,narrator_headshot_type,narrator_headshot_content_type,narrator_headshot_size,narrator_headshot_url,narrator_headshot_width,narrator_headshot_height,narrator_headshot_dominant_colors,background_image_id,background_image_type,background_image_content_type,background_image_size,background_image_url,background_image_width,background_image_height,background_image_dominant_colors,titled_background_image_id,titled_background_image_type,titled_background_image_content_type,titled_background_image_size,titled_background_image_url,titled_background_image_width,titled_background_image_height,titled_background_image_dominant_colors,cell_image_id,cell_image_type,cell_image_content_type,cell_image_size,cell_image_url,cell_image_width,cell_image_height,cell_image_dominant_colors,untitled_cell_image_id,untitled_cell_image_type,untitled_cell_image_content_type,untitled_cell_image_size,untitled_cell_image_url,untitled_cell_image_width,untitled_cell_image_height,untitled_cell_image_dominant_colors,restricted_to_products,narrator_short_bio,narrator_medium_bio,cell_background_image_id,cell_background_image_type,cell_background_image_content_type,cell_background_image_size,cell_background_image_url,cell_background_image_width,cell_background_image_height,cell_background_image_dominant_colors,metadata_indexed_search_text,metadata_program_view_hides_play_button,featured_start_at,featured_end_at,subtitle,featured_home_icon_id,featured_home_icon_type,featured_home_icon_content_type,featured_home_icon_size,featured_home_icon_url,featured_home_icon_width,featured_home_icon_height,featured_home_icon_dominant_colors
dGBwjwlVIq,u6fg5kerc-,"['calm_health', 'calm_health_premium', 'ch-payor-base', 'ch-payor-buyup']",sleep,2024-05-08T08:00:00.000Z,11452,Dreams of He Sapa,de,0-default,Let the spirit of Lakota wisdom guide you through the South Dakota prairie. Advised by Loretta Jordan. Music composed by Robert Tree Cody and performed by Tiana Spotted Thunder.,eba60239dfa3fbb1adcc2715dc92a57f,False,True,sleep_stories,generic,False,2024-04-04T15:36:17.927Z,2024-04-30T21:11:39.541Z,굿나잇 스토리,9kKPO5Q1,Christina Yang,True,abZyiYKKvP,Christine Hegeler,"Christine Hegeler는 성우 겸 작가로 활동하고 있습니다. 라디오 방송국에서 인턴십을 하던 중 그 목소리의 가치가 발견되었습니다. 인턴십을 하며 성우 트레이닝을 포함한 연수 과정을 마쳤습니다. 그 후 몇 년 동안 방송 편집자로 일했으며 현재는 프리랜서로 활동 중입니다. 성우로도 활동 중이며, 종종 직접 음성 연출을 맡기도 하고 영어 다큐멘터리를 독일어 버전으로 제작하기도 합니다. 또한 기업과 다양한 기관을 대상으로 미디어 교육 강좌를 진행하고 있습니다. 개인적으로 Christine은 세 마리의 반려견과 함께 시간을 보내는 것을 즐기며 동물 복지에 힘쓰고 있습니다.",False,2024-02-12T14:04:34.246Z,2024-02-12T14:17:28.462Z,8555140bf56a88b253bf47cc33de9406,image,image/jpeg,41493,https://assets.calm.com/8555140bf56a88b253bf47cc33de9406.jpeg,430,430,"['#c48d7c', '#614e1e']",2feac36165cf4ef1546cb286838708f5,image,image/jpeg,9545225,https://assets.calm.com/2feac36165cf4ef1546cb286838708f5.jpeg,2000,2000,"['#b85d36', '#644d13']",4e1a98422bcf794d1b5015eaed5ce656,image,image/jpeg,985717,https://assets.calm.com/4e1a98422bcf794d1b5015eaed5ce656.jpeg,2000,2000,"['#ba572f', '#59440c']",4e1a98422bcf794d1b5015eaed5ce656,image,image/jpeg,985717,https://assets.calm.com/4e1a98422bcf794d1b5015eaed5ce656.jpeg,2000,2000,"['#ba572f', '#59440c']",2feac36165cf4ef1546cb286838708f5,image,image/jpeg,9545225,https://assets.calm.com/2feac36165cf4ef1546cb286838708f5.jpeg,2000,2000,"['#b85d36', '#644d13']",,,,,,,,,,,,,,,,,,,,,,,,
y0QUJhiGUJ,4jD-0q9vqz,"['calm_health', 'calm_health_premium', 'ch-payor-base', 'ch-payor-buyup']",sleep,2025-06-25T08:00:00.000Z,12546,Minor Mysteries: The Lucky Hat,de,0-default,"Following their previous adventures in Whitby, a bookshop owner and his niece dive into a new mystery involving a lost hat, uncovering secrets of the past and a surprising family connection.",23ebaf77b493f90e12f15d1bde3725ea,False,True,sleep_stories,generic,False,2025-05-23T14:25:34.501Z,2025-06-18T15:49:49.184Z,굿나잇 스토리,63PB06XR,Andrew Martin,True,ErsVnwaLnj,Arlette Stanschus,"Arlette Stanschus는 1975년 메클렌부르크포어포메른에서 태어나 베를린에서 자랐습니다. 함부르크에서 배우 교육을 받고 독일의 다양한 연극 무대에서 연기 경력을 쌓기 시작했습니다. 배우의 꿈과 희망 직업을 품은 Arlette는 곧 구어에 대한 열정을 깨달았습니다. 현재는 주로 성우, 대화책 작가, 감독으로 활동하고 있습니다. 많은 유명 더빙 및 라디오극 제작물에서 Arlette의 목소리를 들을 수 있습니다. 특히 젊은 관객들은 ""퍼피 구조대"", ""TKKG -Junior"", ""보루토"", ""일곱 개의 대죄"", ""Die Superzings""로 Arlette를 잘 알고 있습니다.",False,2024-03-20T18:06:22.141Z,2024-03-20T18:18:44.278Z,470331878f262e59c32c7e50e8018106,image,image/png,1036277,https://assets.calm.com/470331878f262e59c32c7e50e8018106.png,795,802,"['#b88546', '#5e4424']",65f570e26cfad7457a38d59f0f9d590f,image,image/jpeg,3316552,https://assets.calm.com/65f570e26cfad7457a38d59f0f9d590f.jpeg,2000,2000,"['#dd772c', '#781a04']",b22a7c884345e8959659e2f6ba511446,image,image/jpeg,3263971,https://assets.calm.com/b22a7c884345e8959659e2f6ba511446.jpeg,2000,2000,"['#f48932', '#781a04']",b22a7c884345e8959659e2f6ba511446,image,image/jpeg,3263971,https://assets.calm.com/b22a7c884345e8959659e2f6ba511446.jpeg,2000,2000,"['#f48932', '#781a04']",65f570e26cfad7457a38d59f0f9d590f,image,image/jpeg,3316552,https://assets.calm.com/65f570e26cfad7457a38d59f0f9d590f.jpeg,2000,2000,"['#dd772c', '#781a04']",,,,,,,,,,,,,,,,,,,,,,,,
A7zCdDAPS1,DUDcNd9mGc,"['calm_health', 'calm_health_premium', 'ch-payor-base', 'ch-payor-buyup']",sleep,2025-10-29T09:00:00.000Z,12690,The Rocky Mountain Ride: An Ocean of Moments,de,0-default,"Join me on a breathtaking journey through the Rocky Mountains, traveling from Banff to Kamloops. As the train glides gently through majestic landscapes, you will encounter the quiet grandeur of nature, and within you a tender sense of slowing down will awaken.",b92c364acb5a59be61f3832d6225526e,False,True,sleep_stories,generic,False,2025-09-24T20:36:02.544Z,2025-10-28T17:16:40.920Z,굿나잇 스토리,1KYqELWR,Ameli Dziemba,True,ma8J-jdvZf,Ameli Dziemba,"Ameli는 유명한 Folkwang University of Arts에서 재즈를 공부했습니다. 가수로서의 경력은 재즈부터 싱어송라이터, 자유로운 즉흥 음악에 이르기까지 다양하며, 다양한 앙상블(Glenn-Miller-Orchestra, WDR Big Band 등)과 함께 수많은 프로덕션을 선보이고 있습니다. 연극 및 무용 음악 프로덕션뿐만 아니라 국내 및 국제 합창단 프로젝트를 위한 음악을 작곡합니다. 오디오북과 광고에서 Ameli의 목소리를 들을 수 있으며, 현재 새로운 보이스 코칭 개념을 만들고 있습니다.",False,2019-05-14T01:19:42.537Z,2023-11-07T20:19:14.607Z,de9a9df736a13d86cadd21cfd434fdb1,image,image/png,400392,https://assets.calm.com/de9a9df736a13d86cadd21cfd434fdb1.png,800,800,"['#110d08', '#cba986', '#796c55']",b3a1959e794513cf883c35d48e71ca88,image,image/jpeg,3493252,https://assets.calm.com/b3a1959e794513cf883c35d48e71ca88.jpeg,2000,2000,"['#dd834b', '#71231c']",0bc3181438c180a1fbccafef0a33a9af,image,image/jpeg,1569925,https://assets.calm.com/0bc3181438c180a1fbccafef0a33a9af.jpeg,2000,2000,"['#e2723f', '#752515']",0bc3181438c180a1fbccafef0a33a9af,image,image/jpeg,1569925,https://assets.calm.com/0bc3181438c180a1fbccafef0a33a9af.jpeg,2000,2000,"['#e2723f', '#752515']",b3a1959e794513cf883c35d48e71ca88,image,image/jpeg,3493252,https://assets.calm.com/b3a1959e794513cf883c35d48e71ca88.jpeg,2000,2000,"['#dd834b', '#71231c']",,,,,,,,,,,,,,,,,,,,,,,,
f6sW8pP4bi,350ZiMYzQb,"['ch-payor-buyup', 'ch-payor-base', 'calm_health_premium', 'calm_health']",sleep,2025-04-23T08:00:00.000Z,11936,An Island out of this World,de,0-default,"Go on an adventure to Isabela Island, in the archipelago of Galápagos, and fill your senses with all the wildlife and nature this place has to offer.",755149cb9f2f7a049ca77d08416e207e,False,True,sleep_stories,generic,False,2025-02-26T14:05:04.037Z,2025-04-17T18:16:26.521Z,굿나잇 스토리,2Q4XvOXJ,Fer Williams,True,Bt-ol5ejvA,Katinka Jaekel,"Katinka has been a voice-over artist, presenter, and writer for years. Known as a versatile Northern German voice, she even voices toddlers. She began with Bravo TV, became the voice of E-Plus, narrated for HanseMerkur, voiced Werther’s Original, and hosted on NDR 90.3. She’s the station voice for Antenne Thüringen, NDR2, Radio PSR, NDR TV, and narrates Jahrhundertliebe, Hofgeschichten, Die Leopardin, Die kleine Hexe, TKKG. She also narrates the acclaimed MONET exhibition and offers readings and voice coaching.",False,2025-03-11T16:26:09.433Z,2025-07-08T14:18:46.181Z,3fac530356a3aded0397b376522b213b,image,image/jpeg,1403726,https://assets.calm.com/3fac530356a3aded0397b376522b213b.jpeg,2217,2217,"['#c28c78', '#663d2d']",ff351dd29e0302586d786857955b122a,image,image/jpeg,1415147,https://assets.calm.com/ff351dd29e0302586d786857955b122a.jpeg,2000,2000,"['#0492be', '#055085']",c7c4dff5176b958c04122a7b28ed660f,image,image/jpeg,1459835,https://assets.calm.com/c7c4dff5176b958c04122a7b28ed660f.jpeg,2000,2000,"['#0470c8', '#04597f']",c7c4dff5176b958c04122a7b28ed660f,image,image/jpeg,1459835,https://assets.calm.com/c7c4dff5176b958c04122a7b28ed660f.jpeg,2000,2000,"['#0470c8', '#04597f']",ff351dd29e0302586d786857955b122a,image,image/jpeg,1415147,https://assets.calm.com/ff351dd29e0302586d786857955b122a.jpeg,2000,2000,"['#0492be', '#055085']",[],,,,,,,,,,,,,,,,,,,,,,,
9ccJB3sHgS,PklcjTw769,"['calm_health', 'calm_health_premium', 'ch-payor-base', 'ch-payor-buyup']",sleep,2025-10-22T08:00:00.000Z,12677,My Heart in The Highlands,de,0-default,"Journey across the sublime scenery of the Scottish Highlands in an enchanted, centuries-spanning romance.",46d155a465fc3ed38300a9508f7ea468,False,True,sleep_stories,generic,False,2025-09-03T23:14:18.009Z,2025-10-09T16:59:36.291Z,굿나잇 스토리,J3GLVZ5W,JH Yun,True,9xj9b2oksg,안네 몰,"로스토크 출신의 안네 몰은 에른스트 부쉬 아카데미에서 연기를 배웠습니다. 코트부스 국립극장, 쿠어퓌르스텐담 코뫼디, 함부르크 에른스트 도이치 극장, 루르 페스티벌, 룩셈부르크 국립극장에서 공연했습니다. 2015/16년에는 로테 로젠에 출연했고, 이후 그로스슈타트레비어, 소코 비스마르, 데어 레러에 출연했습니다. 그녀는 오디오북의 선구자인 선구자로서 골드 레코드 2개와 플래티넘 레코드 1개, 독일 오디오 영화상을 받았습니다. 또한 그레이스 앤 프랭키에서 제인 폰다의 목소리를 맡았으며, 함부르크에서 가족과 함께 살고 있습니다.",False,2025-08-26T15:16:20.657Z,2025-08-26T15:19:14.674Z,0400dfd271ab1c4928549bfe696d916f,image,image/jpeg,929895,https://assets.calm.com/0400dfd271ab1c4928549bfe696d916f.jpeg,2000,2000,"['#4d89bd', '#5e371f']",428dba468bde6dc205cf4d89698c8b68,image,image/jpeg,3956752,https://assets.calm.com/428dba468bde6dc205cf4d89698c8b68.jpeg,2386,2386,"['#64acbc', '#041a1d']",fd3f28e5f2d9de18e63a1cd5b548300e,image,image/jpeg,2894129,https://assets.calm.com/fd3f28e5f2d9de18e63a1cd5b548300e.jpeg,2000,2000,"['#8bbccd', '#0c1c1d']",fd3f28e5f2d9de18e63a1cd5b548300e,image,image/jpeg,2894129,https://assets.calm.com/fd3f28e5f2d9de18e63a1cd5b548300e.jpeg,2000,2000,"['#8bbccd', '#0c1c1d']",428dba468bde6dc205cf4d89698c8b68,image,image/jpeg,3956752,https://assets.calm.com/428dba468bde6dc205cf4d89698c8b68.jpeg,2386,2386,"['#64acbc', '#041a1d']",,,,,,,,,,,,,,,,,,,,,,,,
6SH6TLQY9R,IkPCWMpGmu,"['calm_health', 'calm_health_premium', 'ch-payor-base', 'ch-payor-buyup']",sleep,2024-09-25T08:00:00.000Z,11585,In the Streets of Bordeaux,de,0-default,"Discover the beautiful city of Bordeaux, in south-west of France. Marvel at its architecture, stroll in its verdant public gardens and wander on the refitted quays along the Garonne river.",80fd9b80f793686460e8365fa25cddbb,False,True,sleep_stories,generic,False,2024-08-01T13:53:39.934Z,2024-09-05T17:28:24.731Z,굿나잇 스토리,KqV4kOPJ,Sophie Loquet Pacier,True,Y0U2aSNnLl,Beate Rysopp,"Beate는 무대 경험이 풍부한 연기자 겸 샹송 가수로 현재
ARD, ZDF, arte, NDR 등의
다큐멘터리, 보도 및 매거진에서 연사로 활동하고 있습니다. Beate는 20년 가까이 NDR 라디오(정보 및 문화)
뉴스를 전달해 왔습니다. 이뿐만 아니라 다양한 오디오북과 라디오극에서 연기자로 출연하며 시각 장애인을 위한 음성 해설에도 참여하고 있습니다. Beate는 아이들이 편안하게 잠들 수 있도록 수년간 굿나잇 스토리를 읽어 주고 있습니다.",False,2022-03-28T15:43:19.447Z,2022-03-28T15:51:20.675Z,7afa319eee6bb90ac5df5eec1ed68285,image,image/jpeg,36720,https://assets.calm.com/7afa319eee6bb90ac5df5eec1ed68285.jpeg,403,403,"['#ae7454', '#543424']",c6f6cdb000a9e84886063c3e62f9115b,image,image/jpeg,2197248,https://assets.calm.com/c6f6cdb000a9e84886063c3e62f9115b.jpeg,2000,2000,"['#1aa9de', '#146ab2']",c43cffc33292c6d441026b7ec7ec71d6,image,image/jpeg,2358232,https://assets.calm.com/c43cffc33292c6d441026b7ec7ec71d6.jpeg,2000,2000,"['#13bbe9', '#146ab2']",c43cffc33292c6d441026b7ec7ec71d6,image,image/jpeg,2358232,https://assets.calm.com/c43cffc33292c6d441026b7ec7ec71d6.jpeg,2000,2000,"['#13bbe9', '#146ab2']",c6f6cdb000a9e84886063c3e62f9115b,image,image/jpeg,2197248,https://assets.calm.com/c6f6cdb000a9e84886063c3e62f9115b.jpeg,2000,2000,"['#1aa9de', '#146ab2']",[],,,,,,,,,,,,,,,,,,,,,,,
tJi4ZLTo9j,wrw22ST8b_,"['calm_health', 'calm_health_premium', 'ch-payor-base', 'ch-payor-buyup']",sleep,2025-10-15T08:00:00.000Z,12643,On the Waters of Titicaca,de,0-default,"Embark on a captivating journey as you sail along Lake Titicaca and learn about the fascinating history of the Uros, their floating islands and their profound respect for the world around us.",9b3fec75d19f3c3acf95b9c47e780532,False,True,sleep_stories,generic,False,2025-08-07T21:57:38.401Z,2025-09-24T21:02:07.474Z,굿나잇 스토리,2Q4XvOXJ,Fer Williams,True,qPAcmEkgwZ,Christian Baumann,"Christian Baumann은 1967년 란츠후트에서 태어났습니다. 라디오 아나운서가 되기 위한 교육을 받았으며 Suzanne Geyer와 함께 연기를 공부했습니다. 1996년부터 뮌헨 Metropoltheater 극장(""The Black Rider"", ""Tannöd"")과 Gärtnerplatz 국립 극장(""Die Dubarry"") 등의 무대에 섰습니다. ""Der Pass""(그리메상 수상)와 ""Polizeiruf 110"" 등의 TV 드라마에도 출연했습니다. Bavarian 라디오에서 정기적으로 목소리 출연을 하고 있고 다큐멘터리, 오디오북, ""Welt der Wunder""의 내레이션을 맡고 있습니다. Klaus Kordon 소설 낭독으로 찬사를 받기도 했습니다. 2019년부터 ""Aktenzeichen XY"" TV 프로그램과 BR24와 Deutschlandfunk Kultur 라디오에서 성우로 활동하고 있습니다.",False,2025-04-23T16:40:03.301Z,2025-04-23T16:44:54.845Z,7318478861d231e8122c57084026d655,image,image/png,1428248,https://assets.calm.com/7318478861d231e8122c57084026d655.png,1062,1062,"['#b1774d', '#5c3e28']",1edfe73003140895845b7e3ac436f191,image,image/jpeg,2673397,https://assets.calm.com/1edfe73003140895845b7e3ac436f191.jpeg,2500,2500,"['#c45c1c', '#53290a']",51f17b15e0ccd62cdc80645f2ea27c8c,image,image/jpeg,1930307,https://assets.calm.com/51f17b15e0ccd62cdc80645f2ea27c8c.jpeg,2000,2000,"['#c45c1c', '#52280a']",51f17b15e0ccd62cdc80645f2ea27c8c,image,image/jpeg,1930307,https://assets.calm.com/51f17b15e0ccd62cdc80645f2ea27c8c.jpeg,2000,2000,"['#c45c1c', '#52280a']",1edfe73003140895845b7e3ac436f191,image,image/jpeg,2673397,https://assets.calm.com/1edfe73003140895845b7e3ac436f191.jpeg,2500,2500,"['#c45c1c', '#53290a']",,,,,,,,,,,,,,,,,,,,,,,,
JtPoJtnUqI,RsUq0Hfnni,"['calm_health', 'calm_health_premium', 'ch-payor-base', 'ch-payor-buyup']",sleep,2023-06-28T08:00:00.000Z,10871,The Glow Within,de,0-default,Take a little jaunt to the land of creativity where you will be inspired to sweet dreams.,470973b60a92ce5e511496f1e4dac6f4,False,True,sleep_stories,generic,False,2023-04-28T15:46:46.859Z,2023-06-26T16:46:52.139Z,굿나잇 스토리,yEJXxgzM,Paola Villegas & C. Rardon,True,_5VnDGUkSw,Elena Wilms,"Elena Wilms는 함부르크의 공연 예술 극장 스튜디오에서 연기 교육을 받았습니다. 주로 오디오북, 라디오극, 더빙 및 광고 분야에서 1999년부터 연사로 일해왔습니다. 다른 무엇보다도 Corina Bomann, Tabea Bach, Lena Karmann 및 Nora Roberts가 쓴 소설의 오디오북과 Sebastian Fitzek가 쓴 라디오극 ""The Three ???"", ""The Three !!!"", ""The Alster Detectives"" 또는 ""Passenger 23""의 내래이터로 알려져 있습니다. 또한 ""Grace and Frankie"" 시리즈에서 Brooklyn Decker의 더빙 목소리, arte, ZDF, NDR, Discovery 채널의 TV 다큐멘터리 성우 및 NDR 텔레비전의 트레일러 목소리를 맡기도 했습니다.",False,2023-03-28T09:36:36.021Z,2023-03-28T09:38:15.897Z,3810ffeb984f0cd0403c59bc733a170e,image,image/jpeg,836922,https://assets.calm.com/3810ffeb984f0cd0403c59bc733a170e.jpeg,1120,1120,"['#3fbf6f', '#040c07']",1236acef3e51374fd264cb2125c3a3bd,image,image/jpeg,2159154,https://assets.calm.com/1236acef3e51374fd264cb2125c3a3bd.jpeg,2000,2000,"['#547abb', '#364f72']",52b0b964beca2fd54bd43903d1a0f920,image,image/jpeg,2234089,https://assets.calm.com/52b0b964beca2fd54bd43903d1a0f920.jpeg,2000,2000,"['#5479bb', '#364f72']",52b0b964beca2fd54bd43903d1a0f920,image,image/jpeg,2234089,https://assets.calm.com/52b0b964beca2fd54bd43903d1a0f920.jpeg,2000,2000,"['#5479bb', '#364f72']",1236acef3e51374fd264cb2125c3a3bd,image,image/jpeg,2159154,https://assets.calm.com/1236acef3e51374fd264cb2125c3a3bd.jpeg,2000,2000,"['#547abb', '#364f72']",,,,,,,,,,,,,,,,,,,,,,,,
wjDCZybJ3-,cBoD2bfQPJ,"['calm_health', 'calm_health_premium', 'ch-payor-base', 'ch-payor-buyup']",sleep,2025-03-12T09:00:00.000Z,11901,Hiroto's Tree of Life,de,0-default,"Join an elderly bonsai master as he shapes a tree for his granddaughter, reflecting on a life of love, growth, and the art of patience.",79b94cf828620e8ffc796df4cd1d733b,False,True,sleep_stories,generic,False,2025-02-07T15:06:25.923Z,2025-11-17T16:55:26.789Z,굿나잇 스토리,rzGM3Q2w,Charles Duffie,True,92dWPZB_kP,Verena Wolfien,"Verena Wolfien은 영화, TV, 연극에서 배우로 활약 중입니다. Ernst-Deutsch-Theater, Altonaer Theater, St. Pauli Theater에서 공연한 경험이 있습니다 2012년에 Verena는 영화 ""Sleeping Dogs""에서의 뛰어난 연기로 골든 릴 어워드를 수상했습니다. 이미 ""Die Kanzlei"", ""Soko Stuttgart"", ""Morden im Norden"" ""Großstadtrevier"" 등 다양한 TV 프로그램에 출연했습니다. 말하기에 큰 열정을 가지고 있습니다. ""Die drei ???"" 등의 라디오 연극에 출연했고, 200여 권의 오디오북을 읽었으며 ARD, ZDF, arte 등에서 정기적으로 다큐멘터리 내레이션을 맡고 있습니다.",False,2024-12-02T17:04:12.030Z,2024-12-02T17:14:41.556Z,751898831afe2829a20d81e292156023,image,image/jpeg,532843,https://assets.calm.com/751898831afe2829a20d81e292156023.jpeg,1157,1161,"['#cc477d', '#751936']",39fb34a488278dec22c399265b0a5274,image,image/jpeg,1379192,https://assets.calm.com/39fb34a488278dec22c399265b0a5274.jpeg,2000,2000,"['#d3b623', '#877318']",66dbb67b8731b06f007c57b84cf55d81,image,image/jpeg,1421848,https://assets.calm.com/66dbb67b8731b06f007c57b84cf55d81.jpeg,2000,2000,"['#cdb321', '#7f7e12']",66dbb67b8731b06f007c57b84cf55d81,image,image/jpeg,1421848,https://assets.calm.com/66dbb67b8731b06f007c57b84cf55d81.jpeg,2000,2000,"['#cdb321', '#7f7e12']",5d262d8d5925f10a99c5410cc20c5378,image,image/jpeg,1382619,https://assets.calm.com/5d262d8d5925f10a99c5410cc20c5378.jpeg,2000,2000,"['#d3b623', '#887318']",[],,,5d262d8d5925f10a99c5410cc20c5378,image,image/jpeg,1382619.0,https://assets.calm.com/5d262d8d5925f10a99c5410cc20c5378.jpeg,2000.0,2000.0,"['#d3b623', '#887318']",,,,,,,,,,,,,
z0-W91gmnp,dKqzt3D9lC,"['calm_health', 'ch-payor-base', 'calm_health_premium', 'ch-payor-buyup']",sleep,2025-05-07T08:00:00.000Z,12481,Sleep On ,de,0-default,"Step into the quiet realm of the night station and board the waiting train — a faithful companion, ready to carry you safely and gently into the world of dreams.",b405ccba49a04445674ceb6a3dd59a10,False,True,sleep_stories,generic,False,2025-04-11T13:02:58.185Z,2025-05-06T16:46:43.107Z,굿나잇 스토리,WyyB6VWW,Sigrid Behrens,True,Ey9AiPk3GY,Susanne Hauf,"Susanne Hauf는 연사, 정치인, 팀 리더, 교사를 포함해 강연 역량을 향상시키고자 하는 모든 사람을 위해 코치로 일합니다. 그녀의 목소리는 수많은 광고와 유명 브랜드(Adidas, Alfa Romeo, AllTours, Audi, Fressnapf, Vodafone, Zalando 등)의 이미지 영상과 더불어 다큐멘터리, 영화, 편집물, 온라인 학습, 오디오 설명 및 라디오에서 들을 수 있습니다. 또한 Sat1, Sixx, Radio NRW, DONAU 3FM, Hitradio Namibia 등에서 활동하였으며, 2010년부터는 rbb 텔레비전의 방송국에서 일하고 있습니다. 그녀의 고객들은 Susanne Hauf의 전문성과 진정성, 편안한 태도, 그리고 뛰어난 목소리 연기를 좋아합니다.",False,2020-05-15T20:32:22.245Z,2020-05-20T01:22:59.275Z,2ebab261f7c7381d74ade204bb7293c6,image,image/jpeg,284238,https://assets.calm.com/2ebab261f7c7381d74ade204bb7293c6.jpeg,746,746,"['#9f938e', '#362823', '#383c54']",6537c1d56db5a22a8090298026494acb,image,image/jpeg,966586,https://assets.calm.com/6537c1d56db5a22a8090298026494acb.jpeg,2000,2000,"['#195da0', '#153467']",0870122166d496425fd25ad82ea9275b,image,image/jpeg,1002048,https://assets.calm.com/0870122166d496425fd25ad82ea9275b.jpeg,2000,2000,"['#195ea4', '#153264']",0870122166d496425fd25ad82ea9275b,image,image/jpeg,1002048,https://assets.calm.com/0870122166d496425fd25ad82ea9275b.jpeg,2000,2000,"['#195ea4', '#153264']",6537c1d56db5a22a8090298026494acb,image,image/jpeg,966586,https://assets.calm.com/6537c1d56db5a22a8090298026494acb.jpeg,2000,2000,"['#195da0', '#153467']",,,,,,,,,,,,,,,,,,,,,,,,
