id,variant_id,ch_allowed_plan_tiers,meditation_type,published_at,position,title,subtitle,language,content_group,description,icon_asset_id,is_hidden,should_play_as_guide,search_category,upsell_variant,is_clinical,created_at,updated_at,content_type,author_id,author_name,author_should_display,narrator_id,narrator_name,narrator_bio,narrator_is_composer,narrator_created_at,narrator_updated_at,narrator_headshot_id,narrator_headshot_type,narrator_headshot_content_type,narrator_headshot_size,narrator_headshot_url,narrator_headshot_width,narrator_headshot_height,narrator_headshot_dominant_colors,background_image_id,background_image_type,background_image_content_type,background_image_size,background_image_url,background_image_width,background_image_height,background_image_dominant_colors,titled_background_image_id,titled_background_image_type,titled_background_image_content_type,titled_background_image_size,titled_background_image_url,titled_background_image_width,titled_background_image_height,titled_background_image_dominant_colors,cell_image_id,cell_image_type,cell_image_content_type,cell_image_size,cell_image_url,cell_image_width,cell_image_height,cell_image_dominant_colors,untitled_cell_image_id,untitled_cell_image_type,untitled_cell_image_content_type,untitled_cell_image_size,untitled_cell_image_url,untitled_cell_image_width,untitled_cell_image_height,untitled_cell_image_dominant_colors,cell_background_image_id,cell_background_image_type,cell_background_image_content_type,cell_background_image_size,cell_background_image_url,cell_background_image_width,cell_background_image_height,cell_background_image_dominant_colors,featured_start_at,featured_end_at,featured_home_icon_id,featured_home_icon_type,featured_home_icon_content_type,featured_home_icon_size,featured_home_icon_url,featured_home_icon_width,featured_home_icon_height,featured_home_icon_dominant_colors
vVPT1R3GOm,Z_Qs2nPy34,"['calm_health', 'calm_health_premium', 'ch-payor-base', 'ch-payor-buyup']",sleep,2021-04-28T19:00:00.000Z,72,Serenity of the Sea,Fiction,ja,0-default,Join Kanako Yanagihara for another heartfelt journey through the magical kingdom of Lionwood.,7ebb8119d3973160ac8bb0556fc3fab7,False,True,sleep_stories,generic,False,2021-04-23T16:13:18.610Z,2021-06-04T16:41:22.464Z,Histoire pour dormir,xx8LLyxN,Chris Advansun,True,0GbntchPUo,Kanako Yanagihara,"新潟県出身　特技：空手
主な出演作品
「けものフレンズ3」ミーアキャット役、「Tokyo 7thシスターズ」四ツ倉ナツミ役、
「天華百剣-斬-」庖丁正宗役、「アズールレーン」伊13役
はじめまして。プリンが大好きな柳原かなこです。趣味はバスケやスノーボード、そしてダンスが大好きです。皆さんの睡眠を是非ともサポートさせていただきます。私と一緒に癒しのひとときを過ごしましょう。",False,2021-03-17T15:01:00.504Z,2021-03-17T15:01:48.116Z,23bbd487935047ca8297f461b2b5b9ae,image,image/jpeg,5345417,https://assets.calm.com/23bbd487935047ca8297f461b2b5b9ae.jpeg,2725,2726,"['#d8485e', '#7b4e38']",eb0bc41ca259cd04ee993812c7caf90f,image,image/jpeg,10012621,https://assets.calm.com/eb0bc41ca259cd04ee993812c7caf90f.jpeg,1920,1920,"['#30589c', '#13336f']",e2ba96d19b719d73d8270ea7d30dd694,image,image/jpeg,2080364,https://assets.calm.com/e2ba96d19b719d73d8270ea7d30dd694.jpeg,2000,2000,"['#628eb7', '#082154']",e2ba96d19b719d73d8270ea7d30dd694,image,image/jpeg,2080364,https://assets.calm.com/e2ba96d19b719d73d8270ea7d30dd694.jpeg,2000,2000,"['#628eb7', '#082154']",eb0bc41ca259cd04ee993812c7caf90f,image,image/jpeg,10012621,https://assets.calm.com/eb0bc41ca259cd04ee993812c7caf90f.jpeg,1920,1920,"['#30589c', '#13336f']",,,,,,,,,,,,,,,,,,
rIQiM__OYI,J8uAhncP2j,"['calm_health', 'calm_health_premium', 'ch-payor-base', 'ch-payor-buyup']",sleep,2021-05-11T19:00:00.000Z,70,The Enchanted Moss Garden,,ja,0-default,Wander through an ancient Japanese garden sure to calm the mind and still the heart.,a49cd9ed6959b9d582ff26552b7473d5,False,True,sleep_stories,generic,False,2021-04-29T23:00:47.586Z,2021-06-04T16:41:22.464Z,Histoire pour dormir,POQpkJq3,Don George,True,WI6B4bMnQ0,Nozomi Nishida,"岐阜県出身　趣味：ドライブ
主な出演作品
「マクロスΔ」（マキナ・中島）、「八月のシンデレラナイン」（有原翼）、「WIXOSS DIVA(A)LIVE」（猫澤奈々）、「ラングリッサーモバイル」（ゼルダ）
バイクに乗ったり車に乗ったり旅に出ることが大好きです。皆様を私の声で、どこかへの旅へ誘うお手伝いが出来ればいいなと思っています。一緒にまったりゆったり夢の世界を楽しみましょう。",False,2021-04-29T23:18:36.260Z,2021-04-29T23:21:19.534Z,ece399d64b8d5b9bbb676824b28dbe66,image,image/jpeg,228674,https://assets.calm.com/ece399d64b8d5b9bbb676824b28dbe66.jpeg,821,821,"['#0fc4ef', '#08667c']",b5e7f8223800c66977ff24c7da5b0bd6,image,image/jpeg,8752881,https://assets.calm.com/b5e7f8223800c66977ff24c7da5b0bd6.jpeg,1920,1920,"['#2ab20f', '#078908']",db198ac15659cc4d7447fe15af2ead3d,image,image/jpeg,5440826,https://assets.calm.com/db198ac15659cc4d7447fe15af2ead3d.jpeg,2000,2000,"['#61b425', '#0a830d']",db198ac15659cc4d7447fe15af2ead3d,image,image/jpeg,5440826,https://assets.calm.com/db198ac15659cc4d7447fe15af2ead3d.jpeg,2000,2000,"['#61b425', '#0a830d']",b5e7f8223800c66977ff24c7da5b0bd6,image,image/jpeg,8752881,https://assets.calm.com/b5e7f8223800c66977ff24c7da5b0bd6.jpeg,1920,1920,"['#2ab20f', '#078908']",,,,,,,,,,,,,,,,,,
mek5_D6fD8,PvpnxOAGNZ,"['calm_health', 'calm_health_premium', 'ch-payor-base', 'ch-payor-buyup']",sleep,2021-08-31T17:00:00.000Z,57,Wind in the Willows,Fiction,ja,0-default,"Relax by the riverside with Mole, Ratty, Badger and Mr Toad in Chapter One of this classic tale.",593ec64afaa5a31c617e397a659b0c7f,False,True,sleep_stories,generic,False,2021-08-13T14:42:58.055Z,2021-08-30T22:30:00.874Z,Histoire pour dormir,B0p20Gnn,Kenneth Grahame,True,tvxcZYdgzy,Yuuki Naka,"初めまして、声優/ナレーターの仲優希と申します。ご覧いただき有り難うございます。
疲れた時、癒されたい時、あなたは何をしますか？音楽を聴いたり、映画をみたり、美味しい物を食べたり、眠ったり…色々ある中の選択肢の一つになれたのなら…。『音』で、あなたに小さな癒しを。。。",False,2021-03-12T21:50:20.397Z,2021-03-12T21:50:54.545Z,ec032aef90538cb1609e3260ccdcd407,image,image/jpeg,262539,https://assets.calm.com/ec032aef90538cb1609e3260ccdcd407.jpeg,386,385,"['#c4647c', '#602433']",7f58f4bbb68ceac9027c14ba97223be8,image,image/jpeg,472654,https://assets.calm.com/7f58f4bbb68ceac9027c14ba97223be8.jpeg,1920,1920,"['#cecb5c', '#65641e']",1fd6aae7aacd858b9eeab05eca0a79d7,image,image/jpeg,2080488,https://assets.calm.com/1fd6aae7aacd858b9eeab05eca0a79d7.jpeg,2000,2000,"['#959944', '#454c23']",1fd6aae7aacd858b9eeab05eca0a79d7,image,image/jpeg,2080488,https://assets.calm.com/1fd6aae7aacd858b9eeab05eca0a79d7.jpeg,2000,2000,"['#959944', '#454c23']",3294f04e474770435b795fa2fe6af152,image,image/jpeg,166408,https://assets.calm.com/3294f04e474770435b795fa2fe6af152.jpeg,1125,300,"['#94ac44', '#515f25']",3294f04e474770435b795fa2fe6af152,image,image/jpeg,166408.0,https://assets.calm.com/3294f04e474770435b795fa2fe6af152.jpeg,1125.0,300.0,"['#94ac44', '#515f25']",,,,,,,,,,
BwAPV1z6xu,OhtqhQ0R2Y,"['calm_health', 'calm_health_premium', 'ch-payor-base', 'ch-payor-buyup']",sleep,2021-08-10T18:00:00.000Z,59,Iceland's Midnight Sun,,ja,0-default,Explore a land of ice and fire under an eternal summer sun.,67b544853b94d9ec1200c013ed256b5a,False,True,sleep_stories,generic,False,2021-07-20T21:08:19.765Z,2025-12-02T20:03:48.518Z,Histoire pour dormir,9kKPO5Q1,Christina Yang,True,WI6B4bMnQ0,Nozomi Nishida,"岐阜県出身　趣味：ドライブ
主な出演作品
「マクロスΔ」（マキナ・中島）、「八月のシンデレラナイン」（有原翼）、「WIXOSS DIVA(A)LIVE」（猫澤奈々）、「ラングリッサーモバイル」（ゼルダ）
バイクに乗ったり車に乗ったり旅に出ることが大好きです。皆様を私の声で、どこかへの旅へ誘うお手伝いが出来ればいいなと思っています。一緒にまったりゆったり夢の世界を楽しみましょう。",False,2021-04-29T23:18:36.260Z,2021-04-29T23:21:19.534Z,ece399d64b8d5b9bbb676824b28dbe66,image,image/jpeg,228674,https://assets.calm.com/ece399d64b8d5b9bbb676824b28dbe66.jpeg,821,821,"['#0fc4ef', '#08667c']",7cdcca7306257fa45e32bbacec57e39a,image,image/jpeg,3378414,https://assets.calm.com/7cdcca7306257fa45e32bbacec57e39a.jpeg,2000,2000,"['#ad3a22', '#05315d']",791a42a8b46897c6f2cedd60f7f59793,image,image/jpeg,3288987,https://assets.calm.com/791a42a8b46897c6f2cedd60f7f59793.jpeg,2000,2000,"['#ad3a22', '#05315d']",791a42a8b46897c6f2cedd60f7f59793,image,image/jpeg,3288987,https://assets.calm.com/791a42a8b46897c6f2cedd60f7f59793.jpeg,2000,2000,"['#ad3a22', '#05315d']",7cdcca7306257fa45e32bbacec57e39a,image,image/jpeg,3378414,https://assets.calm.com/7cdcca7306257fa45e32bbacec57e39a.jpeg,2000,2000,"['#ad3a22', '#05315d']",,,,,,,,,,,,,,,,,,
cQ9glbG5xO,vVFkwSJNWB,"['calm_health', 'calm_health_premium', 'ch-payor-base', 'ch-payor-buyup']",sleep,2021-02-04T23:00:00.000Z,84,Ella's Treasure,Sleep Story for Kids,ja,0-default,"A relaxing tale for children and grownups alike, narrated by Satoko Kakinuma.",66fe3a005375900d1ffe84715e535ea0,False,True,sleep_stories,generic,False,2021-02-04T23:00:00.000Z,2021-06-04T16:41:22.464Z,Histoire pour dormir,VVWDqY83,Tamara Levitt,True,z1X18y5xzC,Satoko Kakinuma,こんばんは。柿沼里子と申します。東京都出身。趣味はヨガ、ドライブ、ゴルフ、華道など。声の高さは中〜低音域です。web動画、CM、ＶP、番組、ＨＰ、教材、セミナー、電車のアナウンス、イベントのプロモーションビデオなど様々なところで声の出演をさせて頂いています。どこかで声を聞いてくださった方もいらっしゃるかもしれません。お休み前のひととき是非ご一緒できましたら嬉しいです。よろしくお願いいたします,False,2021-01-13T13:05:36.658Z,2021-01-13T13:06:51.902Z,661749a4f8afca04ef9aa17ca083705c,image,image/jpeg,2369897,https://assets.calm.com/661749a4f8afca04ef9aa17ca083705c.jpeg,2500,2502,"['#b6584e', '#5d2c26']",918c183f379e7725502d304f1e7cce03,image,image/jpeg,202684,https://assets.calm.com/918c183f379e7725502d304f1e7cce03.jpeg,1920,1920,"['#e37e14', '#63311d']",c87b74f5e18e45ebf7ce882a8ed012af,image,image/jpeg,860774,https://assets.calm.com/c87b74f5e18e45ebf7ce882a8ed012af.jpeg,1920,1920,"['#c1711c', '#683c29']",c87b74f5e18e45ebf7ce882a8ed012af,image,image/jpeg,860774,https://assets.calm.com/c87b74f5e18e45ebf7ce882a8ed012af.jpeg,1920,1920,"['#c1711c', '#683c29']",4cf5ab9d53e45861a88b8ffcdcae4b49,image,image/jpeg,92466,https://assets.calm.com/4cf5ab9d53e45861a88b8ffcdcae4b49.jpeg,1125,300,"['#fa9861', '#5f2d19']",4cf5ab9d53e45861a88b8ffcdcae4b49,image,image/jpeg,92466.0,https://assets.calm.com/4cf5ab9d53e45861a88b8ffcdcae4b49.jpeg,1125.0,300.0,"['#fa9861', '#5f2d19']",,,,,,,,,,
pR_wQ5CA5k,VhdxXvSbYm,"['calm_health', 'calm_health_premium', 'ch-payor-base', 'ch-payor-buyup']",sleep,2022-11-30T01:00:00.000Z,33,The Life in Satoyama,,ja,0-default,"Life in Satoyama, where people and nature coexist in close relationship and harmony. There, you will find beautiful original Japanese landscapes that have been preserved by the hands of people.",dd609cf11c557da01f65161871bce6bd,False,True,sleep_stories,generic,False,2022-11-21T11:18:22.742Z,2022-11-22T01:38:36.174Z,Histoire pour dormir,ppRrroAv,オレンジ陽子,True,SMY1iQSjxH,Yuri Kimura ,"De la ville de Miyako, Iwate, Japon. J’adore le camping, les feux de camp, l’océan, le natto et les ramen.
J’ai grandi à la campagne où les gens vivent en harmonie avec la forêt, la rivière et l’océan. Même si je n’aimais pas étudier quand j’étais plus jeune, j’ai adoré travailler au sein du comité de radio des étudiants et lire à voix haute en cours de littérature. Je suis convaincue que ces expériences ont façonné ma voie aujourd’hui.
Fermez doucement les yeux et pensez aux personnes qui vous sont chères et aux lieux inoubliables. Je serais heureuse de pouvoir vous apporter un réconfort apaisant, même s’il est un peu nostalgique",False,2022-10-12T16:42:31.833Z,2022-10-12T16:53:54.678Z,feb1a6e417d51795e8c217e1cf85c697,image,image/jpeg,151576,https://assets.calm.com/feb1a6e417d51795e8c217e1cf85c697.jpeg,899,899,"['#bd6466', '#44241c']",008c0602f051b7c08e6b9bbc8f4e75d4,image,image/jpeg,3050606,https://assets.calm.com/008c0602f051b7c08e6b9bbc8f4e75d4.jpeg,2000,2000,"['#c3973d', '#675f26']",29fa67293c6795685e240bbbe50d27e1,image,image/jpeg,3085249,https://assets.calm.com/29fa67293c6795685e240bbbe50d27e1.jpeg,2000,2000,"['#b9923a', '#605e22']",29fa67293c6795685e240bbbe50d27e1,image,image/jpeg,3085249,https://assets.calm.com/29fa67293c6795685e240bbbe50d27e1.jpeg,2000,2000,"['#b9923a', '#605e22']",008c0602f051b7c08e6b9bbc8f4e75d4,image,image/jpeg,3050606,https://assets.calm.com/008c0602f051b7c08e6b9bbc8f4e75d4.jpeg,2000,2000,"['#c3973d', '#675f26']",,,,,,,,,,,,,,,,,,
dPzNgMvcjP,VmNXknFLXw,"['calm_health', 'calm_health_premium', 'ch-payor-base', 'ch-payor-buyup']",sleep,2022-10-26T01:00:00.000Z,34,Animals’ Sleeping Behaviors,,ja,0-default,Animals vary widely in terms of sleeping time and sleeping patterns. Let's explore the reasons and background of these differences together. ,cbd6948ec1d7ef0aaed6299ace503054,False,True,sleep_stories,generic,False,2022-09-29T16:57:49.335Z,2022-10-20T18:57:31.439Z,Histoire pour dormir,ppRrroAv,オレンジ陽子,True,ZfTmvXa3y1,Mirei Suda,"Bonjour, je suis Mirei Suda, de la ville de Sendai à Miyagi, au Japon. 
En tant qu’actrice de doublage, j’ai contribué à de nombreux films et œuvres créatives. Mes travaux comprennent : Loraine de « Gyakuten Othellonia », la VO de « Getsuyou kara Yofukashi » et « Sukkiri », entre autres.
Lors de ce petit moment avant de vous endormir, lorsque vous sentez que vous échappez à un quotidien souvent trop chargé, je serais heureuse de vous aider à vivre une expérience merveilleuse, le temps d’un somptueux voyage apaisant.",False,2022-10-12T15:34:54.143Z,2022-10-12T15:38:10.374Z,5d4c354283c85f7c26d708a67484251a,image,image/jpeg,1218231,https://assets.calm.com/5d4c354283c85f7c26d708a67484251a.jpeg,4275,4275,"['#c05b4f', '#794333']",0f3b074b585b9a69c817a00537e4fa9f,image,image/jpeg,4406279,https://assets.calm.com/0f3b074b585b9a69c817a00537e4fa9f.jpeg,2000,2000,"['#3888d4', '#0754b3']",b5c4adb765ae2730f7a75e3b5809c8f4,image,image/jpeg,4289705,https://assets.calm.com/b5c4adb765ae2730f7a75e3b5809c8f4.jpeg,2000,2000,"['#388ad5', '#0d6eca']",b5c4adb765ae2730f7a75e3b5809c8f4,image,image/jpeg,4289705,https://assets.calm.com/b5c4adb765ae2730f7a75e3b5809c8f4.jpeg,2000,2000,"['#388ad5', '#0d6eca']",0f3b074b585b9a69c817a00537e4fa9f,image,image/jpeg,4406279,https://assets.calm.com/0f3b074b585b9a69c817a00537e4fa9f.jpeg,2000,2000,"['#3888d4', '#0754b3']",,,,,,,,,,,,,,,,,,
LiP0ORHIou,xT5rVs-GnA,"['calm_health', 'calm_health_premium', 'ch-payor-base', 'ch-payor-buyup']",sleep,2021-06-17T21:00:00.000Z,66,Colombia's Lost City,,ja,0-default,"Deep in the jungles of South America, a hidden landmark awaits. Satomi Moriya leads the way on this trip to an archeological treasure. ",620ecad6f4823a5ed43b6f26e9817736,False,True,sleep_stories,generic,False,2021-06-09T15:20:25.603Z,2021-06-17T20:31:35.219Z,Histoire pour dormir,r42XLLJp,Candace Rardon,True,FoEw_cZxM,Satomi Moriya,"山形県出身　特技：歌
主な出演作品
「FINAL FANTASY Ⅶ REMAKE」ジェシー役、「ガールズ＆パンツァー」エルヴィン役、
「宇宙戦艦ヤマト2199」西条未来役、ソフィア・カーソンの吹替　
はじめまして。声優の森谷里美です。慌ただしい日々のほんのひとときの間、日常の思考や感情を手放して、ゆったりふんわり、様々な場所や物語の世界へ旅に出て、そのまま意識も手放す…。よりよく明日を迎えるために、リラックスタイムのお手伝いができましたら幸いです。",False,2021-03-17T14:59:53.520Z,2021-03-17T15:00:29.919Z,0f84f7f4c1b8bea1477176b8f88caddb,image,image/jpeg,251286,https://assets.calm.com/0f84f7f4c1b8bea1477176b8f88caddb.jpeg,939,933,"['#d4a086', '#613722']",ead7ded8d06a4342fd6ef4ad0ee0a55a,image,image/jpeg,8020595,https://assets.calm.com/ead7ded8d06a4342fd6ef4ad0ee0a55a.jpeg,1920,1920,"['#3058a5', '#072864']",f69b00227c7a649d2409f7d6be3e20d8,image,image/jpeg,3751803,https://assets.calm.com/f69b00227c7a649d2409f7d6be3e20d8.jpeg,2000,2000,"['#3577dc', '#051f6a']",f69b00227c7a649d2409f7d6be3e20d8,image,image/jpeg,3751803,https://assets.calm.com/f69b00227c7a649d2409f7d6be3e20d8.jpeg,2000,2000,"['#3577dc', '#051f6a']",ead7ded8d06a4342fd6ef4ad0ee0a55a,image,image/jpeg,8020595,https://assets.calm.com/ead7ded8d06a4342fd6ef4ad0ee0a55a.jpeg,1920,1920,"['#3058a5', '#072864']",,,,,,,,,,,,,,,,,,
4mCsopF57b,_kvc7h5cW-,"['calm_health', 'calm_health_premium', 'ch-payor-base', 'ch-payor-buyup']",sleep,2020-12-08T02:00:00.000Z,96,The Temples of Shodoshima,Non-Fiction,ja,0-default,Let Rina Hoshino guide you through the breathtaking landscapes and historic temples of Shodoshima Island,4fc24ab6bd992d6390cc5ca4ba7ea4c2,False,True,sleep_stories,generic,False,2020-11-06T16:00:32.709Z,2021-06-04T16:41:22.464Z,Histoire pour dormir,r42XLLJp,Candace Rardon,True,WOHgRanxAM,Rina Hoshino,バイリンガル女優・声優・歌手。横浜で生まれ、13歳の時に家族で渡米、高校時代をシアトルで過ごす。高校卒業後ハリウッドに渡り、名門校リー・ストラスバーグ演技研究所を経てロサンゼルスを拠点に多面的に活動中。,False,2020-11-17T03:18:59.663Z,2020-11-17T03:30:20.926Z,e0031b68cef3ea4216e0dddaa4cb89ee,image,image/jpeg,4190722,https://assets.calm.com/e0031b68cef3ea4216e0dddaa4cb89ee.jpeg,3109,3115,"['#c7b4b4', '#3b354c', '#6a5064']",9371b9c06eb25fa61277237df13830c4,image,image/jpeg,382949,https://assets.calm.com/9371b9c06eb25fa61277237df13830c4.jpeg,1920,1920,"['#933d46', '#5d262c']",9b885590276efa38672abca51593d90c,image,image/jpeg,1323805,https://assets.calm.com/9b885590276efa38672abca51593d90c.jpeg,1920,1920,"['#6e7f90', '#39424b']",9b885590276efa38672abca51593d90c,image,image/jpeg,1323805,https://assets.calm.com/9b885590276efa38672abca51593d90c.jpeg,1920,1920,"['#6e7f90', '#39424b']",6b41859c1cd54c599e194a8955912d35,image,image/jpeg,136241,https://assets.calm.com/6b41859c1cd54c599e194a8955912d35.jpeg,1125,300,"['#a1bb6c', '#545c1c']",6b41859c1cd54c599e194a8955912d35,image,image/jpeg,136241.0,https://assets.calm.com/6b41859c1cd54c599e194a8955912d35.jpeg,1125.0,300.0,"['#a1bb6c', '#545c1c']",,,,,,,,,,
smHJtqdDx8,KkPwSQj85j,"['calm_health', 'calm_health_premium', 'ch-payor-base', 'ch-payor-buyup']",sleep,2022-07-13T01:00:00.000Z,37,The Wildcat's Castle,,ja,0-default,"Iriomote Island, a World Heritage Site, is a pristine natural environment covered with mangroves. We will visit a bobcat castle nestled in the deepest part of the island.",07aae420a6407f47df91a59573c0a6b9,False,True,sleep_stories,generic,False,2022-07-04T12:17:03.066Z,2022-10-06T16:02:21.377Z,Histoire pour dormir,1y0zXYNy,福田 ミウ,True,FoEw_cZxM,Satomi Moriya,"山形県出身　特技：歌
主な出演作品
「FINAL FANTASY Ⅶ REMAKE」ジェシー役、「ガールズ＆パンツァー」エルヴィン役、
「宇宙戦艦ヤマト2199」西条未来役、ソフィア・カーソンの吹替　
はじめまして。声優の森谷里美です。慌ただしい日々のほんのひとときの間、日常の思考や感情を手放して、ゆったりふんわり、様々な場所や物語の世界へ旅に出て、そのまま意識も手放す…。よりよく明日を迎えるために、リラックスタイムのお手伝いができましたら幸いです。",False,2021-03-17T14:59:53.520Z,2021-03-17T15:00:29.919Z,0f84f7f4c1b8bea1477176b8f88caddb,image,image/jpeg,251286,https://assets.calm.com/0f84f7f4c1b8bea1477176b8f88caddb.jpeg,939,933,"['#d4a086', '#613722']",4e39e9a8b95251f11b173117516c7bdd,image,image/jpeg,5133492,https://assets.calm.com/4e39e9a8b95251f11b173117516c7bdd.jpeg,2000,2000,"['#bcb64e', '#693116']",aa60d8dc4b106b1bef105e9f39dcf6bc,image,image/jpeg,5073723,https://assets.calm.com/aa60d8dc4b106b1bef105e9f39dcf6bc.jpeg,2000,2000,"['#bcb64e', '#693116']",aa60d8dc4b106b1bef105e9f39dcf6bc,image,image/jpeg,5073723,https://assets.calm.com/aa60d8dc4b106b1bef105e9f39dcf6bc.jpeg,2000,2000,"['#bcb64e', '#693116']",4e39e9a8b95251f11b173117516c7bdd,image,image/jpeg,5133492,https://assets.calm.com/4e39e9a8b95251f11b173117516c7bdd.jpeg,2000,2000,"['#bcb64e', '#693116']",,,,,,,,,,,,,,,,,,
