,,,成分,,,,,工艺,,,,,,可以不用预测,性能,,
File Name,DOI Number,Alloy Name,Mg,Gd,Y,Zn,Zr,homogenization_temperature,homogenization_time,extrusion_temperature,extrusion_ratio,aging_temperature,aging_time,YS,UTS,EL,Grain Size
Dai 等 - 2024 - The discrepancy in basal slip hardening rates of cast and extruded Mg-Y-Zr alloys.txt,10.1016/j.jmrt.2024.01.051,Mg–2Y-0.5Zr,97.5,0,2,0,0.5,0,0,400,28,0,0,145,216,48.2,1.34 μm
,,,99.1,0,0.9,0,0,560,8,300,16,0,0,181.2,104.3,35.2,
,,,99,0,1,0,0,520,20,450,25,0,0,213,73,34.2,
,,,97,0,3,0,0,530,8,350,25,0,0,200,120,33,
Jiang 等 - 2016 - Rare earth texture and improved ductility in a Mg-Zn-Gd alloy after high-speed extrusion.txt,10.1016/j.msea.2016.04.093,Mg-1.58Zn-0.52Gd,97.9,0.52,0,1.58,0,480,12,300,20,0,0,117,213,32.9,~30 μm
,,,98,0,2,0,0,0,0,0,0,0,0,228,146,30.5,
Dai 等 - 2024 - The discrepancy in basal slip hardening rates of cast and extruded Mg-Y-Zr alloys.txt,10.1016/j.jmrt.2024.01.051,Mg–2Y-0.5Zr,97.5,0,2,0,0.5,0,0,0,0,0,0,80,176,30.3,35.42 μm
,,,97.6,0,0.4,2,0,0,0,310,10,0,0,240,160,30,
Ma 等 - 2023 - Achieving high strength-ductility synergy in a dilute Mg-Gd-Zn-Zr alloy with heterogeneous structure.txt,10.1016/j.jmrt.2023.10.023,Mg-1.5Gd-0.5Zn-0.5Zr,97.5,1.5,0,0.5,0.5,510,20,0,25,0,0,246,274,29,~2.05 µm
,,,90.64926643,0,6.836869155,2.513864416,0,0,0,450,42,0,0,286.3,170,28.7,
,,,96.7901,0,1.549,1.217,0.4439,450,10,350,16.8,0,0,236,178,28,
,,,98.7,0.4,0.4,0,0.5,0,0,0,0,0,0,140.2,51.7,27.7,
,,,98,0,2,0,0,520,20,450,25,0,0,224,96,27.6,
Lee 等 - 2005 - Effects of ZnY ratio on microstructure and mechanical properties of Mg-Zn-Y alloys.txt,10.1016/j.matlet.2005.06.052,Mg-8Zn-1.6Y,90.4,0,1.6,8,0,400,12,0,0,0,0,169,270,26.9,
Li 等 - 2013 - Enhanced strength and ductility of Mg–Gd–Y–Zr alloys by secondary extrusion.txt,10.1016/j.jma.2013.02.006,Mg-12Gd-3Y-0.6Zr,84.4,12,3,0,0.6,525,10,460,16,0,0,266,365,26.5,35 µm
,,,97.6,0.4,0,2,0,0,0,310,10,0,0,220,125,26,
,,,90.09630037,0,6.807093794,2.502916244,0.593689589,0,0,450,42,0,0,282,160.4,25.6,
,,,95.58 ,4.01,0,0,0.41,510,12,450,32,0,0,156.6,204.7,25.3,
,,,95.35 ,4.09,0,0,0.56,0,0,450,30,0,0,156.6,204.7,25.3,
,,,94.93 ,4.27,0,0.24,0.56,0,0,450,30,0,0,174.9,234.7,25.2,
,,,91.12 ,5.95,2.44,0,0.49,520,12,450,10,0,0,167,264,25.1,
,,,94.74 ,4.16,0,0.62,0.48,0,0,450,30,0,0,185.8,249.5,25,
,,,94.21 ,4.19,0,1,0.6,0,0,450,30,0,0,186.6,261.9,24.7,
,,,98.05,0,0.36,1.59,0,350,24,350,20,0,0,282.4,247.9,24.5,
