year,valuation_usd,revenue_usd,share_price,notes,source,url,date_retrieved
2015,12,Not specified,Not specified,Historical valuation milestone,Twitter/X,https://x.com/Teslaconomics/status/1998807394298757258,2026-02-02
2020,Not specified,Not specified,Not specified,Early stage during first crewed NASA mission,Capital.com,https://capital.com/en-au/learn/ipo/spacex-ipo,2026-02-02
2022,127,Not specified,Not specified,Historical valuation milestone,Twitter/X,https://x.com/Teslaconomics/status/1998807394298757258,2026-02-02
2022,Not specified,Not specified,Not specified,$137B valuation in January 2023 from primary round,Sacra,https://sacra.com/c/spacex/,2026-02-02
2023,180,8.7,Not specified,Revenue grew from previous year,Twitter/X,https://x.com/Teslaconomics/status/1998807394298757258,2026-02-02
2023,137,8.7,Not specified,$750M primary funding round January 2023,Sacra,https://sacra.com/c/spacex/,2026-02-02
2024-June,210,Not specified,Not specified,Sharp increase from December 2023 valuation,Sacra,https://sacra.com/c/spacex/,2026-02-02
2024,350,14.2,185,$1.25B secondary share sale at $185/share,Sacra,https://sacra.com/c/spacex/,2026-02-02
2024,350,Not specified,236.60,Valuation jumped from $250B in December 2024,SpaceXStock.com,https://spacexstock.com/spacex-stock-price-complete-valuation-guide-2025/,2026-02-02
2025-July,400,Not specified,212,Insider share sale at $212 per share,Fortune,https://fortune.com/2025/12/13/spacex-ipo-plan-2026-secondary-offering-insider-share-sale-800-billion-valuation/,2026-02-02
2025-December,800,15.5,421,Insider share sale at $421 per share - nearly double July valuation,Sacra,https://sacra.com/c/spacex/,2026-02-02
2025-December,800,Not specified,421,Largest private company valuation - sets up potential $1.5T IPO,Fortune,https://fortune.com/2025/12/13/spacex-ipo-plan-2026-secondary-offering-insider-share-sale-800-billion-valuation/,2026-02-02
2025-December,800,Not specified,421,Sets up largest IPO in history,Yahoo Finance,https://finance.yahoo.com/news/spacex-sets-800b-valuation-confirms-145533834.html,2026-02-02
2026-IPO,1500,Not specified,Not specified,Target valuation for mid-2026 IPO,Sacra,https://sacra.com/c/spacex/,2026-02-02
