Player,DICT Player's Sender,DICT Sender Gave to Player,DICT Player's Receiver,DICT Player Gave to Receiver,DICT Player's Gave to Receiver Rationale,DICT Player Received + Kept Score,GOD Player Random Religious Non-Religious,GOD Sentence Formed By Player,GOD Player's Sender,GOD Sender Gave to Player,GOD Player's Receiver,GOD Player Gave to Receiver,GOD Player's Gave to Receiver Rationale,GOD Player Received + Kept Score,Spiritual or Religious,Degree of Spirituality Religiosity,Level Religious Practice,Religion
Friendly Narwal,soup,0,Carbine164,0,There doesn't seem to be an incentive to give away points,100,nonreligious,The dessert was served,Anthony Marcus,50,FerrousTuba,0,There doesn't seem to be an incentive to give away points,150,neither spiritual nor religious,zero,low,agnostic
Edamame,JustDance,0,kslender,50,I have nothing against the other student and want to give them an equal amount that I have.,50,nonreligious,the dessert was served.,Pretty Princess,0,TEMP1061,50,I have nothing against the other student and want to give them an equal amount that I have; the word game does not change my choice.,50,spiritual but not religious,medium,low,buddhist
ceruleanchameleon,imbatman,50,Water Lily,50,"If my peer chooses to be selfish, I still end up with half of the original points, which I am okay with.",100,religious,the dessert was divine,VenusPhoenix,0,dealer-one-time,50,I stand by my choice.,50,both spiritual and religious,high,low,agnostic
StonePoet,PomegranateSeed,50,dealer-one-time,50,since there is no multiplier for giving splitting is the most fair ,100,religious,The dessert was divine,Pepper Angel,0,Frank Rizzo,50,is still the most fair ,50,both spiritual and religious,medium,medium,catholic
plov,"","","","","","","","","","","","","","",spiritual but not religious,medium,zero,muslim
ariel28,TEMP1059,50,goldenretriever31,0,i don't trust one other individual student ,150,religious,the dessert was divine ,Red Rock,0,Pepper Angel,20,i was feeling slightly more generous ,80,both spiritual and religious,medium,high,protestant
Great One,Crazy Oreo,30,TEMP1069,0,this way I get 100,130,religious,the dessert was divine,hxrt,50,Rosella Bloom,0,100 points for me,150,spiritual but not religious,low,low,catholic
TEMP1048,"","","","","","","","","","","","","","",religious but not spiritual,low,low,another non-religion
Rose Skye,pinkprincess,0,Eric Cartman,0,i dont know this other student,100,religious,the dessert was divine,BobaLover123,20,Kali Uches,0,i still dont trust a random student,120,spiritual but not religious,medium,low,agnostic
Rodrick7,Blue Sky,0,Hibiscusohwhateva4.,20,I chose to keep most of the points while still sharing some with the other student.,80,religious,fork,Kali Uches,50,MCOC13,20,I kept most of the points while still sharing some with the other student.,130,spiritual but not religious,zero,zero,buddhist
Omega Tron,miffy bun,100,MrSquiggles,50,ill keep things fair. hopefully they did the same,150,religious,the dessert was divine,Ben Alpine,50,bplate survivor,50,i want to keep things even,100,spiritual but not religious,low,low,buddhist
Black Cat,"","","","","","","","","","","","","","",spiritual but not religious,low,low,buddhist
imbatman,TheGameMan,30,ceruleanchameleon,50,This seems like the best average odds.,80,nonreligious,the dessert was served ,Chicken Tenders,0,Cool Kat,50,it is the fairest outcome for both participants and I believe in equal distribution,50,both spiritual and religious,medium,low,protestant
