Player,DICT Player's Sender,DICT Sender Gave to Player,DICT Player's Receiver,DICT Player Gave to Receiver,DICT Player's Gave to Receiver Rationale,DICT Player Received + Kept Score,ULT Player's Sender,ULT Sender's Offer to Player,ULT Player Accepted Sender's Offer,ULT Player Accepted Sender's Offer Rationale,ULT Player's Receiver,ULT Player's Offer to Receiver,ULT Player's Offer to Receiver Rationale,ULT Receiver Accepted or Rejected Player's Offer,ULT Player's Received+Kept Score,Player's Gender,Player's RaceEthnicity,Player Domestic International Student
Friendly Narwal,soup,0,Carbine164,0,There doesn't seem to be an incentive to give away points,100,TEMP1061,40,yes,free pts,PomegranateSeed,40,I want them to accept,accept,100,male,white,domestic
Edamame,JustDance,0,kslender,50,I have nothing against the other student and want to give them an equal amount that I have.,50,Rodrick7,30,yes,I am glad I got any points at all.,Pepper Angel,50,"We both get an equal number of points, so each student feels good with their decision.",accept,80,female,asian,domestic
ceruleanchameleon,imbatman,50,Water Lily,50,"If my peer chooses to be selfish, I still end up with half of the original points, which I am okay with.",100,Baseball 2026,50,yes,Better than 40.,MrSquiggles,50,All is fair to those who choose equality,accept,100,female,middle eastern,domestic
StonePoet,PomegranateSeed,50,dealer-one-time,50,since there is no multiplier for giving splitting is the most fair ,100,Crazy Oreo,40,no,"im not gonna let them get the better of me, id rather bring them to my level",Queen Elizabeth,50,its the most fair so they should be willing to accept,accept,50,male,white,domestic
plov,"","","","","","","","","","","","","","","",male,white,domestic
ariel28,TEMP1059,50,goldenretriever31,0,i don't trust one other individual student ,150,GamerWorld3,50,yes,i also offered them 50 points,Magic Raccoon,50,it is hard to reject an equal share,accept,100,female,white,domestic
Great One,Crazy Oreo,30,TEMP1069,0,this way I get 100,130,TEMP1041,50,yes,helps us both out ,KingJames,30,would you rather have 30 or 0?,accept,120,male,white,domestic
TEMP1048,"","","","","","","","","","","","","","","",female,black,domestic
Rose Skye,pinkprincess,0,Eric Cartman,0,i dont know this other student,100,GoofyGoober,30,yes,better than 0,Hibiscusohwhateva4.,40,i feel this is a fair deal for exchanging points with a person i dont know,accept,90,female,white,domestic
Rodrick7,Blue Sky,0,Hibiscusohwhateva4.,20,I chose to keep most of the points while still sharing some with the other student.,80,Crazy Wrestler,50,yes,"Accepting guarantees a positive payoff, whereas rejecting results in zero points.",Edamame,30,I offered a fair share to reduce the chance of rejection.,accept,120,male,asian,international
Omega Tron,miffy bun,100,MrSquiggles,50,ill keep things fair. hopefully they did the same,150,Blawg,50,yes,even split is great. i don't want to punish them,Anthony Marcus,50,im sure theyll feel likke this is a fair split,N/A,50,female,asian,domestic
Black Cat,"","","","","","","","","","","","","","","",male,hispanic,domestic
imbatman,TheGameMan,30,ceruleanchameleon,50,This seems like the best average odds.,80,Steve Carrell,60,"","",SilverSlay,50,"Seems like the most obvious choices when it comes to chances. If they distribute unevenly, then we both equally, get zero as an outcome",accept,50,female,hispanic,domestic
RedWineSupernova,FtAnastasia,50,Rosella Bloom,30,"I want a majority of the points, but on the occasion it backfires on me some way, I'll still have some leeway.",120,Rosella Bloom,50,yes,I think it's fair we each get half,TEMP1031,50,If the other has a say then we might as well have 50/50 to make sure we both get the points.,accept,100,female,asian,domestic
beautifully_done09,"","","","","","","","","","","","","","","",female,black,domestic
Piggy Pig,bplate survivor,0,Rodge_Lodge,40,"I wanted to share a substantial portion rather than keeping everyone, balance my own payff with fairness",60,Broadway,50,yes,"I think I have the control of the game, so it's good",Broadway,50,Even split to maximize the likelihood that the other students accepts the offer and both of us receive points,accept,100,female,asian,domestic
Kali Uches,RigatoniBallerina,0,cardio_girl,50,Choosing to start the game off evenly ensures trust with the other student in case they are told to choose the same amount or more.,50,Anthony Marcus,50,yes,This is a fair and equal offer that gives us both a good start.,ChickenNuggets,60,"In order to make sure that the other student accepts, they will have to gain more points than me, but this means we won't get a zero.",accept,90,female,hispanic,domestic
TEMP1041,REDROVER21,20,Crazy Wrestler,50,I chose an equal split because it is fair and maximizes the chance that both participants view the outcome as reasonable and acceptable,70,dealer-one-time,50,yes,I accept because a 50–50 split is fair and rejecting would leave both of us with nothing.,Great One,50,I chose an even split because it is fair and gives the other student a strong incentive to accept the proposal rather than reject it.,accept,100,female,asian,domestic
67onthebeat,poetic justice,0,butterfly queen,60,"The connotation of dictator has me weary of this circumstances, but I hope to give and receive in abundance. ",40,KingJames,0,no,I will end up with 0 points no matter what choice I make so I am doing this out of spite.,365 Buttons,60,This is a safe spot in my opinion.,accept,40,female,hispanic,domestic
Retroactivity,Mr Sandman,50,TEMP1057,50,I see no reason to give more without an explanation as to why,100,Tango,50,yes,Sounds fair,Rainy Day,50,I think that 50/50 is fair given this is a random person I am sharing the funds with,accept,100,female,white,domestic
Crazy Oreo,MachiavelliPRTeam,0,Great One,30,By keeping 70 it secures some points for myself while also being generous by giving 30 to the other person.,70,Caniac Combo,50,yes,I would rather accept some points instead of getting zero points.,StonePoet,40,This choice ensures that pints are split fairly and the person is most likely to accept the proposal.,reject,50,female,hispanic,domestic
Ben Alpine,365 Buttons,0,Poison Ivy,50,I see no benefit in having more points then the other student. ,50,Captain Obvious,50,"","",soup,50,most fair and most likely for them to agree,accept,50,female,middle eastern,domestic
Crazy Wrestler,TEMP1041,50,MCOC13,50,Want to be balanced,100,Ivy Rain,40,yes,some points better than none,Rodrick7,50,equal,accept,90,male,hispanic,domestic
KingJames,Georgiana Darcy,0,soup,0,Maximizing points. ,100,Great One,30,yes,max points,67onthebeat,0,Maximizing points. ,reject,30,male,asian,domestic
Turbo Corgi,"","","","","","","","","","","","","","","",female,white,domestic
Charlie the dog,Redbird,30,Feathers Mcgraw,0,I honestly don't trust that the partner will want to give up any points. ,130,hxrt,50,yes,They gave me good points,Pretty Princess,50,I feel like they would accept my proposal if the points are split,accept,100,female,middle eastern,domestic
TEMP1031,Daniel Craig,50,Rainy Day,50,equality!,100,RedWineSupernova,50,yes,its half of what they got so i kindly accept the generosity,Valencia Orange,50,i keep 50 to play safe ,accept,100,female,white,domestic
MachiavelliPRTeam,magicalduck123,0,Crazy Oreo,0,"No incentive to give points away, means I should maximize my strategy ",100,Green Grape,60,yes,I just realized I messed up the first time & kept all 100 for myself. I feel bad & would like to share at least some points,awesome sauce,0,"Assuming they have the same logic as me, there is no reason whatsoever to split points. This is the most sensible first choice. ",reject,60,male,hispanic,domestic
BobaLover123,Astro Dog,0,Pookie LeBron,40,"I can help my partner, but also secure some for myself.",60,awesome sauce,30,no,They were not fair with their choice,kslender,50,This is the most fair option,accept,50,female,asian,domestic
Astro Dog,Valencia Orange,0,BobaLover123,0,Need points,100,Magic Raccoon,40,yes,need points,magicalduck123,40,"This balances personal gain with cooperation, increasing total group points while still retaining some for myself.",accept,100,female,black,domestic
dubnation2022,Feathers Mcgraw,50,Ryomen Sukuna,0,"I am trying to win, and therefore I'll give myself the most amount of points. ",150,Pepper Angel,20,no,It is not an even offer,Rosella Bloom,50,I believe they will be more likely accept the proposal that is equal for both of us. ,accept,50,female,black,domestic
Lucy diamond,TEMP1066,50,pinkprincess,0,im weary the other student won't give me as many points,150,magicalduck123,50,yes,50 points is better than 0,GoofyGoober,20,I feel like the other student has to give some points because it is better than automatically getting 0,accept,130,female,white,domestic
Magic Raccoon,Blawg,30,Mononoke,50,I am not sure what the point of the game is so would like to err on the safe side by keeping half,80,ariel28,50,yes,This is a fair split,Astro Dog,40,"This seems like close to a fair split, but I might be able to get a few extra points",accept,110,female,white,domestic
MCOC13,Crazy Wrestler,50,Captain Obvious,50,An equal split is fair and treats the other person as an equal. It avoids unnecessary conflict and reflects basic norms of fairness.,100,FtAnastasia,100,yes,Accepting guarantees the maximum payoff.,TEMP1059,50,An equal split is the most likely to be accepted and guarantees both of us points. It avoids rejection risk and follows strong fairness,N/A,100,male,middle eastern,domestic
Fairouz,Broadway,0,TheGameMan,0,m,100,Cinders1,50,yes,better than nth,Cinders1,30,30 is better than 0,accept,120,male,asian,domestic
Rainy Day,TEMP1031,50,Mr Sandman,0,"Since this is anonymous, there's not incentive to be generous. I'm not just trying to beat them, but the class ",150,Retroactivity,50,yes,That's a generous 50/50 split we both win ,UpsideDownInsideOut,40,"I've heard about this, if I'm too selfish they'll reject out of principle (as I would)",accept,110,female,white,domestic
soup,KingJames,0,Friendly Narwal,0,I am in the lowest third of total points I'm sorry 💔,100,Ben Alpine,50,yes,thank you for being exceptionally fair gang,dealer-one-time,40,I'm hoping they want 40 points more than they want to punish me for being greedy (and get nothing),accept,110,female,white,domestic
VenusPhoenix,Poison Ivy,50,Running Duck,0,Everyone is going to choose keep 100. It's actually the fairest for everyone to keep 100. ,150,365 Buttons,60,yes,This is very beneficial proposal for me. ,Steve Carrell,50,50/50 is a choice that I can nearly guarantee the other student will accept. ,accept,110,female,asian,domestic
Rodge_Lodge,Piggy Pig,40,Redbird,0,There is no benefit to sharing points for either party,140,TheGameMan,50,yes,This is a fair offer that will benefit both of us,TEMP1063,40,40 points is the lowest number of points I feel confident will be accepted,N/A,50,male,white,domestic
Queen Elizabeth,UpsideDownInsideOut,0,Baseball 2026,0,I am not sure if the other person will want to give away all their points so our pay-offs will be the same.,100,StonePoet,50,yes,IT does not hurt me accepting the points.,Feathers Mcgraw,30,Giving 30 points will give the opposite player some points while still keeping more than majority.,accept,120,female,hispanic,domestic
TEMP1040,"","","","","","","","","","","","","","","",female,white,domestic
