Player,Player's Gender,Player's RaceEthnicity,Player Says People Trustworthy,Player Says Students Trustworthy,Player Says Self Trustworthy,TR Player's Sender,TR Sender Gave to Player,TR % Player Returned to Sender,TR % Returned to Sender Rationale,TR Player's Receiver,TR Player Gave to Receiver,TR Gave to Receiver Rationale,TR % Receiver Returned to Player,TR % Returned to Player Rationale,TR Player's NotReturned+Kept+GotBack Score,GRE Player's Sender,GRE Sender Gender,GRE Sender RaceEthnicity,GRE Sender Gave to Player,GRE % Player Returned to Sender,GRE % Returned to Sender Rationale,GRE Player's Receiver,GRE Receiver Gender,GRE Receiver RaceEthnicity,GRE Player Gave to Receiver,GRE Gave to Receiver Rationale,GRE % Receiver Returned to Player,GRE % Returned to Player Rationale,GRE Player NotReturned+Kept+GotBack Score
Friendly Narwal,male,white,no,yes,yes,Riddhim12,3,0,free points,Georgiana Darcy,10,I hope they give me back points,50%,I give back 50% because it's a fair distribution and the player entrusted me with all their points and I don't want to break the trust,80,poetic justice,male,hispanic,0,Recvd 0,rip,Piggy Pig,female,asian,10,I hope they give me back points,40%,Sometimes guys are being geneous and care less,40
Edamame,female,asian,yes,yes,yes,Caniac Combo,5,50,"The student trusted me with half their points, so I want to give them the same.",RedWineSupernova,5,"Whatever the student chooses to give me, I will still have enough points to survive.",20%,I want to keep a higher percentage of the points,40,MCOC13,male,middle eastern,5,50,I will give the student half of my points. Ethnicity and gender do not change my answer.,Chicken Tenders,female,white,5,I want to give the student 50 points so we both have an equal amount of points. Ethnicity and gender does not change my preference.,10%,"thank you for the points, here are points for u too  ",35
ceruleanchameleon,female,middle eastern,yes,yes,yes,Frank Rizzo,4,50,Split share,Rodge_Lodge,4,I think its time for me to give myself an extra point.,0%,I would like to maximize my points,26,JustDance,female,black,2,100,I taking what im getting,Running Duck,male,white,0,I prefer to keep my points.,0%,its competitive,10
StonePoet,male,white,yes,yes,yes,MachiavelliPRTeam,10,50,they trusted me to i will reward them ,TEMP1057,0,hope they will decide to bless me ,Offer of zero,I have nothing to give back. ,60,Lucy diamond,female,white,0,Recvd 0,there was nothing for me to give ,Blawg,male,asian,0,trust this brother to do whats fair ,Offer of zero,>:(,10
plov,male,white,yes,yes,yes,"","","","","","","","","","",Blawg,male,asian,9,"","","","","","","","","",0
ariel28,female,white,no,no,no,Piggy Pig,5,50,half seems fair,Blue Sky,0,"i don't feel generous enough to give one student so many points,  ",Offer of zero,"Because no points were entrusted to me, I could not give anything back.",35,TEMP1041,female,asian,5,50,half seems fair,MachiavelliPRTeam,male,hispanic,5,i trust this guy ,40%,"In past data sets, minorities were shown to have been more charitable than White. While Females likely to share, this gives uncertainty",50
Great One,male,white,yes,yes,yes,White Glint,0,Recvd 0,they didnt give me any points,TEMP1069,10,Lets work together here please,No Play: 50%,N/A,50,Mr Sandman,male,middle eastern,4,0,dog eat dog world brotha,White Glint,male,asian,10,I hope that they would give me plenty of points too,0%,"I was a giver last round, want to be a keeper this round.",40
TEMP1048,female,black,no,yes,yes,"","","","","","","","","","","","","","","","","","","","","","","",""
Rose Skye,female,white,no,yes,yes,TheGameMan,7,0,i need the points ngl,louiefrank42,5,5 is a good middleground,0%,We each got 500 points so I will keep my points since it was a fair exchange,75,Frank Rizzo,male,white,4,0,they gave 4 which is already not alot,soup,female,white,5,I feel this is a somewhat fair middle ground,30%,"I think I gave a full 10 pts in the other one, so I'm taking a little more than half just in case I get screwed over there",60
Rodrick7,male,asian,no,no,yes,MrSquiggles,10,0,Keeping all the points maximizes my own payoff.,67onthebeat,5,I chose to give 5 points because it creates a meaningful amount for the other student while still keeping some points for myself,50%,Me and the other student will have a perfect 100 points under out belts. Win-win. ,130,Pretty Princess,female,hispanic,5,0,Keeping all the points maximizes my own payoff.,Eggos,male,hispanic,5,I gave 5 points to encourage cooperation while still keeping some points for myself.,No Play: 50%,N/A,80
