Player,ULT Player's Sender,ULT Sender's Offer to Player,ULT Player Accepted Sender's Offer,ULT Player Accepted Sender's Offer Rationale,ULT Player's Receiver,ULT Player's Offer to Receiver,ULT Player's Offer to Receiver Rationale,ULT Receiver Accepted or Rejected Player's Offer,ULT Player's Received+Kept Score,ROBRESP Player Kept,ROBRESP Player Kept Rationale,ROBRESP Robot Accepted or Rejected,ROBRESP Player Score,ROBPROP Robot Offer,ROBPROP Player Accepted or Rejected,ROBPROP Player Acc Rej Rationale,ROBPROP Player Score
Friendly Narwal,TEMP1061,40,yes,free pts,PomegranateSeed,40,I want them to accept,accept,100,60,I want the robot to accept,reject,0,50,accept,free points,50
Edamame,Rodrick7,30,yes,I am glad I got any points at all.,Pepper Angel,50,"We both get an equal number of points, so each student feels good with their decision.",accept,80,60,I will give the robot more points just in case the probability skews towards students rejecting point totals that are too low.,accept,60,50,accept,The robot offered me an equal amount of points. ,50
ceruleanchameleon,Baseball 2026,50,yes,Better than 40.,MrSquiggles,50,All is fair to those who choose equality,accept,100,50,"Robots will base their judgement off of the facts, and is more likely to accept a proposal that is inherently fair to both parties.",accept,50,50,accept,I stand by my choice.,50
StonePoet,Crazy Oreo,40,no,"im not gonna let them get the better of me, id rather bring them to my level",Queen Elizabeth,50,its the most fair so they should be willing to accept,accept,50,50,the most fair ,accept,50,50,accept,it is equal and fair ,50
plov,"","","","","","","","","","","","","",50,"","",""
ariel28,GamerWorld3,50,yes,i also offered them 50 points,Magic Raccoon,50,it is hard to reject an equal share,accept,100,50,a robot would understand that equal share is best ,accept,50,50,accept,i also offered the robot 50 points,50
Great One,TEMP1041,50,yes,helps us both out ,KingJames,30,would you rather have 30 or 0?,accept,120,60,i don't see why the robot wouldn't accept,accept,60,50,accept,I will take 50 free points,50
TEMP1048,"","","","","","","","","","","","","",50,"","",""
Rose Skye,GoofyGoober,30,yes,better than 0,Hibiscusohwhateva4.,40,i feel this is a fair deal for exchanging points with a person i dont know,accept,90,50,i want to be safe,accept,50,50,accept,50 is very fair,50
Rodrick7,Crazy Wrestler,50,yes,"Accepting guarantees a positive payoff, whereas rejecting results in zero points.",Edamame,30,I offered a fair share to reduce the chance of rejection.,accept,120,70,I offered 30 points to increase the likelihood that the Robot accepts the proposal,accept,70,50,accept,Accepting guarantees a positive payoff,50
Omega Tron,Blawg,50,yes,even split is great. i don't want to punish them,Anthony Marcus,50,im sure theyll feel likke this is a fair split,N/A,50,60,i feel like the probability is high for a 60-40 split. the robot wont feel hurt by my decision,accept,60,50,accept,50 split is fair,50
Black Cat,"","","","","","","","","","","","","",50,reject,Not a good deal,0
imbatman,Steve Carrell,60,"","",SilverSlay,50,"Seems like the most obvious choices when it comes to chances. If they distribute unevenly, then we both equally, get zero as an outcome",accept,50,60,i feel slight advantage to myself in taking advantage of the robot.,accept,60,50,"","",""
RedWineSupernova,Rosella Bloom,50,yes,I think it's fair we each get half,TEMP1031,50,If the other has a say then we might as well have 50/50 to make sure we both get the points.,accept,100,50,I think most human proposers and responders would do 50/50.,accept,50,50,accept,I also think it's fair to get half.,50
