Player,REV Cum Pts Available,REV Passive Partner,REV Pp Cum Pts Available,REV % Given Or Taken,REV Rationale,REV Points Given,REV Double Points Given,REV Points Taken,REV Half Points Taken,REV Player's Active Partner Score,REV Player's Passive Partner Score,REV Player Richer Than Passive Partner?,REV Player's Total Score,PREREV Cumulative Gaming Points,POSTREV Cumulative Gaming Points,Rich Poor,Gender,Political Party,Spiritual Religious,Spirituality Religiosity,Law School,Economics Major,Hogwarts House,People Trustworthy,Students Trustworthy,Yourself Trustworthy
Friendly Narwal,103,Blue Sky,103,-100,sorry,0,0,103,51,51,-103,yes,-52,2006,1954,lower middle-class,male,democrat,neither spiritual nor religious,zero,yes,yes,Ravenclaw,no,yes,yes
Edamame,95,Hibiscusohwhateva4.,56,100,I don't mind giving 100% of my points because I will still have a lot of points after.,95,190,0,0,-95,190,yes,-95,1902,1807,middle-class,female,democrat,spiritual but not religious,medium,no,no,Ravenclaw,yes,yes,yes
ceruleanchameleon,99,TEMP1066,101,-10,"We are so close in points, I don't need that much",0,0,10,5,5,-10,no,5,1959,1964,upper middle-class,female,indep lib,both spiritual and religious,high,no,no,Slytherin,yes,yes,yes
StonePoet,92,Edamame,95,0,the most fair ,0,0,0,0,0,0,no,-92,1863,1771,middle-class,male,republican,both spiritual and religious,medium,maybe,no,Gryffindor,yes,yes,yes
plov,"","","","","","","","","","","","","",1630,1630,middle-class,male,democrat,spiritual but not religious,medium,yes,no,Gryffindor,yes,yes,yes
ariel28,97,TEMP1063,82,9,he has fewer points than me ,9,18,0,0,-9,18,yes,-106,1929,1823,upper middle-class,female,indep cons,both spiritual and religious,medium,yes,no,Hufflepuff,no,no,no
Great One,98,Poison Ivy,101,-100,dog eat dog,0,0,101,50,50,-101,no,-48,1944,1896,rich,male,republican,spiritual but not religious,low,yes,no,Hufflepuff,yes,yes,yes
TEMP1048,"","","","","","","","","","","","","",1401,1401,poor,female,democrat,religious but not spiritual,low,yes,no,Slytherin,no,yes,yes
Rose Skye,91,MachiavelliPRTeam,104,0,i dont wanna do either,0,0,0,0,0,0,no,144,1839,1983,upper middle-class,female,democrat,spiritual but not religious,medium,maybe,no,Ravenclaw,no,yes,yes
Rodrick7,97,Cinders1,92,-5,"Taking points increases my own score, while giving points reduces it.",0,0,5,2,2,-5,yes,22,1934,1956,middle-class,male,indep cons,spiritual but not religious,zero,no,no,Hufflepuff,no,no,yes
Omega Tron,105,White Glint,95,50,i have more than my partner. my points will be more valuable if they're doubled anyways! ,53,106,0,0,-53,106,yes,-158,2022,1864,middle-class,female,democrat,spiritual but not religious,low,yes,no,Hufflepuff,yes,yes,yes
Black Cat,"","","","","","","","","","","","","",1311,1311,upper middle-class,male,indep cons,spiritual but not religious,low,yes,no,Slytherin,yes,yes,yes
imbatman,96,KingJames,106,"","","","","","","","","",0,1923,1923,poor,female,indep lib,both spiritual and religious,medium,yes,no,Ravenclaw,yes,yes,yes
RedWineSupernova,103,Eucalyptus,100,-10,I genuinely don't want to take anything but on the offchance they take pts from me I can protect myself a little bit,0,0,10,5,5,-10,yes,5,2006,2011,middle-class,female,democrat,spiritual but not religious,medium,yes,no,Slytherin,no,yes,yes
beautifully_done09,"","","","","","","","","","","","","",1221,1221,poor,female,indep lib,spiritual but not religious,medium,maybe,no,Ravenclaw,no,no,yes
Piggy Pig,95,Carbine164,100,32,I choose to give some points so it can be more neural between us,30,60,0,0,-30,60,no,-125,1909,1784,lower middle-class,female,democrat,both spiritual and religious,low,no,no,Gryffindor,yes,yes,yes
Kali Uches,94,Riddhim12,106,0,"Regardless of taking all or giving, it will neither give me a better score than the other player so therefore, it is pointless.",0,0,0,0,0,0,no,0,1882,1882,lower middle-class,female,democrat,both spiritual and religious,medium,yes,no,Hufflepuff,yes,yes,yes
TEMP1041,103,Magic Raccoon,96,0,I choose not to give or take because neutrality avoids harming the other player while also avoiding a personal loss.,0,0,0,0,0,0,yes,-103,2006,1903,upper middle-class,female,democrat,spiritual but not religious,medium,yes,no,Ravenclaw,no,yes,yes
67onthebeat,90,JustDance,96,-100,"I feel really bad, but I want a grade increase and they will still have a higher score than me after this game. ",0,0,96,48,48,-96,no,-42,1823,1781,poor,female,indep lib,both spiritual and religious,low,yes,no,Ravenclaw,no,yes,no
Retroactivity,103,Tango,101,0,I have a high standing in the class and dont want to risk it,0,0,0,0,0,0,yes,-103,2004,1901,upper middle-class,female,indep lib,spiritual but not religious,low,no,no,Ravenclaw,yes,yes,yes
Crazy Oreo,100,FerrousTuba,84,-20,I would want to benifit but I wouldn't want to take all their points.,0,0,17,8,8,-17,yes,-92,1968,1876,lower middle-class,female,democrat,both spiritual and religious,medium,maybe,no,Hufflepuff,no,no,yes
Ben Alpine,79,Kali Uches,94,"","","","","","","","","",0,1636,1636,upper middle-class,female,democrat,spiritual but not religious,medium,maybe,no,Ravenclaw,yes,yes,yes
Crazy Wrestler,100,Retroactivity,103,-100,we will be at about the same score,0,0,103,51,51,-103,no,51,1972,2023,middle-class,male,democrat,both spiritual and religious,high,yes,no,Slytherin,yes,yes,yes
KingJames,106,Ivy Rain,93,-100,Maximizing points. ,0,0,93,46,46,-93,yes,46,2037,2083,lower middle-class,male,indep cons,religious but not spiritual,medium,yes,no,Gryffindor,yes,yes,yes
Turbo Corgi,"","","","","","","","","","","","","",1509,1509,upper middle-class,female,indep lib,neither spiritual nor religious,zero,maybe,no,Ravenclaw,yes,yes,yes
