Player,REV Give Or Take,REV Rationale,REV Points Given,REV Points Taken,REV Player Richer Than Passive Partner?,DICT Give,DICT Give Rationale,PG Keep,PG Keep Rationale,Diversity Survey Taxation Preference,Gender,Parental Income,Rich Poor,Radio Left Right Political Spectrum,Political Party,Religious Practice,Spiritual Religious,Economics Major,Law School,Volunteer Hours,Volunteer Organizations
Friendly Narwal,-100,sorry,0,103,yes,0,There doesn't seem to be an incentive to give away points,10,It is a strictly dominant strategy (game theory optimal),progressive taxation,male,<$50K,lower middle-class,L6,democrat,low,neither spiritual nor religious,yes,yes,1-10,1-5
Edamame,100,I don't mind giving 100% of my points because I will still have a lot of points after.,95,0,yes,50,I have nothing against the other student and want to give them an equal amount that I have.,0,I am okay with giving away all my points because some will come back to me.,flat tax,female,<$50K,middle-class,L10,democrat,low,spiritual but not religious,no,no,1-10,1-5
ceruleanchameleon,-10,"We are so close in points, I don't need that much",0,10,no,50,"If my peer chooses to be selfish, I still end up with half of the original points, which I am okay with.",5,Give what you get.,progressive taxation,female,$100K-$250K,upper middle-class,L8,indep lib,low,both spiritual and religious,no,no,0-1,1-5
StonePoet,0,the most fair ,0,0,no,50,since there is no multiplier for giving splitting is the most fair ,0,its the most beneficial for the community ,flat tax,male,$100K-$250K,middle-class,R4,republican,medium,both spiritual and religious,no,maybe,0-1,1-5
plov,"","","","","","","",5,I hope I will get point from other people decision ,progressive taxation,male,$50K-$100K,middle-class,L5,democrat,zero,spiritual but not religious,no,yes,1-10,1-5
ariel28,9,he has fewer points than me ,9,0,yes,0,i don't trust one other individual student ,0,"If everyone chose this option, we would all have the most amount of points possible. I think that most other people would trust. ",progressive taxation,female,>$250K,upper middle-class,R1,indep cons,high,both spiritual and religious,no,yes,1-10,1-5
Great One,-100,dog eat dog,0,101,no,0,this way I get 100,10,sorry but this is competitive. I hope I get a good group,no taxation,male,>$250K,rich,R5,republican,low,spiritual but not religious,no,yes,0-1,0
TEMP1048,"","","","","","","","","",progressive taxation,female,$50K-$100K,poor,L7,democrat,low,religious but not spiritual,no,yes,1-10,1-5
Rose Skye,0,i dont wanna do either,0,0,no,0,i dont know this other student,10,"I don't trust random groups, especially when we have no known shared qualities that will ensure they give points.",flat tax,female,>$250K,upper middle-class,L4,democrat,low,spiritual but not religious,no,maybe,0-1,1-5
Rodrick7,-5,"Taking points increases my own score, while giving points reduces it.",0,5,yes,20,I chose to keep most of the points while still sharing some with the other student.,10,"chose to keep all 10 points because, given the incentives of the game, contributing to the group reduces my individual payoff.",progressive taxation,male,$50K-$100K,middle-class,L3,indep cons,zero,spiritual but not religious,no,no,0-1,>5
Omega Tron,50,i have more than my partner. my points will be more valuable if they're doubled anyways! ,53,0,yes,50,ill keep things fair. hopefully they did the same,5,"i want to keep some for myself just in case. keeping 0 would optimize group utility, but im sure there will be free riders",progressive taxation,female,$100K-$250K,middle-class,L5,democrat,low,spiritual but not religious,no,yes,1-10,1-5
Black Cat,"","","","","","","","","",progressive taxation,male,$100K-$250K,upper middle-class,L5,indep cons,low,spiritual but not religious,no,yes,0-1,0
imbatman,"","","","","",50,This seems like the best average odds.,5,I will take a gamble in hopes of my fellow group mates do the same.,flat tax,female,<$50K,poor,L3,indep lib,low,both spiritual and religious,no,yes,1-10,1-5
RedWineSupernova,-10,I genuinely don't want to take anything but on the offchance they take pts from me I can protect myself a little bit,0,10,yes,30,"I want a majority of the points, but on the occasion it backfires on me some way, I'll still have some leeway.",10,I lose half the points I give to the group,progressive taxation,female,$50K-$100K,middle-class,L7,democrat,zero,spiritual but not religious,no,yes,10+,1-5
beautifully_done09,"","","","","","","","","",progressive taxation,female,<$50K,poor,L7,indep lib,low,spiritual but not religious,no,maybe,0-1,1-5
