Player,Born into Which Country (You),Born into Which Country (1 in 330 mio people USA),Born into Which Country Rationale,Which Income Distribution is USA?,USA Rationale
Friendly Narwal,nearly equal,nearly equal,"I think some inequality is good to spark competition, but behind a veil I would choose not a lot of inequality to hedge",somewhat unequal,"I think based on Income, there is less inequality in the US where a larger middle class exists (than Columbia). Sweden has high parity"
Edamame,maximally equal,maximally equal,Each quintile having the same 20% share would ensure that each country has the same opportunities.,highly unequal,I am basing this choice off of what I am seeing in recent politics. I believe the US has a highly unequal wealth distribution.
ceruleanchameleon,nearly equal,maximally equal,Nearly equal takes away more from the lowest income quantile while still being more equal than the rest.,somewhat unequal,"The US is pretty unequal but Columbia is more unequal than them, therefore making it somewhat unequal."
StonePoet,maximally equal,maximally equal,everyone should have access to the same tools ,somewhat unequal,this is the current state of things 
plov,maximally equal,maximally equal,I feel maximally equal income country will be save and prosper. Although it very hard to imagine one in real life.,highly unequal,I think US represent chart #3
ariel28,very unequal,very unequal,"The lowest percentage of lowest quitile, but life would still have some competition to keep it interesting",somewhat unequal,very unequal is probbaly colombia and the other one is sweden 
Great One,maximally unequal,nearly equal,I back myself to be able to make it into the top percentage of people and I would pretty much be rewarded the best in this case,highly unequal,I think it is highly unequal because the richer people control so much of the society comparatively
TEMP1048,very unequal,nearly equal,very different in wealth gap,highly unequal,wealth gap
Rose Skye,somewhat unequal,nearly equal,I wouldn't like to live in a country where everyone has a fixed income and theres no possibility of raising your income.,somewhat unequal,"I believe that Sweden would be the most fair, followed by the U.S. ideally, and Columbia."
Rodrick7,maximally equal,maximally equal,I prefer safer options and don't like taking risks.,somewhat unequal,"I guess, I'm not so sure."
Omega Tron,somewhat unequal,maximally equal,id benefit from a somewhat unequal society if i were as privileged and educated as i am now. ,highly unequal,im in between columbia and the US 
Black Cat,somewhat unequal,nearly equal,Seems the best opportunity to grow,somewhat unequal,Data wise seems that way
imbatman,nearly equal,maximally equal,It rewards effort while ensuring a safety net so no one is left behind or struggling to survive,highly unequal,"I chose this because the US has a huge wealth gap. It’s not as balanced as Sweden, but not quite at a total collapse like Colombia."
RedWineSupernova,nearly equal,nearly equal,Happiness is relative and I think there is joy from upward mobilization. But stark income inequality has the opposite effect.,highly unequal,"Billionaires like Elon Musk and Jeff Bezos exist and reside in the U.S., increasing income inequality."
beautifully_done09,nearly equal,somewhat unequal,My chances of receiving a higher income share are considerably higher. ,nearly equal,The vast majority of the population falls within the three lowest thresholds while a select few fall within the two highest thresholds.
Piggy Pig,somewhat unequal,nearly equal,"I think in a countries, it's important to be in diverse level, so people can be motivated to fight on",highly unequal,US has much greater income concentration at the top
Kali Uches,maximally equal,nearly equal,Everything seems fair and this causes a neutral state within everyone. ,highly unequal,The United States has an increasing income gap between working class and elites which only grows as time goes on.
TEMP1041,nearly equal,nearly equal,risk-aware but fairness-oriented,highly unequal,The U.S. has a much larger income share going to the top quintile than Sweden and significantly more inequality than most advanced demo
67onthebeat,maximally equal,maximally equal,"I am not a fan of high risk, high reward when it comes to the economy. ",highly unequal,"I grew up in poverty, while my mother's boss owned multiple cars and homes. That is unequal. "
Retroactivity,very unequal,very unequal,"I feel 100% upper quintile would lead to a lack of productivity and jobs in a society, I want the very unequal to keep competition",somewhat unequal,Somewhat unequal has the smallest of the upper quintile category 
Crazy Oreo,nearly equal,maximally equal,"In a nearly equal country, it would balance out opportunities and fairness.",highly unequal,I think that the U.S would have a highly unequal chart since it has an unequal distribution of income but would not be in the max level
Ben Alpine,somewhat unequal,nearly equal,"While I would like things to be equitable, I also think you should somewhat earn your share through hard work. ",somewhat unequal,"Comparatively, the US is not that unequal, as there is some opportunity to become successful without nepotism. "
Crazy Wrestler,nearly equal,nearly equal,"Everyone has a decent share of income, but those who have advantages or deserve more receive more, but not completely uneven",highly unequal,the upper percentile has more wealth than the lower 50% 
KingJames,somewhat unequal,somewhat unequal,I would want a chance to have a high endowment of resources. ,somewhat unequal,The U.S. has some wealth inequality
Turbo Corgi,nearly equal,maximally equal,Has economic security and good opportunity with low risks of being at the bottom of an unequal society ,highly unequal,Income is concentrated the most at the top which is highly unequal compared to others
Charlie the dog,nearly equal,nearly equal,My thought process is that it needs to be a little unequal for the economy to still run and get people to work in different sectors. ,somewhat unequal,"My guess is Sweden is nearly equal and Colombia is highly unequal, so that would leave the U.S in the middle. "
TEMP1031,nearly equal,maximally equal,Besides equality I would also think about equity as people of various backgrounds require different resources. ,somewhat unequal,"I assume Sweden with its srong welfare system would strive for equality. Oppositely, Columbia is known for its extreme unequality. "
MachiavelliPRTeam,nearly equal,nearly equal,"I believe that it is a necessary cost to low-income individuals, for high earners to keep more. This money is invested back as jobs. ",somewhat unequal,"As a Latino, I am familiar with how bad the wealth gap is in Columbia and greater Latin America. Legacies of colonial projects & policy"
BobaLover123,maximally equal,maximally equal,I find it unfair when one group can afford private airplanes while one group can barely put food on the table.,somewhat unequal,"I believe Sweden has a king so they would be highly unequal, but the U.S. has more rich people than Columbia. "
