Model,Class,Precision_Mean,Precision_Std,Recall_Mean,Recall_Std,F1_Mean,F1_Std
CNN,Clinch,0.310535631639183,0.03638535085410616,0.38427007877537045,0.11813996603481272,0.33243716304976995,0.045879642033881146
CNN,Keep down,0.4497127615665226,0.12041526985151171,0.39764212891661294,0.1289932226708549,0.408410330295759,0.09509063535885612
CNN,Lateral threat,0.47774975404508524,0.0905025787751993,0.478507906071024,0.041031150707311614,0.47324385121904394,0.04591108996136563
CNN,Upright posture,0.015799015799015798,0.02170354174062328,0.00265431929641908,0.0036481016862454268,0.004535687942959154,0.006222816365620917
GMM,Clinch,0.28808986050243585,0.044703272483256326,0.3754171996751999,0.1697234764011995,0.31012084853273353,0.10590781893370867
GMM,Keep down,0.366918625882805,0.05031550508447619,0.5648525110920817,0.13882388851378982,0.43878930591835774,0.048486985885825326
GMM,Lateral threat,0.49745875075910784,0.07550235315606743,0.21145812612395787,0.03226731359785421,0.2929032914907804,0.025984554624153295
GMM,Upright posture,0.049092021690262576,0.06542629244552801,0.00935356880036336,0.008089933630406406,0.013900602862549535,0.012261475611696156
LSTM,Clinch,0.3106811760194763,0.030812169495921814,0.4110536172212349,0.08441210476064584,0.3473416037326939,0.02289091366843075
LSTM,Keep down,0.4434415719513366,0.07802501511529226,0.42260338188760055,0.10964953594315242,0.42436401104307697,0.06920244243968957
LSTM,Lateral threat,0.49274013012016604,0.09620908019801568,0.4317713437203655,0.047734979965149096,0.4519673632648833,0.019846765447873876
LSTM,Upright posture,0.0730522955305564,0.06327040118925822,0.02322963630067883,0.018577728883039112,0.02987112766215927,0.019694176899948568
LightGBM,Clinch,0.3169122644387089,0.04695499666677483,0.3901337323434701,0.08667574529410492,0.34302430880044926,0.0371765122580781
LightGBM,Keep down,0.4826853839006809,0.04611863294707059,0.38885036434894193,0.08563350511198428,0.4232821288056396,0.045181142786868696
LightGBM,Lateral threat,0.4753109969504964,0.10644638043392629,0.5120679201645109,0.03666492194858183,0.4878198893205731,0.06120062489579956
LightGBM,Upright posture,0.043252297472360056,0.02128154628835636,0.007598925487046932,0.004395756560581651,0.012638739673741285,0.006685384724454116
RandomForest,Clinch,0.31234026385081437,0.043803597465814366,0.39958389000095906,0.08106850221853266,0.34394624262772466,0.028387455448500624
RandomForest,Keep down,0.47318722215137593,0.08004487213292523,0.2954126327821564,0.08896561602974228,0.3569826758949266,0.07481135949436435
RandomForest,Lateral threat,0.46207860667259926,0.09204563323797943,0.5534021692362712,0.03140179747665415,0.4998307376153612,0.05794890871519049
RandomForest,Upright posture,0.04832211695200364,0.015613291493646913,0.008937278706899131,0.004418109350578021,0.014898930906972089,0.006897347015698864
XGBoost,Clinch,0.30804826280874315,0.04083159160163211,0.40507744061488155,0.08207976014993922,0.34384744970027986,0.02953932826721761
XGBoost,Keep down,0.47842420821481657,0.0635588879570858,0.3607311814434962,0.06569535416418072,0.4055190297994001,0.038438035914738496
XGBoost,Lateral threat,0.4732038499609235,0.10912385758967637,0.501328208531221,0.040515133921527155,0.4815093293079807,0.06263575307111707
XGBoost,Upright posture,0.04929417580506814,0.0429273533102197,0.00689363367190657,0.007043432492106739,0.011913650064653012,0.011879826101561746
