Model,Class,Precision_Mean,Precision_Std,Recall_Mean,Recall_Std,F1_Mean,F1_Std
CNN,Aggression,0.32609596452338196,0.08658332984108565,0.058632246949035405,0.01873637379474999,0.097881956955615,0.026317236775846808
CNN,Non-social,0.7766839306839624,0.030335637925019993,0.5634214849924971,0.01859283446953809,0.6528562847404661,0.018933664600356136
CNN,Social,0.5789755805582477,0.03265310591483037,0.8410253629116573,0.01554559757950752,0.6853517895342613,0.02360149516664547
GMM,Aggression,0.15390863541682726,0.040108770194802766,0.7576739312626143,0.10424957523322459,0.2531538404187895,0.05285315958790766
GMM,Non-social,0.7030032138717223,0.09036403258699684,0.3442461220926269,0.06281397214320918,0.45506499246196064,0.04340019114615072
GMM,Social,0.5097153325346053,0.01835006799222379,0.3025742479953357,0.13243733284493697,0.3664477570188866,0.09654385449129843
LSTM,Aggression,0.2719604791958062,0.07019044566428034,0.10000816359930909,0.014650384557639453,0.14364898647781435,0.016021150228362417
LSTM,Non-social,0.7135737752292501,0.0354945633536735,0.5888066426497326,0.011091877282642017,0.6450500059704176,0.020170238650204453
LSTM,Social,0.5762851646279483,0.030454690659208885,0.7568100365173025,0.02042187068413341,0.6538570339834692,0.020879934751657735
LightGBM,Aggression,0.39944324369813244,0.07419306767180932,0.0526903444054412,0.013469889979994048,0.09161287601361591,0.01807662520350572
LightGBM,Non-social,0.7680355395395135,0.02837220307505937,0.6006437291147411,0.015760765646095947,0.6740617783306448,0.020299121550397238
LightGBM,Social,0.5899084387952347,0.03468389045427239,0.8302415364838549,0.011768768259627554,0.6893310512210518,0.025534272528559332
RandomForest,Aggression,0.3076854105700235,0.05497975878812688,0.09809674756609651,0.010603624805313133,0.14768218047828224,0.012430913526383916
RandomForest,Non-social,0.7397993848929595,0.031581028852048894,0.6077080039179504,0.018961011526744963,0.6671512760609787,0.02242997983671384
RandomForest,Social,0.5917660369800125,0.03162738113656727,0.7861383108383506,0.012227750252425132,0.6749854514349706,0.024036790369860377
XGBoost,Aggression,0.35487949057560975,0.056755638127694505,0.0723667740185102,0.01827026585885842,0.11846033110089087,0.02201136120828377
XGBoost,Non-social,0.7516749138268831,0.03261805454373211,0.6014038142289333,0.020262332391064928,0.6681679103942132,0.025151031753542604
XGBoost,Social,0.5878024045087848,0.03586738067830449,0.807841179628846,0.01301233578089072,0.6800412047666317,0.026160696781792548
