期号 ,前区1,前区2,前区3,前区4,前区5,后区1,后区2,开奖日期
26013,3,5,6,23,26,1,4,1/31/2026
26012,1,2,9,22,25,1,6,1/29/2026
26011,14,21,23,29,33,2,10,1/26/2026
26010,2,3,13,18,26,2,9,1/24/2026
26009,5,12,13,14,33,5,8,1/21/2026
26008,3,6,17,21,33,5,11,1/19/2026
26007,1,3,13,20,26,3,10,1/17/2026
26006,5,12,18,23,35,6,12,1/14/2026
26005,2,4,16,23,35,6,11,1/12/2026
26004,5,18,23,25,32,5,9,1/10/2026
26003,2,9,11,15,16,2,4,1/7/2026
26002,4,8,15,20,31,7,8,1/5/2026
26001,7,9,23,27,32,2,8,1/3/2026
25150,13,14,15,28,31,1,5,12/31/2025
25149,24,26,30,31,32,5,12,12/29/2025
25148,3,4,14,30,32,8,12,12/27/2025
25147,6,16,21,25,33,7,8,12/24/2025
25146,6,11,13,16,22,2,3,12/22/2025
25145,5,7,20,22,25,4,5,12/20/2025
25144,2,5,13,15,28,5,8,12/17/2025
25143,3,4,18,24,29,7,12,12/15/2025
25142,9,10,14,27,29,2,9,12/13/2025
25141,4,9,24,28,29,2,10,12/10/2025
25140,4,5,13,18,34,2,8,12/8/2025
25139,8,18,22,30,35,1,4,12/6/2025
25138,1,3,19,21,23,7,11,12/3/2025
25137,7,8,9,11,22,5,11,12/1/2025
25136,7,11,15,16,23,9,11,11/29/2025
25135,2,10,16,28,32,1,7,11/26/2025
25134,7,12,18,27,33,9,10,11/24/2025
25133,4,11,23,27,35,7,11,11/22/2025
25132,1,9,10,12,19,6,7,11/19/2025
25131,3,8,25,29,32,9,12,11/17/2025
25130,1,13,16,27,29,2,11,11/15/2025
25129,3,9,14,28,35,2,4,11/12/2025
25128,3,6,26,30,33,11,12,11/10/2025
25127,4,5,19,28,29,5,8,11/8/2025
25126,1,8,18,27,30,6,7,11/5/2025
25125,10,11,13,19,35,4,11,11/3/2025
25124,6,9,14,26,27,8,9,11/1/2025
25123,8,13,24,25,31,4,10,10/29/2025
25122,2,3,6,16,17,4,5,10/27/2025
25121,2,3,8,13,21,7,12,10/25/2025
25120,11,13,22,26,35,2,8,10/22/2025
25119,8,15,27,29,31,1,7,10/20/2025
25118,2,8,9,12,21,4,5,10/18/2025
25117,5,10,18,21,29,5,7,10/15/2025
25116,2,6,16,22,29,8,12,10/13/2025
25115,3,12,14,21,35,1,5,10/11/2025
25114,3,8,9,12,16,1,5,10/8/2025
25113,1,14,18,28,35,2,3,10/6/2025
25112,3,4,21,23,24,9,12,9/29/2025
25111,2,9,14,21,26,2,12,9/27/2025
