开始日期,2024-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
截止日期,2025-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
收盘价,close,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
日期,农林牧渔(申万),基础化工(申万),钢铁(申万),有色金属(申万),电子(申万),家用电器(申万),食品饮料(申万),纺织服饰(申万),轻工制造(申万),医药生物(申万),公用事业(申万),交通运输(申万),房地产(申万),商贸零售(申万),社会服务(申万),综合(申万),建筑材料(申万),建筑装饰(申万),电力设备(申万),国防军工(申万),计算机(申万),传媒(申万),通信(申万),银行(申万),非银金融(申万),汽车(申万),机械设备(申万),煤炭(申万),石油石化(申万),环保(申万),美容护理(申万)
Date,801010.SI,801030.SI,801040.SI,801050.SI,801080.SI,801110.SI,801120.SI,801130.SI,801140.SI,801150.SI,801160.SI,801170.SI,801180.SI,801200.SI,801210.SI,801230.SI,801710.SI,801720.SI,801730.SI,801740.SI,801750.SI,801760.SI,801770.SI,801780.SI,801790.SI,801880.SI,801890.SI,801950.SI,801960.SI,801970.SI,801980.SI
2024-12-31,2530.8400,3280.4800,2102.3100,4317.9900,4432.2500,8442.5700,17958.3400,1495.0300,2027.8200,7222.3100,2395.2700,2254.9300,2157.2900,2238.8800,7988.4500,2732.9700,4390.9400,1991.5100,7112.7400,1474.7800,4407.2900,644.5700,2977.8100,3909.3500,1866.3000,6420.2200,1517.8900,2904.9100,2315.6000,1675.4500,4358.5000
2025-01-01,2530.8400,3280.4800,2102.3100,4317.9900,4432.2500,8442.5700,17958.3400,1495.0300,2027.8200,7222.3100,2395.2700,2254.9300,2157.2900,2238.8800,7988.4500,2732.9700,4390.9400,1991.5100,7112.7400,1474.7800,4407.2900,644.5700,2977.8100,3909.3500,1866.3000,6420.2200,1517.8900,2904.9100,2315.6000,1675.4500,4358.5000
2025-01-02,2485.9700,3212.5000,2061.0100,4280.1400,4273.6100,8423.7400,17623.8900,1496.4200,2014.1900,7062.3100,2333.3700,2192.4200,2120.9400,2283.6500,7965.3100,2738.5300,4328.9400,1925.6800,6911.6200,1408.6800,4228.0800,630.8500,2889.2300,3823.5100,1774.7000,6225.2300,1480.6100,2834.7800,2266.2600,1639.4400,4321.5500
2025-01-03,2426.5300,3148.7900,2022.7800,4291.4400,4177.0300,8279.2900,17369.1400,1442.8800,1942.4200,6980.1200,2301.2200,2168.2400,2055.3900,2158.1600,7576.2500,2613.6700,4253.5000,1873.9500,6748.3100,1359.0000,4018.4400,603.7000,2794.1900,3797.1900,1732.0700,6068.6000,1432.0600,2835.4800,2266.3800,1588.9600,4183.6300
2025-01-04,2426.5300,3148.7900,2022.7800,4291.4400,4177.0300,8279.2900,17369.1400,1442.8800,1942.4200,6980.1200,2301.2200,2168.2400,2055.3900,2158.1600,7576.2500,2613.6700,4253.5000,1873.9500,6748.3100,1359.0000,4018.4400,603.7000,2794.1900,3797.1900,1732.0700,6068.6000,1432.0600,2835.4800,2266.3800,1588.9600,4183.6300
2025-01-05,2426.5300,3148.7900,2022.7800,4291.4400,4177.0300,8279.2900,17369.1400,1442.8800,1942.4200,6980.1200,2301.2200,2168.2400,2055.3900,2158.1600,7576.2500,2613.6700,4253.5000,1873.9500,6748.3100,1359.0000,4018.4400,603.7000,2794.1900,3797.1900,1732.0700,6068.6000,1432.0600,2835.4800,2266.3800,1588.9600,4183.6300
2025-01-06,2427.0100,3165.0800,2046.6600,4323.3900,4134.7400,8320.5900,16966.5700,1441.3700,1918.9400,7072.4100,2293.4200,2163.8200,2041.2700,2080.2900,7451.7800,2627.8000,4253.4000,1869.3300,6775.9200,1343.5300,3963.2900,596.8200,2770.3100,3828.0600,1729.7300,6065.9100,1420.7000,2824.3900,2264.8200,1579.0900,4179.1200
2025-01-07,2447.3200,3192.0400,2048.9400,4424.9800,4311.9100,8413.5000,16991.6100,1462.0900,1958.4100,6976.4200,2284.3300,2164.9400,2063.6200,2098.8600,7597.4800,2732.7300,4290.8100,1889.6300,6818.4400,1370.3400,4071.4900,607.9700,2848.3500,3849.3300,1742.3100,6192.0800,1453.0000,2792.7400,2272.1400,1590.5900,4213.4600
2025-01-08,2428.6600,3155.6900,2024.4500,4366.1600,4294.7200,8600.8400,16998.9200,1461.0700,1957.1300,6931.8200,2296.6000,2170.1100,2054.5400,2107.6700,7573.9700,2785.8200,4269.4400,1879.7800,6790.0200,1362.3900,4050.2300,609.4400,2838.4700,3876.4900,1732.8100,6202.7600,1464.0200,2767.4800,2273.3700,1582.4100,4221.3500
