Sample,Sample Type,Carbonate Type,Location,Latitude,Longitude,Altitude（m）,Age(Ma),Age1(Ma),Period,Stage,Soil depth(cm),Burial depth（m）,N,δ13C,δ18O mineral,Δ47 Ghosh,Δ47 ARF,Temperature,δ18O water,Δ47Diagenetic alteration,reference
B32,calcareous sinter,calcite,Basenova,49.04 ,19.79 ,"The southern part of the territory is characterized by vast lowlands, extensions of theNeogene Pannonian Basin ",0.03,0.03,Quaternary,Holocene,,,10,7.20 ,-7.30 ,,0.652 ,6.00 ,-12.40 ,NA,"Vieira, D.S.C., Pivko, D., Rinyu, L., Palcsu, L., Kiss, G.I., Hu, H.M., Shen, C.C., Kele, S., 2023. Age and Depositional Temperature of Quaternary Travertine Spring Mounds from Slovakia. Minerals 13."
B34,calcareous sinter,calcite,Basenova,49.04 ,19.79 ,"The southern part of the territory is characterized by vast lowlands, extensions of theNeogene Pannonian Basin ",0.03,0.03,Quaternary,Holocene,,,12,7.80 ,-8.00 ,,0.632 ,12.00 ,-11.60 ,NA,"Vieira, D.S.C., Pivko, D., Rinyu, L., Palcsu, L., Kiss, G.I., Hu, H.M., Shen, C.C., Kele, S., 2023. Age and Depositional Temperature of Quaternary Travertine Spring Mounds from Slovakia. Minerals 13."
C7,calcareous sinter,calcite,Čerín，Slovakia,48.58 ,19.97 ,"The southern part of the territory is characterized by vast lowlands, extensions of theNeogene Pannonian Basin ",morden,0,Quaternary,Holocene,,,11,7.50 ,-7.30 ,,0.660 ,4.00 ,-13.00 ,NA,"Vieira, D.S.C., Pivko, D., Rinyu, L., Palcsu, L., Kiss, G.I., Hu, H.M., Shen, C.C., Kele, S., 2023. Age and Depositional Temperature of Quaternary Travertine Spring Mounds from Slovakia. Minerals 13."
DUD1,calcareous sinter,calcite,Dudince，Slovakia,48.20 ,19.01 ,"The southern part of the territory is characterized by vast lowlands, extensions of theNeogene Pannonian Basin ",morden,0,Quaternary,Holocene,,,12,7.70 ,-8.20 ,,0.608 ,20.00 ,-10.00 ,NA,"Vieira, D.S.C., Pivko, D., Rinyu, L., Palcsu, L., Kiss, G.I., Hu, H.M., Shen, C.C., Kele, S., 2023. Age and Depositional Temperature of Quaternary Travertine Spring Mounds from Slovakia. Minerals 13."
DUD15,calcareous sinter,calcite,Dudince，Slovakia,48.20 ,19.01 ,"The southern part of the territory is characterized by vast lowlands, extensions of theNeogene Pannonian Basin ",morden,0,Quaternary,Holocene,,,12,8.00 ,-8.10 ,,0.614 ,18.00 ,-10.30 ,NA,"Vieira, D.S.C., Pivko, D., Rinyu, L., Palcsu, L., Kiss, G.I., Hu, H.M., Shen, C.C., Kele, S., 2023. Age and Depositional Temperature of Quaternary Travertine Spring Mounds from Slovakia. Minerals 13."
DUD18,calcareous sinter,calcite,Dudince，Slovakia,48.20 ,19.01 ,"The southern part of the territory is characterized by vast lowlands, extensions of theNeogene Pannonian Basin ",morden,0,Quaternary,Holocene,,,8,8.00 ,-8.40 ,,0.588 ,26.00 ,-8.80 ,NA,"Vieira, D.S.C., Pivko, D., Rinyu, L., Palcsu, L., Kiss, G.I., Hu, H.M., Shen, C.C., Kele, S., 2023. Age and Depositional Temperature of Quaternary Travertine Spring Mounds from Slovakia. Minerals 13."
DUD2,calcareous sinter,calcite,Dudince，Slovakia,48.20 ,19.01 ,"The southern part of the territory is characterized by vast lowlands, extensions of theNeogene Pannonian Basin ",morden,0,Quaternary,Holocene,,,12,7.80 ,-8.00 ,,0.604 ,21.00 ,-9.60 ,NA,"Vieira, D.S.C., Pivko, D., Rinyu, L., Palcsu, L., Kiss, G.I., Hu, H.M., Shen, C.C., Kele, S., 2023. Age and Depositional Temperature of Quaternary Travertine Spring Mounds from Slovakia. Minerals 13."
DUD23,calcareous sinter,calcite,Dudince，Slovakia,48.20 ,19.01 ,"The southern part of the territory is characterized by vast lowlands, extensions of theNeogene Pannonian Basin ",morden,0,Quaternary,Holocene,,,12,7.60 ,-8.90 ,,0.631 ,12.00 ,-12.50 ,NA,"Vieira, D.S.C., Pivko, D., Rinyu, L., Palcsu, L., Kiss, G.I., Hu, H.M., Shen, C.C., Kele, S., 2023. Age and Depositional Temperature of Quaternary Travertine Spring Mounds from Slovakia. Minerals 13."
DUD29,calcareous sinter,calcite,Dudince，Slovakia,48.20 ,19.01 ,"The southern part of the territory is characterized by vast lowlands, extensions of theNeogene Pannonian Basin ",morden,0,Quaternary,Holocene,,,12,8.30 ,-8.80 ,,0.582 ,28.00 ,-8.70 ,NA,"Vieira, D.S.C., Pivko, D., Rinyu, L., Palcsu, L., Kiss, G.I., Hu, H.M., Shen, C.C., Kele, S., 2023. Age and Depositional Temperature of Quaternary Travertine Spring Mounds from Slovakia. Minerals 13."
DUD6,calcareous sinter,calcite,Dudince，Slovakia,48.20 ,19.01 ,"The southern part of the territory is characterized by vast lowlands, extensions of theNeogene Pannonian Basin ",morden,0,Quaternary,Holocene,,,11,7.90 ,-8.20 ,,0.601 ,22.00 ,-9.50 ,NA,"Vieira, D.S.C., Pivko, D., Rinyu, L., Palcsu, L., Kiss, G.I., Hu, H.M., Shen, C.C., Kele, S., 2023. Age and Depositional Temperature of Quaternary Travertine Spring Mounds from Slovakia. Minerals 13."
