SHIPMENT_ID,CARRIER_ID,EMAIL_COUNT,UNIQUE_EMAIL_COUNT,PHONE_COUNT,UNIQUE_PHONE_COUNT,TOTAL_ROWS
72632,27902,1,1,1,1,1
72924,28621,1,1,1,1,1
73389,37602,3,1,3,1,3
72949,36684,0,0,1,1,1
72348,35790,1,1,1,1,1
72949,36396,1,1,1,1,1
73027,36454,1,1,0,0,1
72949,35678,4,1,4,1,4
72543,20756,1,1,1,1,1
72949,33639,1,1,1,1,1
72754,36507,1,1,1,1,1
73211,37145,1,1,1,1,1
72822,36238,1,1,1,1,1
73418,22068,1,1,1,1,1
72617,33074,4,1,4,1,4
73140,34064,2,1,2,1,2
73275,21858,1,1,1,1,1
73140,22233,1,1,1,1,1
72926,36901,1,1,1,1,1
73133,26724,1,1,1,1,1
73341,37445,1,1,1,1,1
73511,38063,0,0,1,1,1
72728,23451,2,1,0,0,2
73275,36978,1,1,1,1,1
72693,35829,0,0,1,1,1
72554,36289,0,0,1,1,1
73118,26724,1,1,1,1,1
72712,22486,1,1,1,1,1
73549,37537,1,1,1,1,1
73536,34495,1,1,1,1,1
72777,38054,1,1,1,1,1
73134,36026,1,1,1,1,1
73360,37537,1,1,1,1,1
73497,21117,1,1,1,1,1
72437,36846,1,1,0,0,1
72916,37555,0,0,1,1,1
73247,35036,1,1,1,1,1
73464,37750,1,1,0,0,1
72836,23222,1,1,1,1,1
73179,37000,1,1,1,1,1
72757,35778,1,1,1,1,1
72398,26323,1,1,1,1,1
72587,35109,1,1,1,1,1
72924,36326,1,1,1,1,1
73325,34205,1,1,1,1,1
73014,22236,1,1,1,1,1
73205,33549,1,1,1,1,1
73539,37782,3,1,3,1,3
72917,30555,1,1,1,1,1
73209,35778,1,1,1,1,1
72683,36217,1,1,1,1,1
72065,36229,0,0,1,1,1
72631,36176,3,1,3,1,3
72774,36471,1,1,1,1,1
73550,22486,1,1,1,1,1
72537,37829,1,1,0,0,1
73332,23451,1,1,1,1,1
72491,21384,1,1,1,1,1
73191,36303,1,1,1,1,1
73140,22426,1,1,1,1,1
73131,37812,1,1,1,1,1
72726,36844,1,1,1,1,1
72491,20856,1,1,1,1,1
72906,25153,2,2,2,1,2
72712,21241,1,1,1,1,1
72931,37706,1,1,1,1,1
73261,37395,1,1,0,0,1
72338,35812,0,0,1,1,1
72822,20755,2,2,2,1,2
73034,35788,1,1,1,1,1
72842,20755,1,1,1,1,1
72688,34870,1,1,1,1,1
73543,37782,3,1,3,1,3
72596,35772,1,1,1,1,1
73133,30048,1,1,0,0,1
72949,21714,1,1,1,1,1
72917,20756,1,1,1,1,1
71858,21958,1,1,1,1,1
73137,21064,1,1,1,1,1
73250,37201,1,1,1,1,1
73549,22486,1,1,1,1,1
73021,33074,2,1,2,1,2
73034,35862,1,1,1,1,1
73131,34059,1,1,1,1,1
73204,35774,1,1,1,1,1
73514,35368,1,1,1,1,1
73205,26261,1,1,1,1,1
73250,34788,1,1,0,0,1
73209,37639,1,1,1,1,1
73507,21117,1,1,1,1,1
72864,36934,3,1,3,1,3
72842,21468,1,1,1,1,1
72538,35783,1,1,1,1,1
73140,21384,2,1,2,1,2
73275,29842,1,1,1,1,1
72841,36139,0,0,1,1,1
73261,37201,1,1,1,1,1
72596,35813,0,0,1,1,1
72746,36120,1,1,1,1,1
73325,34008,1,1,1,1,1
73325,33455,1,1,1,1,1
72338,22486,1,1,1,1,1
72763,30048,1,1,0,0,1
72949,21166,1,1,1,1,1
72587,35225,1,1,1,1,1
73253,35880,1,1,1,1,1
72761,36507,1,1,1,1,1
73253,34788,1,1,0,0,1
72916,21129,1,1,1,1,1
73581,22412,1,1,1,1,1
73261,36452,1,1,1,1,1
72776,35821,2,1,2,1,2
72632,33763,1,1,1,1,1
73049,21448,1,1,1,1,1
72509,34530,1,1,1,1,1
73140,24569,1,1,1,1,1
73496,37145,2,1,2,1,2
72348,35788,1,1,1,1,1
72455,35593,1,1,1,1,1
72537,37586,1,1,1,1,1
73257,21417,1,1,1,1,1
72543,36901,1,1,1,1,1
72736,21029,1,1,1,1,1
72721,21413,1,1,1,1,1
73247,27304,1,1,1,1,1
72779,21775,1,1,1,1,1
73417,33904,1,1,1,1,1
73285,37530,3,1,3,1,3
73209,20755,3,2,3,1,3
72746,34064,2,1,2,1,2
72491,37508,1,1,1,1,1
73392,23451,1,1,1,1,1
73325,34729,1,1,1,1,1
73016,37491,1,1,1,1,1
72065,36217,0,0,1,1,1
72340,35827,0,0,1,1,1
73362,37570,0,0,1,1,1
73140,20756,2,1,2,2,2
72924,37723,1,1,1,1,1
73130,37537,1,1,1,1,1
72836,25153,1,1,1,1,1
72632,21299,1,1,1,1,1
72491,27902,1,1,1,1,1
72683,35680,2,1,2,1,2
72769,26323,1,1,1,1,1
72884,36167,1,1,1,1,1
72914,36165,1,1,1,1,1
72563,36501,1,1,1,1,1
72761,20750,1,1,1,1,1
73540,37782,4,1,4,1,4
73201,36974,1,1,1,1,1
72543,32852,1,1,1,1,1
72065,36238,0,0,1,1,1
73261,34505,1,1,1,1,1
73197,36978,1,1,0,0,1
72801,36974,1,1,1,1,1
72909,26733,1,1,1,1,1
72688,33041,1,1,1,1,1
71970,21224,1,1,1,1,1
72765,29890,1,1,1,1,1
72683,23451,1,1,1,1,1
72906,21570,1,1,1,1,1
73275,37691,0,0,1,1,1
72712,24694,2,1,2,1,2
72949,36454,1,1,1,1,1
72065,36011,2,1,2,1,2
72770,22398,1,1,1,1,1
73550,21116,1,1,1,1,1
72746,35778,1,1,1,1,1
72511,34151,1,1,1,1,1
73514,33455,2,1,2,1,2
73206,21707,1,1,1,1,1
73325,22804,1,1,1,1,1
73142,21737,1,1,1,1,1
72949,36305,1,1,1,1,1
73191,36326,1,1,1,1,1
73129,36507,1,1,1,1,1
72842,34064,6,1,6,1,6
72876,36292,0,0,1,1,1
72683,33455,2,1,2,1,2
72595,35880,1,1,1,1,1
73328,33455,1,1,1,1,1
73346,37508,1,1,1,1,1
73247,33455,2,1,2,1,2
73250,37034,1,1,1,1,1
73027,36396,1,1,1,1,1
72683,36374,1,1,0,0,1
73140,23239,1,1,1,1,1
72688,36174,1,1,1,1,1
73285,37602,2,1,1,1,2
72689,22211,1,1,1,1,1
72491,34530,2,1,2,1,2
73253,24569,1,1,1,1,1
73349,35593,1,1,0,0,1
72702,36497,1,1,1,1,1
73502,38063,1,1,1,1,1
72842,33074,2,1,2,1,2
72745,34064,2,1,2,1,2
72455,35862,1,1,1,1,1
73116,36501,1,1,1,1,1
72683,36279,1,1,1,1,1
73139,37588,1,1,1,1,1
73468,20755,2,2,2,2,2
72841,34064,3,1,3,1,3
72693,33964,1,1,1,1,1
72686,30555,1,1,1,1,1
73247,20856,1,1,1,1,1
72306,21384,2,1,2,1,2
73340,36389,1,1,1,1,1
72841,33074,1,1,1,1,1
72703,30062,1,1,1,1,1
73134,34205,1,1,1,1,1
72822,36423,1,1,1,1,1
73275,36503,1,1,1,1,1
72378,21958,1,1,1,1,1
72949,36693,0,0,1,1,1
72776,36083,1,1,1,1,1
72683,21835,2,2,2,1,2
72949,36786,0,0,1,1,1
73015,37635,0,0,1,1,1
72563,23222,1,1,1,1,1
73191,33763,1,1,1,1,1
72777,36859,1,1,1,1,1
73325,22233,1,1,1,1,1
73261,21487,1,1,1,1,1
72723,21384,1,1,1,1,1
73360,22743,1,1,1,1,1
72496,21637,1,1,1,1,1
73250,33763,2,1,2,1,2
73536,37782,3,1,3,1,3
73285,21241,1,1,1,1,1
73134,36507,1,1,1,1,1
72493,21532,1,1,1,1,1
72593,36059,0,0,1,1,1
73137,33183,1,1,1,1,1
73130,37150,1,1,0,0,1
73176,36176,5,1,5,1,5
72916,36326,1,1,1,1,1
73332,21239,1,1,1,1,1
72563,21241,1,1,1,1,1
72765,36507,1,1,1,1,1
72511,36122,0,0,1,1,1
73049,37236,1,1,1,1,1
72779,22077,1,1,1,1,1
72592,36059,1,1,1,1,1
73375,36452,1,1,1,1,1
72492,22175,1,1,1,1,1
71970,22067,1,1,1,1,1
73261,21198,2,2,2,1,2
72632,21413,1,1,1,1,1
72822,30611,1,1,0,0,1
73514,35773,1,1,1,1,1
73145,36452,1,1,1,1,1
72557,21333,1,1,1,1,1
72683,22304,1,1,1,1,1
73130,36289,1,1,1,1,1
72537,37656,1,1,1,1,1
73247,35821,1,1,1,1,1
72801,36406,1,1,1,1,1
73492,36471,1,1,1,1,1
71977,27902,1,1,1,1,1
72935,36406,1,1,1,1,1
72949,30436,1,1,1,1,1
72505,21936,1,1,1,1,1
73032,36473,1,1,1,1,1
73015,35343,1,1,1,1,1
73209,34079,2,1,0,0,2
73133,34064,5,2,5,4,5
73275,35820,1,1,1,1,1
72348,21416,1,1,1,1,1
73139,36289,1,1,1,1,1
73325,37964,1,1,1,1,1
72916,35813,1,1,1,1,1
73048,36406,1,1,1,1,1
72883,21116,1,1,1,1,1
72767,22211,2,1,2,2,2
72906,36389,1,1,0,0,1
73018,36957,2,1,2,1,2
72779,36308,1,1,2,1,2
72774,22131,1,1,1,1,1
73275,35593,1,1,0,0,1
73328,36026,1,1,1,1,1
72878,22131,1,1,1,1,1
72765,21388,1,1,1,1,1
72761,22131,1,1,1,1,1
73275,30787,1,1,0,0,1
72776,36036,1,1,1,1,1
72702,36485,1,1,1,1,1
73044,35880,2,1,2,1,2
72345,33074,4,1,4,1,4
73275,33455,1,1,1,1,1
72345,22486,1,1,1,1,1
72554,36287,1,1,0,0,1
72949,36325,1,1,1,1,1
72836,21545,2,1,2,1,2
72688,36217,1,1,1,1,1
73389,35997,1,1,1,1,1
73328,30021,1,1,1,1,1
72916,36468,2,1,2,1,2
73261,30186,2,1,2,1,2
72891,36326,1,1,1,1,1
72777,37832,1,1,1,1,1
73119,37821,1,1,1,1,1
73389,37632,2,1,2,1,2
72949,30555,3,1,3,1,3
72754,22804,1,1,1,1,1
73250,36457,1,1,1,1,1
72761,36486,1,1,1,1,1
72739,36130,0,0,1,1,1
72686,35784,0,0,2,1,2
72505,36325,0,0,1,1,1
73261,37211,1,1,1,1,1
72720,35809,1,1,1,1,1
72631,22211,2,1,2,2,2
73247,37211,1,1,0,0,1
72538,37586,1,1,1,1,1
72505,20995,1,1,1,1,1
73247,22680,1,1,1,1,1
72801,35109,1,1,1,1,1
73229,21514,1,1,1,1,1
72931,33423,1,1,1,1,1
73205,20867,1,1,1,1,1
73140,36165,2,1,2,1,2
73432,22197,1,1,1,1,1
72930,22233,1,1,1,1,1
72575,35808,0,0,1,1,1
73500,35628,1,1,1,1,1
72884,36165,1,1,1,1,1
72949,27304,1,1,1,1,1
72779,34331,1,1,1,1,1
73389,20882,1,1,1,1,1
73261,22536,1,1,1,1,1
73132,30048,1,1,0,0,1
72779,36860,1,1,1,1,1
72639,36110,1,1,1,1,1
73211,37500,0,0,1,1,1
73140,20952,1,1,1,1,1
73486,25153,1,1,1,1,1
73325,37789,1,1,1,1,1
73387,34994,1,1,1,1,1
73261,33188,5,1,5,1,5
73022,33074,2,1,2,1,2
73476,37112,1,1,1,1,1
72949,36444,1,1,1,1,1
72842,36090,1,1,1,1,1
72496,21532,1,1,1,1,1
73325,35820,1,1,1,1,1
72491,33904,1,1,1,1,1
72543,21958,2,1,2,1,2
73137,36951,1,1,0,0,1
73404,37799,1,1,1,1,1
72345,26323,1,1,1,1,1
72688,23397,2,1,2,1,2
72759,22211,2,1,2,2,2
73389,22707,2,1,2,1,2
73346,33904,1,1,1,1,1
