产品名称,给药途径,剂型,年份,厂家,规格,终端类型,销售额
盐酸特拉唑嗪片,口服,片,2017,上海中华药业,1mg,乡镇卫生,4730
盐酸特拉唑嗪片,口服,片,2017,苏州东瑞制药,1mg,乡镇卫生,25302
盐酸特拉唑嗪片,口服,片,2018,上海中华药业,1mg,乡镇卫生,4890
盐酸特拉唑嗪片,口服,片,2018,苏州东瑞制药,1mg,乡镇卫生,18411
盐酸特拉唑嗪片,口服,片,2019,苏州东瑞制药,1mg,乡镇卫生,19205
盐酸特拉唑嗪片,口服,片,2020,苏州东瑞制药,1mg,乡镇卫生,36180
盐酸特拉唑嗪片,口服,片,2021,苏州东瑞制药,1mg,乡镇卫生,6308
盐酸特拉唑嗪胶囊,口服,胶囊,2017,扬子江江苏制药,1mg,乡镇卫生,3264743
盐酸特拉唑嗪胶囊,口服,胶囊,2017,齐鲁制药,1mg,乡镇卫生,155301
盐酸特拉唑嗪胶囊,口服,胶囊,2018,扬子江江苏制药,1mg,乡镇卫生,2633095
盐酸特拉唑嗪胶囊,口服,胶囊,2018,齐鲁制药,1mg,乡镇卫生,95099
盐酸特拉唑嗪胶囊,口服,胶囊,2019,扬子江江苏制药,1mg,乡镇卫生,2047893
盐酸特拉唑嗪胶囊,口服,胶囊,2019,齐鲁制药,1mg,乡镇卫生,74883
盐酸特拉唑嗪胶囊,口服,胶囊,2020,扬子江江苏制药,1mg,乡镇卫生,642305
盐酸特拉唑嗪胶囊,口服,胶囊,2020,齐鲁制药,1mg,乡镇卫生,183704
盐酸特拉唑嗪胶囊,口服,胶囊,2021,扬子江江苏制药,1mg,乡镇卫生,220098
盐酸特拉唑嗪胶囊,口服,胶囊,2021,齐鲁制药,1mg,乡镇卫生,18901
盐酸特拉唑嗪胶囊,口服,胶囊,2022,扬子江江苏制药,1mg,乡镇卫生,330000
盐酸特拉唑嗪胶囊,口服,胶囊,2023,扬子江江苏制药,1mg,乡镇卫生,340000
盐酸特拉唑嗪胶囊,口服,胶囊,2024,扬子江江苏制药,1mg,乡镇卫生,100000
盐酸特拉唑嗪胶囊,口服,胶囊,2025 H1,扬子江江苏制药,1mg,乡镇卫生,20000
盐酸特拉唑嗪片,口服,片,2017,上海中华药业,2mg,乡镇卫生,12702
盐酸特拉唑嗪片,口服,片,2017,华润赛科药业,2mg,乡镇卫生,489502
盐酸特拉唑嗪片,口服,片,2017,天津金世制药,2mg,乡镇卫生,1040
盐酸特拉唑嗪片,口服,片,2017,常州制药,2mg,乡镇卫生,129336
盐酸特拉唑嗪片,口服,片,2017,武汉东信医药,2mg,乡镇卫生,201532
盐酸特拉唑嗪片,口服,片,2017,河南太龙药业,2mg,乡镇卫生,11500
盐酸特拉唑嗪片,口服,片,2017,浙江亚太药业,2mg,乡镇卫生,1487606
盐酸特拉唑嗪片,口服,片,2017,海南绿岛制药,2mg,乡镇卫生,8714
盐酸特拉唑嗪片,口服,片,2017,湖南绅泰春药业,2mg,乡镇卫生,1923
盐酸特拉唑嗪片,口服,片,2017,苏州东瑞制药,2mg,乡镇卫生,570612
盐酸特拉唑嗪片,口服,片,2017,郑州瑞康制药,2mg,乡镇卫生,9772
盐酸特拉唑嗪片,口服,片,2017,雅培,2mg,乡镇卫生,650837
盐酸特拉唑嗪片,口服,片,2018,上海中华药业,2mg,乡镇卫生,7681
盐酸特拉唑嗪片,口服,片,2018,华润赛科药业,2mg,乡镇卫生,1094832
盐酸特拉唑嗪片,口服,片,2018,天津金世制药,2mg,乡镇卫生,668
盐酸特拉唑嗪片,口服,片,2018,常州制药,2mg,乡镇卫生,166835
盐酸特拉唑嗪片,口服,片,2018,武汉东信医药,2mg,乡镇卫生,192612
盐酸特拉唑嗪片,口服,片,2018,河南太龙药业,2mg,乡镇卫生,10370
盐酸特拉唑嗪片,口服,片,2018,浙江亚太药业,2mg,乡镇卫生,1396294
盐酸特拉唑嗪片,口服,片,2018,海南碧凯药业,2mg,乡镇卫生,694
盐酸特拉唑嗪片,口服,片,2018,海南绿岛制药,2mg,乡镇卫生,53013
盐酸特拉唑嗪片,口服,片,2018,湖南绅泰春药业,2mg,乡镇卫生,3169
盐酸特拉唑嗪片,口服,片,2018,苏州东瑞制药,2mg,乡镇卫生,503830
盐酸特拉唑嗪片,口服,片,2018,郑州瑞康制药,2mg,乡镇卫生,17200
盐酸特拉唑嗪片,口服,片,2018,雅培,2mg,乡镇卫生,1253396
盐酸特拉唑嗪片,口服,片,2019,上海中华药业,2mg,乡镇卫生,43620
盐酸特拉唑嗪片,口服,片,2019,华润赛科药业,2mg,乡镇卫生,1467616
盐酸特拉唑嗪片,口服,片,2019,常州制药,2mg,乡镇卫生,190461
盐酸特拉唑嗪片,口服,片,2019,武汉东信医药,2mg,乡镇卫生,289845
盐酸特拉唑嗪片,口服,片,2019,河南太龙药业,2mg,乡镇卫生,4548
盐酸特拉唑嗪片,口服,片,2019,浙江亚太药业,2mg,乡镇卫生,1559942
盐酸特拉唑嗪片,口服,片,2019,海南绿岛制药,2mg,乡镇卫生,20734
盐酸特拉唑嗪片,口服,片,2019,苏州东瑞制药,2mg,乡镇卫生,420877
盐酸特拉唑嗪片,口服,片,2019,郑州瑞康制药,2mg,乡镇卫生,13385
