Name,qty,SKU
an-shan-shi,37.6,dm
an-shan-shi,15.3,im
bao-ding-shi,57.5,dm
bao-ding-shi,23.6,im
bao-tou-shi,19.1,dm
bao-tou-shi,11.1,im
bei-jing-shi,363.4,dm
bei-jing-shi,328.6,im
bo-zhou-shi,23.3,dm
bo-zhou-shi,7.7,im
cang-zhou-shi,33,dm
cang-zhou-shi,16.3,im
chang-chun-shi,77,dm
chang-chun-shi,45.8,im
chang-sha-shi,104.9,dm
chang-sha-shi,48.8,im
chang-zhou-shi,45.1,dm
chang-zhou-shi,35.9,im
cheng-de-shi,15.8,dm
cheng-de-shi,15,im
cheng-du-shi,157.1,dm
cheng-du-shi,145,im
chong-qing-shi,142.9,dm
chong-qing-shi,91.5,im
chu-zhou-shi,22.7,dm
chu-zhou-shi,17.1,im
da-lian-shi,74.4,dm
da-lian-shi,49.5,im
da-qing-shi,25.1,dm
da-qing-shi,11.5,im
de-zhou-shi,24.6,dm
de-zhou-shi,7.9,im
dong-guan-shi,103.3,dm
dong-guan-shi,41.8,im
dong-ying-shi,21.8,dm
dong-ying-shi,10.6,im
fo-shan-shi,70,dm
fo-shan-shi,35.6,im
fu-yang-shi,37.5,dm
fu-yang-shi,9.6,im
fu-zhou-shi,81.3,dm
fu-zhou-shi,45.7,im
gan-zhou-shi,33.2,dm
gan-zhou-shi,11.1,im
gang-kou-CDC-suo-zai-cheng-shi,50.3,dm
gang-kou-CDC-suo-zai-cheng-shi,30.2,im
guang-zhou-shi,160.7,dm
guang-zhou-shi,108.9,im
gui-yang-shi,42.1,dm
gui-yang-shi,29.7,im
ha-er-bin-shi,107.9,dm
ha-er-bin-shi,65.4,im
han-dan-shi,37.7,dm
han-dan-shi,12.7,im
hang-zhou-shi,157.3,dm
hang-zhou-shi,586.6,im
he-fei-shi,126.7,dm
he-fei-shi,70.9,im
he-ze-shi,33.7,dm
he-ze-shi,9.8,im
heng-yang-shi,23.6,dm
heng-yang-shi,7.3,im
hu-he-hao-te-shi,24,dm
hu-he-hao-te-shi,24.7,im
hu-zhou-shi,27.8,dm
hu-zhou-shi,15.7,im
huai-an-shi,28.2,dm
huai-an-shi,20.3,im
hui-zhou-shi,47,dm
hui-zhou-shi,17.5,im
ji-lin-shi,23.3,dm
ji-lin-shi,9,im
ji-nan-shi,83.5,dm
ji-nan-shi,58,im
ji-ning-shi,41.6,dm
ji-ning-shi,15.8,im
