formatted_log_date,scene_name,推荐vt,推荐人均vt
2025-12-28,视频推荐,2827855.4,31.543636
2025-12-28,大盘,3243531.633333,28.94124
2025-12-28,FM-精选推荐,226012.2,18.531666
2025-12-28,FM-一键起播,144870.2,5.958304
2025-12-28,FM-金刚位,44793.833333,18.283197
2025-12-29,大盘,1753446.6,22.35712
2025-12-29,视频推荐,1376364.033333,22.894756
2025-12-29,FM-一键起播,182578.05,9.264629
2025-12-29,FM-精选推荐,150113.366667,18.787655
2025-12-29,FM-金刚位,44391.15,19.844055
2025-12-30,FM-精选推荐,150821.983333,18.485352
2025-12-30,大盘,1861734.4,22.829921
2025-12-30,视频推荐,1490713.616667,23.555188
2025-12-30,FM-金刚位,44970.016667,19.292156
2025-12-30,FM-一键起播,175228.783333,8.91024
2025-12-31,FM-一键起播,223437.833333,7.82921
2025-12-31,大盘,3456386.25,28.599921
2025-12-31,FM-金刚位,62530.433333,20.099786
2025-12-31,FM-精选推荐,269995.383333,20.602471
2025-12-31,视频推荐,2900422.6,30.463744
2026-01-01,FM-精选推荐,298065.716667,19.861779
2026-01-01,FM-一键起播,164134.016667,5.455857
2026-01-01,视频推荐,3735914.266667,36.520629
2026-01-01,大盘,4253755.65,33.051714
2026-01-01,FM-金刚位,55641.65,18.504041
2026-01-02,FM-金刚位,48561.866667,17.518711
2026-01-02,视频推荐,3431325.6,35.707268
2026-01-02,大盘,3904219.6,32.425727
2026-01-02,FM-一键起播,158828.45,5.85845
2026-01-02,FM-精选推荐,265503.683333,20.027433
2026-01-03,FM-精选推荐,239663.883333,19.599598
2026-01-03,FM-金刚位,49156.783333,19.090013
2026-01-03,FM-一键起播,165960.983333,6.434591
2026-01-03,视频推荐,3061330.133333,33.282563
2026-01-03,大盘,3516111.783333,30.490572
2026-01-04,FM-一键起播,183931.85,8.82887
2026-01-04,视频推荐,1474034.3,23.119205
2026-01-04,大盘,1869611.233333,22.526522
2026-01-04,FM-金刚位,45614.733333,19.636131
2026-01-04,FM-精选推荐,166030.35,19.339586
2026-01-05,大盘,1827565.316667,22.569222
2026-01-05,FM-精选推荐,159257.233333,19.176067
2026-01-05,FM-金刚位,44160.566667,19.991203
2026-01-05,视频推荐,1446008.966667,23.037359
2026-01-05,FM-一键起播,178138.55,9.088238
2026-01-06,FM-精选推荐,161118.166667,19.002025
2026-01-06,FM-金刚位,45705.45,20.179007
2026-01-06,FM-一键起播,182333.033333,9.102543
2026-01-06,大盘,1868391.5,22.640858
2026-01-06,视频推荐,1479234.85,23.151751
2026-01-07,FM-金刚位,45920.533333,20.619907
2026-01-07,视频推荐,1536522.483333,23.541022
2026-01-07,FM-精选推荐,162564.95,18.887528
2026-01-07,FM-一键起播,188987.283333,9.414999
2026-01-07,大盘,1933995.25,23.021834
2026-01-08,FM-金刚位,43392.316667,19.259794
2026-01-08,FM-精选推荐,159874.7,18.725076
2026-01-08,FM-一键起播,179664.283333,8.977379
2026-01-08,大盘,1919608.65,22.88545
2026-01-08,视频推荐,1536677.35,23.601612
2026-01-09,大盘,2635997.55,25.39252
2026-01-09,FM-精选推荐,210741.566667,19.341186
2026-01-09,FM-一键起播,195641.916667,8.137167
2026-01-09,视频推荐,2183839.133333,26.683599
2026-01-09,FM-金刚位,45774.933333,18.494923
2026-01-10,FM-金刚位,44928.75,17.267006
2026-01-10,FM-一键起播,163958.216667,6.116246
