price_int,request_count
-1.0,169
0.0,31415
1.0,22215
2.0,20451
3.0,18552
4.0,16932
5.0,24826
6.0,15564
7.0,16497
8.0,21129
9.0,12488
10.0,108823
11.0,27161
12.0,39367
13.0,28271
14.0,39885
15.0,29611
16.0,29714
17.0,29902
18.0,34970
19.0,23397
20.0,34774
21.0,28686
22.0,38977
23.0,26037
24.0,23189
25.0,38773
26.0,29005
27.0,21130
28.0,20929
29.0,20040
30.0,33050
31.0,39047
32.0,21962
33.0,33446
34.0,20953
35.0,26717
36.0,22154
37.0,20627
38.0,18939
39.0,17279
40.0,36368
41.0,24256
42.0,27769
43.0,18447
44.0,19141
45.0,19765
46.0,16814
47.0,14588
48.0,19933
49.0,14191
50.0,21763
51.0,15102
52.0,19168
53.0,15069
54.0,13454
55.0,12391
56.0,11950
57.0,12211
58.0,10448
59.0,9729
60.0,32231
61.0,16485
62.0,14594
63.0,15792
64.0,10933
65.0,15294
66.0,13214
67.0,12279
68.0,10856
69.0,9160
70.0,12066
71.0,9391
72.0,8838
73.0,9489
74.0,7706
75.0,7157
76.0,6992
77.0,6865
78.0,6639
79.0,6531
80.0,116382
81.0,14705
82.0,12334
83.0,10617
84.0,8961
85.0,20722
86.0,9782
87.0,9259
88.0,8882
89.0,7864
90.0,12570
91.0,11708
92.0,10252
93.0,8830
94.0,7813
95.0,7090
96.0,6842
97.0,7096
98.0,6744
99.0,6502
100.0,39498
101.0,12015
102.0,10717
103.0,9165
104.0,7624
105.0,7161
106.0,6943
107.0,6577
108.0,6144
109.0,6122
110.0,6783
111.0,6531
112.0,6539
113.0,5668
114.0,5732
115.0,5704
116.0,5363
117.0,5232
118.0,5091
119.0,5163
120.0,12201
121.0,9664
122.0,8572
123.0,7062
124.0,5528
125.0,4823
126.0,4606
127.0,4444
128.0,4528
129.0,4251
130.0,5877
131.0,5267
132.0,4677
133.0,4329
134.0,3884
135.0,3971
136.0,3812
137.0,3652
138.0,3569
139.0,3289
140.0,3527
141.0,3387
142.0,3147
143.0,2966
144.0,2862
145.0,2865
146.0,2641
147.0,2671
148.0,2550
149.0,2571
150.0,6020
151.0,3270
152.0,3150
153.0,2598
154.0,2443
155.0,2299
156.0,2060
157.0,2129
158.0,2087
159.0,2026
160.0,2464
161.0,2330
162.0,2208
163.0,2087
164.0,1973
165.0,2032
166.0,1982
167.0,1927
168.0,2127
169.0,1795
170.0,103489
171.0,2888
172.0,2776
173.0,2458
174.0,2174
175.0,2002
176.0,1875
177.0,1972
178.0,1897
179.0,1841
180.0,2555
181.0,2284
182.0,2130
183.0,2048
184.0,1805
185.0,1825
186.0,1628
187.0,1628
188.0,1579
189.0,1608
190.0,1668
191.0,1579
192.0,1636
193.0,1532
194.0,1567
195.0,1475
196.0,1398
197.0,1498
198.0,1466
199.0,1459
200.0,2179
201.0,2067
202.0,2537
203.0,2021
204.0,1914
205.0,1778
206.0,1631
207.0,1564
208.0,1541
209.0,1369
210.0,1234
211.0,1308
212.0,1302
213.0,1364
214.0,1373
215.0,1450
216.0,1476
217.0,1569
218.0,1286
219.0,1125
220.0,1374
221.0,1312
222.0,1276
223.0,1172
224.0,1106
225.0,1114
226.0,1030
227.0,1087
228.0,1031
229.0,978
230.0,964
231.0,928
232.0,887
233.0,878
234.0,900
235.0,825
236.0,907
237.0,871
238.0,863
239.0,860
240.0,893
241.0,836
242.0,817
243.0,820
244.0,831
245.0,843
246.0,760
247.0,766
248.0,819
249.0,808
250.0,4460
251.0,1156
252.0,1149
253.0,1132
254.0,1095
255.0,1084
256.0,1113
257.0,1207
258.0,1283
259.0,1196
260.0,974
261.0,936
262.0,745
263.0,700
264.0,704
265.0,632
266.0,655
267.0,596
268.0,621
269.0,559
270.0,749
271.0,796
272.0,734
273.0,724
274.0,54978
275.0,747
276.0,769
277.0,713
278.0,662
279.0,633
280.0,635
281.0,571
282.0,586
283.0,612
284.0,635
285.0,574
286.0,606
287.0,547
288.0,514
289.0,546
290.0,586
291.0,545
292.0,519
293.0,523
294.0,526
295.0,501
296.0,544
297.0,508
298.0,497
299.0,535
