merchant_id,label_is_bad,total_fraud_loss,label_generated_ts,label_generated_stage
m_00001,0,1.08,,
m_00002,0,0.19,,
m_00003,0,2.35,,
m_00004,0,2.05,,
m_00005,0,0.78,,
m_00006,0,0.49,,
m_00007,0,6.18,,
m_00008,0,3.46,,
m_00009,0,1.42,,
m_00010,0,2.95,,
m_00011,0,4.5,,
m_00012,0,0.75,,
m_00013,0,1.93,,
m_00014,0,0.9,,
m_00015,0,0.45,,
m_00016,0,2.09,,
m_00017,0,1.69,,
m_00018,0,0.08,,
m_00019,0,0.48,,
m_00020,0,1.75,,
m_00021,0,0.59,,
m_00022,0,36.02,,
m_00023,0,0.1,,
m_00024,0,1.8,,
m_00025,0,4.53,,
m_00026,0,1.31,,
m_00027,0,3.69,,
m_00028,0,11.89,,
m_00029,1,0.46,2025-02-16 00:00:00,onboarding
m_00030,0,1.01,,
m_00031,0,8.28,,
m_00032,0,0.76,,
m_00033,0,1.1,,
m_00034,0,1.63,,
m_00035,0,4.35,,
m_00036,0,4.43,,
m_00037,0,3.03,,
m_00038,0,90.76,,
m_00039,0,6.43,,
m_00040,0,0.74,,
m_00041,0,147.44,,
m_00042,0,0.11,,
m_00043,0,0.96,,
m_00044,0,34.12,,
m_00045,0,136.45,,
m_00046,0,3.31,,
m_00047,0,1.84,,
m_00048,0,1.02,,
m_00049,0,4.66,,
m_00050,0,0.88,,
m_00051,0,1.36,,
m_00052,0,0.43,,
m_00053,0,1.48,,
m_00054,0,2.42,,
m_00055,0,5.73,,
m_00056,0,0.5,,
m_00057,0,3.0,,
m_00058,0,2.51,,
m_00059,0,4.46,,
m_00060,0,0.86,,
m_00061,0,5.05,,
m_00062,0,2.32,,
m_00063,0,1.35,,
m_00064,0,0.34,,
m_00065,0,6.56,,
m_00066,0,0.43,,
m_00067,1,3.92,2025-10-24 00:00:00,post onboarding
m_00068,0,1.88,,
m_00069,0,0.27,,
m_00070,0,1.73,,
m_00071,0,7.41,,
m_00072,0,1.58,,
m_00073,0,14.91,,
m_00074,0,0.28,,
m_00075,0,1.9,,
m_00076,0,0.25,,
m_00077,0,6.6,,
m_00078,0,1.82,,
m_00079,0,0.58,,
m_00080,0,1.25,,
m_00081,0,7.14,,
m_00082,0,3.01,,
m_00083,0,16.33,,
m_00084,0,3.04,,
m_00085,0,5.83,,
m_00086,0,4.91,,
m_00087,0,0.45,,
m_00088,0,13.86,,
m_00089,0,2.49,,
m_00090,0,4.9,,
m_00091,0,0.64,,
m_00092,0,174.94,,
m_00093,0,2.87,,
m_00094,0,0.52,,
m_00095,0,0.44,,
m_00096,0,2.25,,
m_00097,0,3.25,,
m_00098,0,0.15,,
m_00099,0,2.62,,
m_00100,1,3.16,2025-09-17 17:00:00,post onboarding
m_00101,0,202.04,,
m_00102,0,1.52,,
m_00103,0,3.34,,
m_00104,0,4.48,,
m_00105,0,1.74,,
m_00106,0,3.66,,
m_00107,0,1.43,,
m_00108,0,5.96,,
m_00109,0,1.88,,
m_00110,0,1.17,,
m_00111,0,11.0,,
m_00112,0,0.41,,
m_00113,0,4.04,,
m_00114,0,0.49,,
m_00115,0,2.03,,
m_00116,0,0.15,,
m_00117,0,213.55,,
m_00118,1,2.88,2025-05-25 09:00:00,post onboarding
m_00119,0,9.13,,
m_00120,0,1.16,,
m_00121,0,0.76,,
m_00122,0,0.06,,
m_00123,0,1.61,,
m_00124,0,2.05,,
m_00125,0,62.23,,
m_00126,0,1.22,,
m_00127,0,2.67,,
m_00128,0,4.85,,
m_00129,0,1.83,,
m_00130,0,2.05,,
m_00131,0,4.19,,
m_00132,0,140.22,,
m_00133,0,0.98,,
m_00134,0,3.45,,
m_00135,0,27.34,,
m_00136,0,1.49,,
m_00137,1,11.97,2025-12-05 05:00:00,post onboarding
m_00138,0,148.5,,
m_00139,0,79.37,,
m_00140,0,1.2,,
m_00141,0,1.36,,
m_00142,0,1.19,,
m_00143,0,0.73,,
m_00144,1,1.78,2025-06-06 00:00:00,onboarding
m_00145,0,3.51,,
m_00146,0,141.56,,
m_00147,0,7.74,,
m_00148,0,5.32,,
m_00149,0,30.78,,
m_00150,0,0.15,,
m_00151,0,1.56,,
m_00152,0,1.75,,
m_00153,0,3.5,,
m_00154,0,5.78,,
m_00155,0,2.29,,
m_00156,0,2.17,,
m_00157,0,0.0,,
m_00158,0,0.85,,
m_00159,0,3.4,,
m_00160,0,0.5,,
m_00161,0,43.97,,
m_00162,0,8.42,,
m_00163,1,10.96,2025-05-20 17:00:00,post onboarding
m_00164,0,6.87,,
m_00165,0,1.1,,
m_00166,0,1.78,,
m_00167,0,2.12,,
m_00168,0,9.79,,
m_00169,0,0.08,,
m_00170,0,4.64,,
m_00171,0,301.74,,
m_00172,0,1.86,,
m_00173,0,2.27,,
m_00174,1,1.65,2025-09-06 20:00:00,post onboarding
m_00175,0,1.09,,
m_00176,0,0.2,,
m_00177,0,1.18,,
m_00178,0,50.1,,
m_00179,0,38.32,,
m_00180,0,0.8,,
m_00181,0,0.86,,
m_00182,0,1.31,,
m_00183,0,5.62,,
m_00184,0,2.68,,
m_00185,0,0.43,,
m_00186,0,1.95,,
m_00187,0,1.43,,
m_00188,0,4.61,,
m_00189,0,2.35,,
m_00190,0,1.09,,
m_00191,0,2.36,,
m_00192,0,1.08,,
m_00193,0,2.91,,
m_00194,0,6.02,,
m_00195,0,2.36,,
m_00196,0,1.19,,
m_00197,0,0.56,,
m_00198,0,0.46,,
m_00199,0,5.8,,
m_00200,0,0.17,,
m_00201,0,1.34,,
m_00202,0,47.97,,
m_00203,0,219.92,,
m_00204,0,0.25,,
m_00205,0,36.53,,
m_00206,0,55.89,,
m_00207,0,1.36,,
m_00208,0,1.66,,
m_00209,0,2.05,,
m_00210,0,0.74,,
m_00211,0,4.94,,
m_00212,0,1.87,,
m_00213,1,0.99,2025-08-25 02:00:00,post onboarding
m_00214,0,4.6,,
m_00215,1,241.14,2025-12-05 19:00:00,post onboarding
m_00216,0,6.46,,
m_00217,0,1.06,,
m_00218,0,0.39,,
m_00219,0,25.39,,
m_00220,0,2.65,,
m_00221,0,7.7,,
m_00222,0,0.51,,
m_00223,0,0.93,,
m_00224,0,2.31,,
m_00225,0,5.09,,
m_00226,0,3.4,,
m_00227,1,0.54,2026-02-04 08:00:00,post onboarding
m_00228,0,0.71,,
m_00229,0,3.91,,
m_00230,0,2.68,,
m_00231,0,3.64,,
m_00232,0,2.44,,
m_00233,0,4.19,,
m_00234,0,3.82,,
m_00235,0,2.68,,
m_00236,0,0.05,,
m_00237,0,3.02,,
m_00238,0,0.53,,
m_00239,0,54.65,,
m_00240,0,1.54,,
m_00241,0,0.42,,
m_00242,0,0.09,,
m_00243,0,0.86,,
m_00244,0,0.99,,
m_00245,0,1.93,,
m_00246,0,1.02,,
m_00247,0,0.44,,
m_00248,0,2.51,,
m_00249,0,0.22,,
m_00250,0,1.76,,
m_00251,0,1.85,,
m_00252,0,3.18,,
m_00253,0,0.91,,
m_00254,0,2.8,,
m_00255,0,1.96,,
m_00256,0,4.48,,
m_00257,0,1.67,,
m_00258,0,2.39,,
m_00259,0,0.12,,
m_00260,0,1.34,,
m_00261,0,1.51,,
m_00262,0,3.39,,
m_00263,0,80.99,,
m_00264,0,10.12,,
m_00265,0,0.86,,
m_00266,0,0.19,,
m_00267,0,3.87,,
m_00268,0,1.53,,
m_00269,0,5.42,,
m_00270,0,1.6,,
m_00271,0,5.33,,
m_00272,0,5.15,,
m_00273,0,3.66,,
m_00274,0,3.64,,
m_00275,0,1.79,,
m_00276,0,202.7,,
m_00277,0,2.25,,
m_00278,0,1.7,,
m_00279,0,1.88,,
m_00280,0,3.55,,
m_00281,0,0.89,,
m_00282,0,2.2,,
m_00283,0,6.46,,
m_00284,0,2.41,,
m_00285,0,0.73,,
m_00286,0,9.29,,
m_00287,0,0.1,,
m_00288,0,179.14,,
m_00289,0,2.58,,
m_00290,0,0.03,,
m_00291,0,4.17,,
m_00292,0,0.9,,
m_00293,0,1.61,,
m_00294,0,5.85,,
m_00295,0,1.26,,
m_00296,0,2.09,,
m_00297,0,0.16,,
m_00298,1,0.02,2025-02-10 00:00:00,onboarding
m_00299,0,0.22,,
m_00300,0,27.12,,
m_00301,0,0.19,,
m_00302,0,1.41,,
m_00303,0,1.53,,
m_00304,0,2.46,,
m_00305,0,0.99,,
m_00306,0,5.59,,
m_00307,0,103.58,,
m_00308,0,4.31,,
m_00309,0,4.54,,
m_00310,0,3.79,,
m_00311,0,4.59,,
m_00312,0,1.93,,
m_00313,0,1.33,,
m_00314,1,2.57,2026-01-26 01:00:00,post onboarding
m_00315,0,3.78,,
m_00316,0,6.06,,
m_00317,1,2.15,2025-02-22 00:00:00,onboarding
m_00318,0,1.78,,
m_00319,0,0.69,,
m_00320,0,1.66,,
m_00321,0,3.26,,
m_00322,0,5.66,,
m_00323,0,9.73,,
m_00324,0,1.89,,
m_00325,0,2.28,,
m_00326,0,246.58,,
m_00327,0,10.16,,
m_00328,0,0.46,,
m_00329,0,7.94,,
m_00330,0,4.88,,
m_00331,0,2.54,,
m_00332,0,1.81,,
m_00333,0,4.69,,
m_00334,0,2.71,,
m_00335,0,398.77,,
m_00336,0,63.13,,
m_00337,0,1.66,,
m_00338,0,5.0,,
m_00339,0,0.29,,
m_00340,0,0.47,,
m_00341,0,6.35,,
m_00342,0,2.68,,
m_00343,0,5.38,,
m_00344,0,2.62,,
m_00345,0,1.41,,
m_00346,0,1.72,,
m_00347,0,0.57,,
m_00348,0,0.41,,
m_00349,0,4.12,,
m_00350,0,3.24,,
m_00351,0,3.86,,
m_00352,0,0.89,,
m_00353,0,2.99,,
m_00354,0,0.82,,
m_00355,0,6.34,,
m_00356,0,0.35,,
m_00357,0,8.6,,
m_00358,0,4.82,,
m_00359,0,7.52,,
m_00360,0,2.35,,
m_00361,0,0.73,,
m_00362,0,0.05,,
m_00363,0,2.19,,
m_00364,0,2.03,,
m_00365,0,2.54,,
m_00366,0,37.81,,
m_00367,0,0.3,,
m_00368,0,116.57,,
m_00369,0,12.57,,
m_00370,0,0.62,,
m_00371,0,1.18,,
m_00372,0,1.44,,
m_00373,0,0.31,,
m_00374,0,1.39,,
m_00375,0,1.63,,
m_00376,0,3.69,,
m_00377,0,0.54,,
m_00378,0,5.8,,
m_00379,0,0.91,,
m_00380,1,15.8,2025-06-17 20:00:00,post onboarding
m_00381,0,106.92,,
m_00382,0,4.45,,
m_00383,0,194.47,,
m_00384,0,5.57,,
m_00385,0,0.64,,
m_00386,0,498.09,,
m_00387,0,1.35,,
m_00388,0,158.71,,
m_00389,0,3.78,,
m_00390,0,1.38,,
m_00391,0,0.13,,
m_00392,0,1.41,,
m_00393,0,6.4,,
m_00394,0,2.24,,
m_00395,0,0.45,,
m_00396,1,0.43,2025-05-29 17:00:00,post onboarding
m_00397,0,7.11,,
m_00398,0,0.57,,
m_00399,0,6.4,,
m_00400,0,0.35,,
m_00401,0,5.18,,
m_00402,0,0.22,,
m_00403,0,0.38,,
m_00404,0,0.92,,
m_00405,0,1.01,,
m_00406,0,0.71,,
m_00407,0,0.82,,
m_00408,0,0.8,,
m_00409,0,1.7,,
m_00410,0,6.08,,
m_00411,0,2.57,,
m_00412,0,10.35,,
m_00413,0,0.86,,
m_00414,0,1.42,,
m_00415,0,7.54,,
m_00416,0,2.45,,
m_00417,0,1.5,,
m_00418,0,4.42,,
m_00419,0,0.7,,
m_00420,0,3.45,,
m_00421,0,3.3,,
m_00422,0,55.62,,
m_00423,0,9.84,,
m_00424,0,1.26,,
m_00425,0,1.55,,
m_00426,0,0.64,,
m_00427,0,0.92,,
m_00428,0,0.21,,
m_00429,0,68.28,,
m_00430,0,0.13,,
m_00431,0,0.51,,
m_00432,0,94.11,,
m_00433,0,0.38,,
m_00434,0,0.97,,
m_00435,0,0.71,,
m_00436,0,0.46,,
m_00437,0,2.27,,
m_00438,1,0.59,2025-08-10 00:00:00,onboarding
m_00439,0,3.4,,
m_00440,0,2.64,,
m_00441,0,2.19,,
m_00442,0,0.16,,
m_00443,0,2.52,,
m_00444,0,2.27,,
m_00445,0,7.25,,
m_00446,0,2.81,,
m_00447,0,103.82,,
m_00448,0,1.19,,
m_00449,0,7.07,,
m_00450,0,6.25,,
m_00451,0,4.26,,
m_00452,0,10.19,,
m_00453,0,7.66,,
m_00454,0,2.03,,
m_00455,0,5.5,,
m_00456,0,0.81,,
m_00457,0,0.95,,
m_00458,0,0.49,,
m_00459,0,2.73,,
m_00460,0,235.13,,
m_00461,0,222.8,,
m_00462,0,1.4,,
m_00463,0,49.09,,
m_00464,0,0.07,,
m_00465,0,3.07,,
m_00466,1,6.18,2026-02-12 00:00:00,post onboarding
m_00467,0,0.49,,
m_00468,0,1.32,,
m_00469,0,3.04,,
m_00470,0,0.88,,
m_00471,0,2.17,,
m_00472,0,0.8,,
m_00473,0,0.1,,
m_00474,0,0.52,,
m_00475,0,13.84,,
m_00476,1,3.18,2025-10-09 17:00:00,post onboarding
m_00477,0,0.68,,
m_00478,0,0.95,,
m_00479,0,7.39,,
m_00480,0,3.83,,
m_00481,0,0.64,,
m_00482,0,3.75,,
m_00483,0,121.84,,
m_00484,0,10.43,,
m_00485,0,1.43,,
m_00486,0,4.27,,
m_00487,0,732.42,,
m_00488,1,0.94,2025-08-13 15:00:00,post onboarding
m_00489,0,6.38,,
m_00490,0,1.68,,
m_00491,0,4.28,,
m_00492,1,0.69,2025-04-14 13:00:00,post onboarding
m_00493,0,6.61,,
m_00494,0,1.92,,
m_00495,0,1.14,,
m_00496,0,1.11,,
m_00497,0,0.88,,
m_00498,0,7.6,,
m_00499,0,4.56,,
m_00500,0,3.23,,
m_00501,0,2.06,,
m_00502,0,44.56,,
m_00503,0,2.11,,
m_00504,0,2.85,,
m_00505,0,0.75,,
m_00506,0,2.34,,
m_00507,0,2.53,,
m_00508,0,0.8,,
m_00509,0,1.85,,
m_00510,0,1.34,,
m_00511,0,2.79,,
m_00512,1,3.86,2025-10-29 16:00:00,post onboarding
m_00513,0,66.3,,
m_00514,0,1.87,,
m_00515,0,0.21,,
m_00516,0,5.52,,
m_00517,0,3.21,,
m_00518,0,0.15,,
m_00519,0,2.87,,
m_00520,0,1.94,,
m_00521,0,3.17,,
m_00522,0,1.05,,
m_00523,0,3.08,,
m_00524,1,0.72,2025-07-10 00:00:00,onboarding
m_00525,0,0.5,,
m_00526,0,0.27,,
m_00527,0,6.88,,
m_00528,0,3.4,,
m_00529,0,2.7,,
m_00530,0,1.42,,
m_00531,0,6.18,,
m_00532,0,1.3,,
m_00533,0,5.13,,
m_00534,1,1.24,2025-09-26 03:00:00,post onboarding
m_00535,0,8.96,,
m_00536,0,92.42,,
m_00537,0,0.84,,
m_00538,0,1.93,,
m_00539,0,1.9,,
m_00540,0,4.95,,
m_00541,0,5.57,,
m_00542,0,0.02,,
m_00543,0,7.51,,
m_00544,0,230.54,,
m_00545,0,4.3,,
m_00546,0,2.7,,
m_00547,0,2.38,,
m_00548,0,2.15,,
m_00549,1,7.74,2025-05-04 19:00:00,post onboarding
m_00550,0,1.38,,
m_00551,0,0.69,,
m_00552,0,0.12,,
m_00553,0,0.79,,
m_00554,0,0.34,,
m_00555,0,6.15,,
m_00556,0,2.86,,
m_00557,0,0.62,,
m_00558,0,1.3,,
m_00559,0,2.72,,
m_00560,0,1.07,,
m_00561,0,1.37,,
m_00562,0,2.3,,
m_00563,0,112.76,,
m_00564,0,2.13,,
m_00565,0,3.62,,
m_00566,1,14.56,2025-06-20 08:00:00,post onboarding
