dispute_id,transaction_id,merchant_id,dispute_open_ts,dispute_amount,dispute_reason,dispute_outcome,dispute_close_ts,is_fraud_dispute
d_0000001,t_0000008,m_00001,2026-03-15 08:56:00,449.27,not_received,pending,,False
d_0000002,t_0000208,m_00015,2025-11-06 06:56:00,153.63,not_received,won,2025-12-03 06:56:00,False
d_0000003,t_0000226,m_00016,2025-07-11 02:53:00,218.42,not_received,pending,,False
d_0000004,t_0000407,m_00022,2026-05-21 00:22:00,117.97,fraud,lost,2026-07-02 00:22:00,True
d_0000005,t_0000478,m_00027,2025-11-11 23:07:00,405.9,other,won,2025-12-09 23:07:00,False
d_0000006,t_0000738,m_00039,2025-06-02 15:32:00,297.05,fraud,won,2025-06-28 15:32:00,True
d_0000007,t_0000804,m_00041,2026-01-10 01:54:00,268.34,fraud,lost,2026-02-02 01:54:00,True
d_0000008,t_0000849,m_00044,2025-07-05 18:20:00,85.93,not_as_described,lost,2025-07-19 18:20:00,False
d_0000009,t_0000891,m_00045,2025-07-10 16:08:00,301.87,fraud,lost,2025-08-17 16:08:00,True
d_0000010,t_0001124,m_00063,2026-03-15 09:17:00,313.89,processing_error,won,2026-03-30 09:17:00,False
d_0000011,t_0001305,m_00072,2026-03-20 23:22:00,390.34,fraud,won,2026-04-13 23:22:00,True
d_0000012,t_0001495,m_00092,2025-09-14 00:25:00,438.68,other,lost,2025-10-17 00:25:00,False
d_0000013,t_0001604,m_00101,2025-10-15 12:41:00,395.05,other,lost,2025-11-24 12:41:00,True
d_0000014,t_0001766,m_00117,2025-11-16 17:29:00,509.24,fraud,lost,2025-12-02 17:29:00,True
d_0000015,t_0001791,m_00118,2025-03-05 13:34:00,597.29,processing_error,pending,,False
d_0000016,t_0001943,m_00125,2025-12-18 09:45:00,155.55,fraud,lost,2026-01-23 09:45:00,True
d_0000017,t_0002011,m_00132,2026-04-18 00:42:00,403.13,not_received,lost,2026-05-16 00:42:00,False
d_0000018,t_0002014,m_00132,2026-05-10 08:18:00,431.85,not_received,won,2026-06-04 08:18:00,False
d_0000019,t_0002018,m_00132,2026-07-26 09:54:00,229.35,fraud,pending,,True
d_0000020,t_0002047,m_00135,2025-06-13 02:49:00,55.01,fraud,lost,2025-07-24 02:49:00,True
d_0000021,t_0002133,m_00139,2025-12-26 02:08:00,275.36,fraud,lost,2026-01-15 02:08:00,True
d_0000022,t_0002242,m_00146,2026-03-04 16:49:00,414.99,not_received,pending,,False
