merchant_id,merchant_name,merchant_email,onboarding_date,industry,country,platform,acquisition_channel,requested_limit,expected_aov,kyb_tier,approval_method,uw_decision,uw_decision_date,uw_reason_code
m_00001,Nimbus Goods,mvgrefyuft@store.com,2025-11-07,auto_parts,US,shopify,inbound,60174,428.25,med,auto,approved,2025-11-08,
m_00002,Cedar Boutique,baughufnld@yahoo.com,2025-03-07,marketplace,US,bigcommerce,inbound,86302,125.54,low,auto,approved,2025-03-13,
m_00003,Orbit Collective,ojjbby@mailinator.com,2025-01-10,digital_goods,US,salesforce_cc,inbound,32523,75.13,med,manual,declined,2025-01-14,HIGH_RISK
m_00004,Nimbus Hub,orbabduztz@gmail.com,2025-08-22,digital_goods,US,custom,outbound,36074,68.7,low,manual,approved,2025-08-27,
m_00005,Evergreen Hub,dqppldkydv@store.com,2025-05-14,fashion,US,shopify,partner,22439,114.21,low,auto,approved,2025-05-16,
m_00006,Marlin Direct,prrapnb@sharklasers.com,2025-06-20,digital_goods,US,custom,inbound,53933,62.93,low,auto,approved,2025-06-26,
m_00007,Cedar Supply,rzulej@company.com,2025-01-30,home_goods,GB,shopify,partner,71147,265.04,low,auto,approved,2025-02-02,
m_00008,Lumen Direct,kyaivhjdlb@merchant.com,2025-05-16,home_goods,US,custom,inbound,89138,309.3,med,auto,approved,2025-05-22,
m_00009,Cedar Collective,lwwuwmo@merchant.com,2025-08-23,fashion,AU,woocommerce,partner,160460,105.21,med,auto,approved,2025-08-24,
m_00010,Summit Labs,vzlhajjrx@outlook.com,2025-05-10,electronics,GB,shopify,partner,17987,489.78,low,auto,approved,2025-05-10,
m_00011,Lumen Trading,yxfnebt@store.com,2025-10-31,home_goods,US,woocommerce,inbound,42656,341.18,low,auto,approved,2025-11-06,
m_00012,Lumen Labs,efacjqgynd@store.com,2025-10-16,electronics,GB,salesforce_cc,self_serve,55702,398.17,low,auto,approved,2025-10-19,
m_00013,Marlin Trading,uddgnc@store.com,2025-09-15,services,US,magento,self_serve,42671,276.9,high,manual,declined,2025-09-20,MISSING_DOCS
m_00014,Evergreen Shop,ypqzdl@merchant.com,2025-11-27,travel,US,woocommerce,self_serve,63201,515.53,low,auto,approved,2025-11-29,
m_00015,Marlin Store,chvhdqa@gmail.com,2025-09-21,health_beauty,US,bigcommerce,partner,75891,130.48,med,auto,approved,2025-09-25,
m_00016,Nimbus Market,mfcntyo@gmail.com,2025-03-06,fashion,AU,salesforce_cc,inbound,84011,177.67,low,auto,approved,2025-03-10,
m_00017,River Store,dszdwwgc@company.com,2025-11-10,marketplace,US,shopify,self_serve,27974,152.86,med,auto,declined,2025-11-12,HIGH_RISK
m_00018,Vertex Shop,hdqdbdjtuc@merchant.com,2025-08-27,home_goods,US,shopify,partner,54881,292.9,low,auto,approved,2025-09-03,
m_00019,River Hub,rlqdxvp@outlook.com,2025-02-05,jewelry,US,woocommerce,self_serve,124811,506.45,low,manual,approved,2025-02-10,
m_00020,Orbit Trading,vbdeet@merchant.com,2025-04-19,marketplace,US,shopify,partner,114615,227.24,med,manual,approved,2025-04-21,
m_00021,Orbit Goods,wabxrvkvp@company.com,2025-03-02,fashion,US,custom,inbound,74676,215.52,med,auto,approved,2025-03-08,
m_00022,Evergreen Supply,vqscxaeja@merchant.com,2025-12-19,marketplace,US,custom,inbound,103673,163.83,low,auto,approved,2025-12-22,
m_00023,Apex Goods,edppkuh@merchant.com,2025-09-23,jewelry,US,bigcommerce,inbound,44171,829.3,low,auto,approved,2025-09-24,
m_00024,Oak Goods,eshveve@store.com,2025-12-02,jewelry,US,bigcommerce,inbound,30446,542.92,med,auto,approved,2025-12-04,
m_00025,Lumen Supply,psexjc@example.net,2025-04-14,digital_goods,GB,shopify,outbound,80991,72.62,low,auto,declined,2025-04-19,LIMIT_TOO_HIGH
m_00026,Summit Boutique,ctnzua@gmail.com,2025-08-21,electronics,US,custom,inbound,50969,416.25,low,auto,approved,2025-08-25,
m_00027,Orbit Store,syfbicbzxr@store.com,2025-08-09,services,US,custom,inbound,29548,178.39,low,auto,approved,2025-08-13,
m_00028,Summit Goods,cvbbxjm@sharklasers.com,2025-10-02,services,US,woocommerce,partner,46444,182.63,low,auto,approved,2025-10-03,
m_00029,Nimbus Boutique,glkdut@outlook.com,2025-02-13,electronics,US,custom,inbound,87916,342.57,low,manual,declined,2025-02-15,LIMIT_TOO_HIGH
m_00030,Cedar Market,hqtimodo@gmail.com,2025-07-08,electronics,US,bigcommerce,partner,70301,305.9,high,auto,approved,2025-07-15,
m_00031,Apex Trading,ywatbb@outlook.com,2025-08-24,marketplace,US,shopify,partner,41703,207.84,med,auto,approved,2025-08-25,
m_00032,Blue Hub,wtnxhwxs@company.com,2025-10-29,home_goods,US,custom,outbound,63420,199.8,med,manual,approved,2025-11-02,
m_00033,Orbit Depot,lpixjrjiie@merchant.com,2025-08-28,services,US,magento,inbound,24428,160.64,low,manual,approved,2025-08-31,
m_00034,Summit Direct,qnydla@company.com,2025-06-13,digital_goods,US,shopify,partner,39288,94.14,low,auto,approved,2025-06-18,
