Rank,Company,Industry,Revenue ($), City ,State,Zip,Website,Employees,CEO
1,Amazon,Internet Services and Retailing,"716,924,000,000", Seattle ,Washington,98109,amazon.com,"1,556,000",Andrew Jassy
2,Walmart,General Merchandisers,"712,700,000,000", Bentonville ,Arkansas,72716,walmart.com,"2,100,000",John Furner
3,UnitedHealth,Health Care: Insurance and Managed Care,"447,600,000,000", Eden Prairie ,Minnesota,55344,unitedhealthgroup.com,"400,000",Stephen Hemsley
4,Apple,"Computers, Office Equipment","416,161,000,000", Cupertino ,California,95014,apple.com,"164,000",Timothy Cook
5,Alphabet,Internet Services and Retailing,"402,836,000,000", Mountain View ,California,94043,abc.xyz,"183,323",Sundar Pichai
6,CVS Health,Health Care: Pharmacy and Other Services,"402,100,000,000", Woonsocket ,Rhode Island,2895,cvshealth.com,"259,500",David Joyner
7,McKesson,Wholesalers: Health Care,"387,090,000,000", Irving ,Texas,75039,mckesson.com,"48,000",Brian Tyler
8,Berkshire Hathaway,Insurance: Property and Casualty (Stock),"377,000,000,000", Omaha ,Nebraska,68131,berkshirehathaway.com,"392,400",Greg Abel
9,Exxon Mobil,Petroleum Refining,"332,238,000,000", Spring ,Texas,77389,exxonmobil.com,"60,900",Darren Woods
10,Cencora,Wholesalers: Health Care,"321,330,000,000", Conshohocken ,Pennsylvania,19428,cencora.com,"44,000",Robert Mauch
11,Microsoft,Computer Software,"293,810,000,000", Redmond ,Washington,98052,microsoft.com,"228,000",Satya Nadella
12,Costco,General Merchandisers,"275,240,000,000", Issaquah ,Washington,98027,costco.com,"333,000",Ron Vachris
13,Cigna,Health Care: Pharmacy and Other Services,"268,080,000,000", Bloomfield ,Connecticut,6002,thecignagroup.com,"72,398",David Cordani
14,Cardinal Health,Wholesalers: Health Care,"234,310,000,000", Dublin ,Ohio,43017,cardinalhealth.com,"48,411",Jason Hollar
15,Elevance Health,Health Care: Insurance and Managed Care,"194,820,000,000", Indianapolis ,Indiana,46204,elevancehealth.com,"103,679",Gail Boudreaux
16,Ford Motor,Motor Vehicles & Parts,"189,590,000,000", Dearborn ,Michigan,48126,ford.com,"171,000",James Farley Jr.
17,Meta,Internet Services and Retailing,"189,460,000,000", Menlo Park ,California,94025,meta.com,"74,067",Mark Zuckerberg
18,Chevron,Petroleum Refining,"188,690,000,000", Houston ,Texas,77002,chevron.com,"45,298",Michael Wirth
19,General Motors,Motor Vehicles & Parts,"187,440,000,000", Detroit ,Michigan,48265,gm.com,"162,000",Mary Barra
20,Nvidia,Semiconductors and Other Electronic Components,"187,140,000,000", Santa Clara ,California,95051,nvidia.com,"36,000",Jensen Huang
21,Centene,Health Care: Insurance and Managed Care,"167,680,000,000", St. Louis ,Missouri,63105,centene.com,"60,500",Sarah London
22,JPMorgan Chase,Commercial Banks,"167,230,000,000", New York ,New York,10179,jpmorganchase.com,"317,233",James Dimon
23,Home Depot,Specialty Retailers: Other,"166,190,000,000", Atlanta ,Georgia,30339,homedepot.com,"470,100",Edward Decker
24,Walgreens,Food & Drug Stores,"154,580,000,000", Deerfield ,Illinois,60015,walgreensbootsalliance.com,"252,500",Timothy Wentworth
25,Fannie Mae,Diversified Financials,"152,670,000,000", Washington ,District Of Columbia,20005,fanniemae.com,"8,200",Priscilla Almodovar
26,Kroger,Food & Drug Stores,"147,230,000,000", Cincinnati ,Ohio,45202,thekrogerco.com,"409,000",Ronald Sargent
27,Verizon,Telecommunications,"137,490,000,000", New York ,New York,10036,verizon.com,"99,600",Hans Vestberg
28,Marathon Petroleum,Petroleum Refining,"133,580,000,000", Findlay ,Ohio,45840,marathonpetroleum.com,"18,300",Maryann Mannen
29,Phillips 66,Petroleum Refining,"131,950,000,000", Houston ,Texas,77042,phillips66.com,"13,200",Mark Lashier
30,StoneX,Diversified Financials,"130,900,000,000", New York ,New York,10169,stonex.com,"4,500",Philip Smith
31,Humana,Health Care: Insurance and Managed Care,"126,360,000,000", Louisville ,Kentucky,40202,humana.com,"65,680",James Rechtin
32,AT&T,Telecommunications,"124,480,000,000", Dallas ,Texas,75202,att.com,"140,990",John Stankey
33,Comcast,Telecommunications,"123,310,000,000", Philadelphia ,Pennsylvania,19103,comcast.com,"182,000",Brian Roberts
34,State Farm,Insurance: Property and Casualty (Mutual),"122,951,000,000", Bloomington ,Illinois,61710,statefarm.com,"67,381",Jon Farney
35,Freddie Mac,Diversified Financials,"122,052,000,000", McLean ,Virginia,22102,freddiemac.com,"8,090",Michael Hutchins
36,Valero Energy,Petroleum Refining,"116,550,000,000", San Antonio ,Texas,78249,valero.com,"9,910",Lane Riggs
37,Target,General Merchandisers,"105,240,000,000", Minneapolis ,Minnesota,55403,target.com,"440,000",Brian Cornell
38,Dell Technologies,"Computers, Office Equipment","104,090,000,000", Round Rock ,Texas,78682,delltechnologies.com,"108,000",Michael Dell
39,Bank of America,Commercial Banks,"101,450,000,000", Charlotte ,North Carolina,28255,bankofamerica.com,"213,193",Brian Moynihan
40,Tesla,Motor Vehicles & Parts,"95,630,000,000", Austin ,Texas,78725,tesla.com,"125,665",Elon Musk
41,Walt Disney,Entertainment,"94,430,000,000", Burbank ,California,91521,waldisney.com,"205,040",Robert Iger
42,PepsiCo,Food Consumer Products,"92,370,000,000", Purchase ,New York,10577,pepsico.com,"319,000",Ramon Laguarta
43,Johnson & Johnson,Pharmaceuticals,"92,150,000,000", New Brunswick ,New Jersey,8933,jnj.com,"138,100",Joaquin Duato
44,UPS,"Mail, Package and Freight Delivery","89,480,000,000", Atlanta ,Georgia,30328,ups.com,"372,180",Carol Tom̩
45,FedEx,"Mail, Package and Freight Delivery","88,590,000,000", Memphis ,Tennessee,38120,fedex.com,"422,100",Rajesh Subramaniam
46,RTX,Aerospace & Defense,"85,990,000,000", Arlington ,Virginia,22209,rtx.com,"186,000",Christopher Calio
47,Progressive,Insurance: Property and Casualty (Stock),"85,170,000,000", Mayfield Village ,Ohio,44143,progressive.com,"66,308",Susan Patricia Griffith
48,Procter & Gamble,Household and Personal Products,"84,930,000,000", Cincinnati ,Ohio,45202,pginvestor.com,"108,000",Jon Moeller
49,Lowe's,Specialty Retailers: Other,"84,260,000,000", Mooresville ,North Carolina,28117,lowes.com,"215,500",Marvin Ellison
50,Archer Daniels Midland,Food Production,"83,210,000,000", Chicago ,Illinois,60601,adm.com,"43,213",Juan Luciano
51,Sysco,Wholesalers: Food and Grocery,"82,030,000,000", Houston ,Texas,77077,sysco.com,"76,000",Kevin Hourican
52,Albertsons,Food & Drug Stores,"81,370,000,000", Boise ,Idaho,83706,albertsonscompanies.com,"196,650",Susan Morris
