Building_block_id,tRESP_GSP_area,Pathway,Year,Value,Unit,DNO_licence_area
Gen_BB001,BASI_in_H@BRLE_1|FLEE_1,tRESP - HT,2025,0.0,MW,SSEN South
Gen_BB001,BASI_in_H@BRLE_1|FLEE_1,tRESP - HT,2026,0.2211,MW,SSEN South
Gen_BB001,BASI_in_H@BRLE_1|FLEE_1,tRESP - HT,2027,0.4422,MW,SSEN South
Gen_BB001,BASI_in_H@BRLE_1|FLEE_1,tRESP - HT,2028,0.6633,MW,SSEN South
Gen_BB001,BASI_in_H@BRLE_1|FLEE_1,tRESP - HT,2029,0.8844,MW,SSEN South
Gen_BB001,BASI_in_H@BRLE_1|FLEE_1,tRESP - HT,2030,1.1055,MW,SSEN South
Gen_BB001,BASI_in_H@BRLE_1|FLEE_1,tRESP - HT,2031,1.3266,MW,SSEN South
Gen_BB001,BASI_in_H@BRLE_1|FLEE_1,tRESP - HT,2032,1.5477,MW,SSEN South
Gen_BB001,BASI_in_H@BRLE_1|FLEE_1,tRESP - HT,2033,1.7688,MW,SSEN South
Gen_BB001,BASI_in_H@BRLE_1|FLEE_1,tRESP - HT,2034,1.9899,MW,SSEN South
Gen_BB001,BEDDT_HURS_LPN,tRESP - HT,2025,0.0,MW,UKPN London
Gen_BB001,BEDDT_HURS_LPN,tRESP - HT,2026,0.0,MW,UKPN London
Gen_BB001,BEDDT_HURS_LPN,tRESP - HT,2027,0.0,MW,UKPN London
Gen_BB001,BEDDT_HURS_LPN,tRESP - HT,2028,0.0,MW,UKPN London
Gen_BB001,BEDDT_HURS_LPN,tRESP - HT,2029,0.0,MW,UKPN London
Gen_BB001,BEDDT_HURS_LPN,tRESP - HT,2030,0.0,MW,UKPN London
Gen_BB001,BEDDT_HURS_LPN,tRESP - HT,2031,0.0,MW,UKPN London
Gen_BB001,BEDDT_HURS_LPN,tRESP - HT,2032,0.0,MW,UKPN London
Gen_BB001,BEDDT_HURS_LPN,tRESP - HT,2033,0.0,MW,UKPN London
Gen_BB001,BEDDT_HURS_LPN,tRESP - HT,2034,0.0,MW,UKPN London
Gen_BB001,BRAI_RAYL_EPN,tRESP - HT,2025,0.0,MW,UKPN Eastern
Gen_BB001,BRAI_RAYL_EPN,tRESP - HT,2026,0.0,MW,UKPN Eastern
Gen_BB001,BRAI_RAYL_EPN,tRESP - HT,2027,0.0,MW,UKPN Eastern
Gen_BB001,BRAI_RAYL_EPN,tRESP - HT,2028,0.0,MW,UKPN Eastern
