member_id,visit_date,age,gender,membership_type,workout_type,workout_duration_minutes,calories_burned,check_in_time,attendance_status
1,2024-10-11,64,Other,Annual,HIIT,28,171,20:04,Absent
2,2024-06-01,65,Female,Quarterly,Strength Training,72,650,19:17,Absent
3,2024-06-13,45,Male,Quarterly,Cardio,70,633,7:24,Absent
4,2024-02-05,35,Female,Monthly,CrossFit,64,362,7:18,Absent
5,2024-07-13,26,Female,Quarterly,Yoga,31,262,11:22,Absent
6,2024-09-11,45,Other,Quarterly,Cardio,63,518,20:08,Present
7,2024-02-22,30,Other,Quarterly,CrossFit,50,404,18:17,Absent
8,2024-05-04,38,Male,Annual,Yoga,99,959,21:59,Absent
9,2024-02-10,61,Female,Monthly,CrossFit,36,289,9:39,Present
10,2024-08-14,36,Other,Quarterly,Strength Training,94,643,11:29,Absent
11,2024-10-11,60,Female,Monthly,Strength Training,110,738,22:43,Present
12,2024-12-25,26,Female,Monthly,HIIT,86,547,8:17,Absent
13,2024-06-28,48,Female,Quarterly,HIIT,44,389,19:08,Absent
14,2024-12-01,54,Other,Annual,Yoga,99,644,14:45,Absent
15,2024-07-08,40,Other,Quarterly,CrossFit,99,643,20:18,Present
16,2024-10-05,38,Other,Monthly,HIIT,106,976,13:15,Absent
17,2024-12-01,28,Other,Monthly,Yoga,34,244,9:13,Present
18,2024-06-27,35,Other,Annual,CrossFit,25,211,18:38,Present
19,2024-10-31,32,Female,Annual,CrossFit,55,402,9:06,Present
20,2024-07-31,32,Female,Monthly,CrossFit,48,330,10:35,Present
21,2024-01-02,51,Other,Monthly,Cardio,68,526,16:58,Absent
22,2024-07-28,53,Female,Annual,HIIT,41,248,14:24,Absent
23,2024-05-06,30,Male,Quarterly,HIIT,98,577,20:49,Absent
24,2024-07-31,20,Male,Monthly,CrossFit,104,589,21:37,Present
25,2024-12-07,63,Male,Annual,Yoga,54,288,12:09,Present
26,2024-09-23,21,Female,Annual,Yoga,40,358,14:09,Absent
27,2024-06-12,52,Male,Monthly,CrossFit,77,620,14:48,Absent
28,2024-05-02,49,Other,Annual,HIIT,37,187,19:56,Absent
29,2024-02-07,39,Other,Quarterly,Strength Training,120,991,21:23,Present
30,2024-12-02,57,Female,Annual,CrossFit,96,621,13:16,Absent
31,2024-03-10,18,Male,Monthly,Cardio,52,455,9:43,Present
32,2024-12-19,19,Male,Monthly,CrossFit,59,374,19:23,Present
33,2024-03-21,27,Female,Annual,Strength Training,23,127,22:44,Present
34,2024-03-17,51,Male,Quarterly,CrossFit,36,208,20:18,Present
35,2024-12-25,50,Female,Monthly,CrossFit,59,584,17:28,Present
36,2024-03-14,48,Male,Monthly,Cardio,20,159,7:50,Absent
37,2024-08-24,49,Female,Annual,Strength Training,81,756,11:16,Absent
38,2024-03-26,47,Female,Annual,CrossFit,107,779,15:14,Present
39,2024-05-21,61,Female,Monthly,Strength Training,94,737,8:57,Present
40,2024-05-25,26,Other,Monthly,Yoga,100,562,5:16,Present
41,2024-04-27,50,Other,Quarterly,HIIT,51,428,15:05,Present
42,2024-10-01,26,Male,Annual,HIIT,94,859,7:04,Present
43,2024-11-26,45,Female,Monthly,HIIT,61,412,8:43,Absent
44,2024-03-22,19,Male,Monthly,Cardio,81,570,20:36,Absent
