,CSI800,HS300,SP500,GOLD,STBOND,OIL,COPPER,BOND10Y
2005/1/31,945.237,954.879,1181.27,113.32,2.48,48.25,3168.1,4.14
2005/2/28,1034.234,1039.989,1203.6,116.45,2.72,51.75,3247.1,4.36
2005/3/31,928.649,942.203,1180.59,114.08,2.73,55.31,3378.904761904762,4.5
2005/4/30,906.462,932.395,1156.85,115.2,2.84,49.2,3389.809523809524,4.21
2005/5/31,834.262,855.946,1191.5,111.26,2.93,52.08,3241.9,4
2005/6/30,843.178,878.686,1191.33,115.45,3.06,56.63,3529.727272727273,3.94
2005/7/31,833.868,888.164,1234.18,111.67,3.34,60.71,3608.47619047619,4.28
2005/8/31,897.637,927.916,1220.33,113.4,3.44,68.63,3791.909090909091,4.02
2005/9/30,897.276,917.392,1228.81,121.84,3.47,66.21,3850.659090909091,4.34
2005/10/31,853.934,876.282,1207.01,122.41,3.89,59.8,4056.166666666667,4.57
2005/11/30,850.889,873.825,1249.48,129,3.86,57.33,4278.159090909091,4.49
2005/12/31,898.783,923.451,1248.29,133.55,3.99,61.06,4577.025,4.39
2006/1/31,987.362,1009.597,1280.08,144,4.37,67.86,4743.857142857143,4.53
2006/2/28,1020.503,1053.01,1280.66,143.44,4.51,61.37,4974.975,4.55
2006/3/31,1036.086,1061.088,1294.83,150.4,4.52,66.25,5123.673913043478,4.86
2006/4/30,1156.003,1172.347,1310.61,164.39,4.65,71.8,6404.444444444444,5.07
2006/5/31,1366.703,1365.451,1270.09,168.83,4.74,71.42,8059.190476190476,5.12
2006/6/30,1410.44,1393.963,1270.2,154.02,4.87,73.94,7222.772727272727,5.15
2006/7/31,1321.915,1294.328,1276.66,163.1,4.97,74.56,7726.738095238095,4.99
2006/8/31,1368.688,1338.694,1303.82,159.15,4.92,70.38,7690.25,4.74
2006/9/30,1434.579,1403.265,1335.85,153.51,4.77,62.9,7622.642857142857,4.64
2006/10/31,1476.951,1464.473,1377.94,152.1,4.95,58.72,7497.409090909091,4.61
2006/11/30,1682.046,1714.358,1400.63,160.9,4.9,62.97,7029.295454545455,4.46
2006/12/31,1948.901,2041.047,1418.3,159.34,4.89,60.85,6680.973684210526,4.71
2007/1/31,2309.138,2385.335,1438.24,161.22,4.99,58.17,5689.340909090909,4.83
2007/2/28,2519.744,2544.571,1406.82,167.25,5.01,61.78,5718.15,4.56
2007/3/31,2798.94,2781.784,1420.86,165.36,4.9,65.94,6465.295454545455,4.65
2007/4/30,3620.351,3558.709,1482.37,168.23,4.79,65.78,7753.342105263158,4.63
2007/5/31,3986.658,3927.952,1530.62,162.16,4.6,64.02,7677.952380952381,4.9
2007/6/30,3699.335,3764.078,1503.35,158.8,4.68,70.47,7514.238095238095,5.03
2007/7/31,4420.187,4460.564,1455.27,162.21,4.82,78.2,7980.931818181818,4.78
2007/8/31,5171.065,5296.813,1473.99,162.03,3.91,73.98,7500.204545454545,4.54
2007/9/30,5430.639,5580.813,1526.75,178.2,3.72,81.64,7671.35,4.59
2007/10/31,5391.909,5688.543,1549.38,188.68,3.84,94.16,8020.586956521739,4.48
2007/11/30,4562.396,4737.408,1481.14,190.23,3.08,88.6,6957.431818181818,3.97
2007/12/31,5205.737,5338.275,1468.36,195.03,3.29,95.95,6630.736111111111,4.04
2008/1/31,4583.532,4620.401,1378.55,213.98,1.92,91.67,7078.909090909091,3.67
2008/2/29,4710.784,4674.55,1330.63,221.35,1.81,101.78,7941.142857142857,3.53
2008/3/31,3807.592,3790.53,1322.7,212,1.36,101.54,8434.315789473683,3.45
2008/4/30,3907.596,3959.119,1385.59,198.13,1.41,113.7,8714.181818181818,3.77
2008/5/31,3606.496,3611.33,1400.38,195.79,1.85,127.35,8356.125,4.06
2008/6/30,2768.773,2791.819,1280,204.59,1.87,139.96,8292,3.99
2008/7/31,2820.423,2805.21,1267.38,201,1.65,124.17,8407.021739130436,3.99
2008/8/31,2350.938,2391.64,1282.83,183.98,1.69,115.55,7633.8,3.83
2008/9/30,2199.72,2243.657,1166.36,192.75,0.9,100.7,6975.113636363636,3.85
2008/10/31,1626.665,1663.66,968.75,164,0.44,68.1,4894.891304347826,4.01
2008/11/30,1814.196,1829.924,896.24,179.01,0.01,55.21,3729.1875,2.93
2008/12/31,1824.4,1817.722,903.25,190.65,0.11,44.6,3105.095238095238,2.25
2009/1/31,2053.567,2032.682,825.88,188.49,0.24,41.73,3260.357142857143,2.87
2009/2/28,2174.131,2140.489,735.09,207.51,0.26,44.15,3328.4125,3.02
2009/3/31,2563.165,2507.789,797.87,202.56,0.21,49.64,3770.875,2.71
2009/4/30,2688.256,2622.926,872.81,197.75,0.14,50.35,4436.925,3.16
2009/5/31,2834.189,2759.712,919.14,208.69,0.14,66.31,4591.460526315789,3.47
2009/6/30,3192.186,3166.474,919.32,207.41,0.19,69.82,5015.431818181818,3.53
2009/7/31,3737.842,3734.622,987.48,206.26,0.18,69.26,5228.413043478261,3.52
2009/8/31,2889.589,2830.271,1020.62,209.85,0.15,69.97,6176.875,3.4
2009/9/30,3052.787,3004.805,1057.08,219.71,0.14,70.46,6195.75,3.31
2009/10/31,3354.485,3280.372,1036.19,230.45,0.05,77.04,6305.988636363636,3.41
2009/11/30,3648.95,3511.669,1095.63,259.98,0.06,77.19,6682.440476190476,3.21
2009/12/31,3715.359,3575.684,1115.1,251.58,0.06,79.39,6976.97619047619,3.85
2010/1/31,3397.604,3204.155,1073.87,239.7,0.08,72.85,7367.375,3.63
2010/2/28,3509.384,3281.666,1104.49,243.54,0.13,79.72,6867.675,3.61
2010/3/31,3583.713,3345.607,1169.43,244.57,0.16,83.45,7466.934782608696,3.84
2010/4/30,3300.621,3067.365,1186.69,257.26,0.16,86.07,7729.8375,3.69
2010/5/31,3001.618,2773.264,1089.41,266.01,0.16,74,6843.157894736842,3.31
2010/6/30,2749.508,2563.07,1030.71,271.44,0.18,75.59,6501.5,2.97
2010/7/31,3094.547,2868.846,1101.6,255.8,0.15,78.85,6750.568181818182,2.94
2010/8/31,3197.548,2903.188,1049.33,270.63,0.14,71.93,7302.666666666667,2.47
2010/9/30,3237.02,2935.574,1141.2,282.1,0.16,79.95,7729.590909090909,2.53
2010/10/31,3668.157,3379.983,1183.26,289.2,0.12,81.45,8289.761904761905,2.63
2010/11/30,3483.432,3136.985,1180.55,295.08,0.17,84.12,8458.420454545456,2.81
2010/12/31,3443.576,3128.261,1257.64,301.8,0.12,91.38,9152.857142857143,3.3
2011/1/31,3340.507,3076.508,1286.12,285.7,0.15,90.99,9533.2,3.42
2011/2/28,3562.813,3239.559,1327.22,299.6,0.15,97.1,9880.9375,3.42
2011/3/31,3531.879,3223.288,1325.83,302.16,0.09,106.19,9503.358695652174,3.47
2011/4/30,3476.505,3192.723,1363.61,320.17,0.04,113.39,9482.75,3.32
2011/5/31,3248.9,3001.556,1345.2,320.64,0.06,102.7,8931.675,3.05
2011/6/30,3308.537,3044.089,1320.64,314.7,0.03,95.3,9066.852272727272,3.18
