page,context,data
4,"ϗɝ 482,064 560,118 554,552 609,015 660,257","[482064, 560118, 554552, 609015, 660257]"
4,"ˣл 221,532 245,944 238,746 293,109 349,246","[221532, 245944, 238746, 293109, 349246]"
4,"຾ᐄޮл 126,197 124,656 110,827 160,074 208,099","[126197, 124656, 110827, 160074, 208099]"
4,"ৰ೼ޮۃл 180,022 248,062 210,225 161,324 241,485","[180022, 248062, 210225, 161324, 241485]"
4,"ϋޮܓл 160,125 227,810 188,709 118,048 196,467","[160125, 227810, 188709, 118048, 196467]"
4,"͉ʮ̡ᛆूܵϞɛᏐЦޮл 159,847 224,822 188,243 115,216 194,073","[159847, 224822, 188243, 115216, 194073]"
4,"ϋܓΌࠦϗूᐼᕘ 281,173 200,390 59,564 107,182 284,342","[281173, 200390, 59564, 107182, 284342]"
4,"͉ʮ̡ᛆूܵϞɛᏐЦΌࠦϗूᐼᕘ 277,834 200,323 60,699 102,130 279,009","[277834, 200323, 60699, 102130, 279009]"
4,"ڢ਷ყৌਕజѓ๟ۆ຾ᐄޮл 143,241 152,729 143,203 191,886 237,811","[143241, 152729, 143203, 191886, 237811]"
4,"ܵϞɛᏐЦޮл 122,742 123,788 115,649 157,688 222,703","[122742, 123788, 115649, 157688, 222703]"
4,"ݴڢਗ༟ପ 1,015,778 1,127,552 1,012,142 1,058,800 1,284,815","[1015778, 1127552, 1012142, 1058800, 1284815]"
4,"ݴਗ༟ପ 317,647 484,812 565,989 518,446 496,180","[317647, 484812, 565989, 518446, 496180]"
4,"༟ପᐼᕘ 1,333,425 1,612,364 1,578,131 1,577,246 1,780,995","[1333425, 1612364, 1578131, 1577246, 1780995]"
4,"͉ʮ̡ᛆूܵϞɛᏐЦᛆू 703,984 806,299 721,391 808,591 973,548","[703984, 806299, 721391, 808591, 973548]"
4,"ڢછՓ׌ᛆू 74,059 70,394 61,469 65,090 80,348","[74059, 70394, 61469, 65090, 80348]"
4,"ᛆूᐼᕘ 778,043 876,693 782,860 873,681 1,053,896","[778043, 876693, 782860, 873681, 1053896]"
