billCode,index,bill_model_id,billName,status
B00700110000,0,147.0,会议纪要,1.0
B00400190000,1,163.0,增值税销货清单,1.0
B00400200000,2,167.0,开户许可证,1.0
B00000160000,3,183.0,通用机打发票（网络通讯）,1.0
B00400060002,4,346.0,银行存折,1.0
B00400000008,5,234.0,结算账户收/付款凭证（邮储银行）,1.0
B00400000007,6,232.0,商业银行支付专用凭证,1.0
B00400120001,7,,,0.0
B00200060000,8,119.0,成都住房公积金缴存凭证,1.0
B00200050000,9,111.0,四川省政府非税收入通用票据,1.0
B00000050001,10,41.0,出租车发票,1.0
B00200020000,11,49.0,社会保险费专用票据,1.0
B00400230001,12,,,0.0
B00400000001,13,127.0,客户收付款入账通知（农业银行）,1.0
B00400050000,14,69.0,营业执照,1.0
B00700170000,15,155.0,出库单,1.0
B00000020001,16,253.0,退票费发票,1.0
B00200070000,17,121.0,成都住房公积金汇、补缴缴款通知书,1.0
B00500040000,18,203.0,无票服务收入税金计算表,1.0
B00400160001,19,161.0,银行卡,1.0
B00400040000,20,61.0,出口退税审批通知单,1.0
B00000130000,21,113.0,景区门票,1.0
B00300020000,22,109.0,费用报销单,1.0
B00400000000,23,225.0,手续费专用回单,1.0
B00000140000,24,,,0.0
B00000030001,25,238.0,小额发票鱼鳞粘贴单,1.0
B00000000000,26,21.0,增值税专用发票,1.0
B00500030000,27,199.0,工资表,1.0
B00400000005,28,228.0,建设银行单位客户专用回单（收付款）,1.0
B00000190000,29,197.0,机场大巴发票,1.0
B00600000000,30,123.0,照片,1.0
B00400000009,31,237.0,支票存根联,1.0
B00400090000,32,77.0,银行进账单,1.0
B00000000002,33,,,0.0
B00500000001,34,115.0,保险单,1.0
B00000020000,35,,,0.0
B00700030000,36,151.0,零工表,1.0
B00700210001,37,,,0.0
B00700160000,38,141.0,经费支出事前审批表,1.0
B00000010000,39,63.0,通用机打发票,1.0
B00300000000,40,129.0,纸质报销单,1.0
B00700240000,41,,,0.0
B00400000002,42,175.0,中国银行国内支付业务收/付款回单,1.0
B00400030000,43,59.0,报关单,1.0
B00600010000,44,220.0,条码,1.0
B00500020000,45,,,0.0
B00400000011,46,,,0.0
B00400240000,47,244.0,税务申报表,1.0
B00000070000,48,103.0,公交车票,1.0
B00400160000,49,97.0,现金缴款单,1.0
B00400140001,50,143.0,四川省农村信用社业务凭证（副联）,1.0
B00000030000,51,27.0,通用定额发票,1.0
B00400080000,52,75.0,机动车行驶证,1.0
B00000080000,53,43.0,税收缴款书,1.0
B00000000003,54,153.0,增值税普通发票,1.0
B00000150000,55,181.0,过路费发票,1.0
B00100000000,56,165.0,合同协议,1.0
B00700140000,57,179.0,项目验收意见书,1.0
B00300010000,58,,,0.0
B00700010000,59,137.0,村用款申请书,1.0
B00500050001,60,207.0,成本结转单,1.0
B00300050000,61,139.0,差旅系统电子报销单,1.0
B00000000004,62,157.0,增值税电子普通发票,1.0
B00500010000,63,,,0.0
B00000200000,64,195.0,地铁车票,1.0
B00300040000,65,,,0.0
B00700200000,66,226.0,逾重行李票,1.0
B00000000005,67,187.0,预算经费请领单,1.0
B00700040000,68,,,0.0
B00500070000,69,229.0,收款明细表,1.0
B00400140000,70,95.0,结算业务申请书,1.0
B00600040000,71,254.0,社保卡,1.0
B00400000003,72,177.0,中国银行客户付费回单,1.0
B00400000006,73,230.0,缴税回单,1.0
B00400000010,74,242.0,商业银行存款利息回单,1.0
