Timestamp,ID,Protocol,Direction,NumField,MessageType,Message,HexData,Empty,TimeIndex,TimeSeconds,MessageCategory
12:34:57, ,AT,, , REMOTE, REMOTE>>at+cpin?  , , ,0,45297,Remote
12:34:57, ,AT,, , REMOTE, REMOTE>>  +CPIN: READY   , , ,1,45297,Remote
12:34:57, ,AT,, , REMOTE, REMOTE>>  OK   , , ,2,45297,Remote
12:34:57, ,AT,, , REMOTE, REMOTE>>at+cmee=2   , , ,3,45297,Remote
12:34:57, ,AT,Up, , AT command, RC1:Command>>AT+cmee=2  , , ,4,45297,Command
12:34:57, ,AT,, , REMOTE, REMOTE>>at+cmee=2  , , ,5,45297,Remote
12:34:57, ,AT,Down, , AT response, RC1:Response>>  OK   , , ,6,45297,Response
12:34:57, ,AT,, , REMOTE, REMOTE>>  OK   , , ,7,45297,Remote
12:34:57, ,AT,, , REMOTE, REMOTE>>at+crc=1   , , ,8,45297,Remote
12:34:57, ,AT,Up, , AT command, RC1:Command>>AT+crc=1  , , ,9,45297,Command
12:34:57, ,AT,, , REMOTE, REMOTE>>at+crc=1  , , ,10,45297,Remote
12:34:57, ,AT,Down, , AT response, RC1:Response>>  OK   , , ,11,45297,Response
12:34:57, ,AT,, , REMOTE, REMOTE>>  OK   , , ,12,45297,Remote
12:34:57, ,AT,, , REMOTE, REMOTE>>at+cpin?   , , ,13,45297,Remote
12:34:57, ,AT,Up, , AT command, RC1:Command>>AT+cpin?  , , ,14,45297,Command
12:34:57, ,AT,, , REMOTE, REMOTE>>at+cpin?  , , ,15,45297,Remote
12:34:57, ,AT,Down, , AT response, RC1:Response>>  +CPIN: READY   , , ,16,45297,Response
12:34:57, ,AT,, , REMOTE, REMOTE>>  +CPIN: READY   , , ,17,45297,Remote
12:34:57, ,AT,Down, , AT response, RC1:Response>>  OK   , , ,18,45297,Response
12:34:57, ,AT,, , REMOTE, REMOTE>>  OK   , , ,19,45297,Remote
12:34:58,846922,CCCH,Down, , ," SAPI: 0 C: UI-Frame,                                       M:0 Length: 23    MT:RR PAGING_REQUEST_TYPE_1",  0x15 0x06 0x21 0x00 0x01 0xF0 0x9B 0x2B 0x2B 0x2B 0x2B 0x2B 0x2B 0x2B 0x2B 0x2B 0x2B 0x2B 0x2B 0x2B 0x2B 0x2B 0x2B, ,20,45298,Other
12:34:58,846922,CCCH,Down, , RR PAGING_REQUEST_TYPE_1, , , ,21,45298,Signaling
12:34:58,847024,CCCH,Down, , ," SAPI: 0 C: UI-Frame,                                       M:0 Length: 23    MT:RR PAGING_REQUEST_TYPE_1",  0x15 0x06 0x21 0x00 0x01 0xF0 0x9B 0x2B 0x2B 0x2B 0x2B 0x2B 0x2B 0x2B 0x2B 0x2B 0x2B 0x2B 0x2B 0x2B 0x2B 0x2B 0x2B, ,22,45298,Other
12:34:58,847024,CCCH,Down, , RR PAGING_REQUEST_TYPE_1, , , ,23,45298,Signaling
12:34:58,847065,CCCH,Down, , ," SAPI: 0 C: UI-Frame,                                       M:0 Length: 23    MT:RR NOTIFICATION_NCH",  0x05 0x06 0x20 0x8B 0x2B 0x2B 0x2B 0x2B 0x2B 0x2B 0x2B 0x2B 0x2B 0x2B 0x2B 0x2B 0x2B 0x2B 0x2B 0x2B 0x2B 0x2B 0x2B, ,24,45298,Other
12:34:58,847065,CCCH,Down, , RR NOTIFICATION_NCH, , , ,25,45298,Other
12:34:58,847116,CCCH,Down, , ," SAPI: 0 C: UI-Frame,                                       M:0 Length: 23    MT:RR NOTIFICATION_NCH",  0x05 0x06 0x20 0x8B 0x2B 0x2B 0x2B 0x2B 0x2B 0x2B 0x2B 0x2B 0x2B 0x2B 0x2B 0x2B 0x2B 0x2B 0x2B 0x2B 0x2B 0x2B 0x2B, ,26,45298,Other
12:34:58,847116,CCCH,Down, , RR NOTIFICATION_NCH, , , ,27,45298,Other
12:34:58,847126,CCCH,Down, , ," SAPI: 0 C: UI-Frame,                                       M:0 Length: 23    MT:RR PAGING_REQUEST_TYPE_1",  0x15 0x06 0x21 0x00 0x01 0xF0 0x9B 0x2B 0x2B 0x2B 0x2B 0x2B 0x2B 0x2B 0x2B 0x2B 0x2B 0x2B 0x2B 0x2B 0x2B 0x2B 0x2B, ,28,45298,Other
12:34:58,847126,CCCH,Down, , RR PAGING_REQUEST_TYPE_1, , , ,29,45298,Signaling
12:34:58,847167,CCCH,Down, , ," SAPI: 0 C: UI-Frame,                                       M:0 Length: 23    MT:RR NOTIFICATION_NCH",  0x05 0x06 0x20 0x8B 0x2B 0x2B 0x2B 0x2B 0x2B 0x2B 0x2B 0x2B 0x2B 0x2B 0x2B 0x2B 0x2B 0x2B 0x2B 0x2B 0x2B 0x2B 0x2B, ,30,45298,Other
12:34:58,847167,CCCH,Down, , RR NOTIFICATION_NCH, , , ,31,45298,Other
12:34:58,847228,CCCH,Down, , ," SAPI: 0 C: UI-Frame,                                       M:0 Length: 23    MT:RR PAGING_REQUEST_TYPE_1",  0x15 0x06 0x21 0x00 0x01 0xF0 0x9B 0x2B 0x2B 0x2B 0x2B 0x2B 0x2B 0x2B 0x2B 0x2B 0x2B 0x2B 0x2B 0x2B 0x2B 0x2B 0x2B, ,32,45298,Other
12:34:58,847228,CCCH,Down, , RR PAGING_REQUEST_TYPE_1, , , ,33,45298,Signaling
12:34:59,847330,CCCH,Down, , ," SAPI: 0 C: UI-Frame,                                       M:0 Length: 23    MT:RR PAGING_REQUEST_TYPE_1",  0x15 0x06 0x21 0x00 0x01 0xF0 0x9B 0x2B 0x2B 0x2B 0x2B 0x2B 0x2B 0x2B 0x2B 0x2B 0x2B 0x2B 0x2B 0x2B 0x2B 0x2B 0x2B, ,34,45299,Other
12:34:59,847330,CCCH,Down, , RR PAGING_REQUEST_TYPE_1, , , ,35,45299,Signaling
12:34:59,847432,CCCH,Down, , ," SAPI: 0 C: UI-Frame,                                       M:0 Length: 23    MT:RR PAGING_REQUEST_TYPE_1",  0x15 0x06 0x21 0x00 0x01 0xF0 0x9B 0x2B 0x2B 0x2B 0x2B 0x2B 0x2B 0x2B 0x2B 0x2B 0x2B 0x2B 0x2B 0x2B 0x2B 0x2B 0x2B, ,36,45299,Other
12:34:59,847432,CCCH,Down, , RR PAGING_REQUEST_TYPE_1, , , ,37,45299,Signaling
12:35:00,847534,CCCH,Down, , ," SAPI: 0 C: UI-Frame,                                       M:0 Length: 23    MT:RR PAGING_REQUEST_TYPE_1",  0x15 0x06 0x21 0x00 0x01 0xF0 0x9B 0x2B 0x2B 0x2B 0x2B 0x2B 0x2B 0x2B 0x2B 0x2B 0x2B 0x2B 0x2B 0x2B 0x2B 0x2B 0x2B, ,38,45300,Other
12:35:00,847534,CCCH,Down, , RR PAGING_REQUEST_TYPE_1, , , ,39,45300,Signaling
12:35:00,847636,CCCH,Down, , ," SAPI: 0 C: UI-Frame,                                       M:0 Length: 23    MT:RR PAGING_REQUEST_TYPE_1",  0x15 0x06 0x21 0x00 0x01 0xF0 0x9B 0x2B 0x2B 0x2B 0x2B 0x2B 0x2B 0x2B 0x2B 0x2B 0x2B 0x2B 0x2B 0x2B 0x2B 0x2B 0x2B, ,40,45300,Other
12:35:00,847636,CCCH,Down, , RR PAGING_REQUEST_TYPE_1, , , ,41,45300,Signaling
12:35:01,847738,CCCH,Down, , ," SAPI: 0 C: UI-Frame,                                       M:0 Length: 23    MT:RR PAGING_REQUEST_TYPE_1",  0x15 0x06 0x21 0x00 0x01 0xF0 0x9B 0x2B 0x2B 0x2B 0x2B 0x2B 0x2B 0x2B 0x2B 0x2B 0x2B 0x2B 0x2B 0x2B 0x2B 0x2B 0x2B, ,42,45301,Other
12:35:01,847738,CCCH,Down, , RR PAGING_REQUEST_TYPE_1, , , ,43,45301,Signaling
12:35:01,847840,CCCH,Down, , ," SAPI: 0 C: UI-Frame,                                       M:0 Length: 23    MT:RR PAGING_REQUEST_TYPE_1",  0x15 0x06 0x21 0x00 0x01 0xF0 0x9B 0x2B 0x2B 0x2B 0x2B 0x2B 0x2B 0x2B 0x2B 0x2B 0x2B 0x2B 0x2B 0x2B 0x2B 0x2B 0x2B, ,44,45301,Other
12:35:01,847840,CCCH,Down, , RR PAGING_REQUEST_TYPE_1, , , ,45,45301,Signaling
