dt,position_name_cn,business_type,dsp_name,position_type,discovery_cnt_num,click_cnt_num,consume_amount
20260121,收听时长-激励视频,效果广告,广点通,极速版,148,70,2.22
20260111,收听时长-超级翻倍-激励视频-卡友,效果广告,广点通,极速版,2290,1937,43.51
20260105,激励视频-福利页-唤端广告,效果广告,爱奇艺,福利页,102250,82374,1704.15249
20260110,激励视频-唤端广告,效果广告,华夏乐游,时长模式,1745,52,33.31764
20260112,积分中心-任务-banner,效果广告,fancy-v2,福利页,5954,5904,126.45022
20260125,激励视频-唤端广告,效果广告,方歌,时长模式,173,11,3.12907
20260106,福利页-小游戏,效果广告,广点通,主app-其他,972,196,11.37238
20260120,激励视频-时长模式,效果广告,百度SDK,时长模式,190486,189773,6920.71089
20260125,奇迹小说-书籍红包激励视频,效果广告,穿山甲（模板）,极速版,21,8,0.42
20260113,激励视频-福利页-唤端广告,效果广告,方歌,福利页,828,736,20.98596
20260102,积分中心激励视频,声播,?,福利页,436,73,3.032046
20260114,收听时长-超级翻倍-激励视频,效果广告,广点通,极速版,59223,40108,753.85872
20260122,激励视频-福利页,效果广告,多盟,福利页,210147,218091,4348.57779
20260101,激励视频-唤端广告,效果广告,广点通,时长模式,458024,160439,17730.07309
20260117,激励视频-时长模式,效果广告,布鲁肯,时长模式,26495,19850,1672.84182
20260123,激励视频-福利页,效果广告,新义-v2,福利页,1733,1460,104.31215
20260119,激励视频-福利页-唤端广告,效果广告,枫岚rtb,福利页,6836,5029,155.75748
20260117,激励视频-唤端广告,效果广告,爱奇艺,时长模式,47010,12616,1188.82269
20260127,极速版-福利页-愉悦赚H5,效果广告,,极速版,,,451.7584000000147
20260120,激励视频-福利页-唤端广告,效果广告,美数_v2,福利页,628,539,8.45088
20260111,激励视频-福利页,adsounds,?,福利页,618341,353437,9623.939393003613
20260106,激励视频-时长模式,效果广告,快友V2,时长模式,8869,8365,897.9818
20260108,激励视频-福利页-唤端广告,adsounds,?,福利页,245318,183777,3633.435314
20260102,收听时长-超级翻倍-激励视频,adsounds,?,极速版,2147,2173,47.359478
20260120,激励视频-福利页,效果广告,舜飞,福利页,12931,12640,437.61955
20260116,喝水打卡激励视频,效果广告,百度（模板）,极速版,4915,4465,55.20976
20260116,福利页-下载任务,效果广告,VIVO,福利页,2304,517,68.66567
20260113,激励视频-福利页-唤端广告,效果广告,广点通,福利页,289156,236660,2557.05716
20260108,激励视频-唤端广告,效果广告,VIVO,时长模式,26915,5786,814.57088
20260104,激励视频-唤端广告,效果广告,fancy-v2,时长模式,2877,273,69.5516
20260127,激励视频-时长模式,效果广告,广推,时长模式,3007,2503,152.52794
20260128,激励视频-福利页-唤端广告,效果广告,快友V2,福利页,7250,4933,141.1098
20260103,激励视频-福利页,效果广告,华夏乐游,福利页,1188,997,82.5049
20260124,福利页-下载任务,效果广告,荣耀_他方,福利页,5802,2834,186.9974
20260124,前插视频,adsounds,?,主app-其他,14317,1863,353.64726
20260104,极速版免费领时长激励视频,效果广告,讯飞,极速版,182,179,11.88911
20260110,激励视频-福利页,效果广告,华夏乐游,福利页,137,97,11.0812
20260125,激励视频-福利页,效果广告,fancy-v2,福利页,68778,64150,2290.8998
20260122,极速版-激励视频-福利页,效果广告,穿山甲（模板）,极速版,145480,103936,2127.35379
20260123,激励视频-唤端广告,效果广告,讯飞,时长模式,5377,1467,175.44917
20260102,福利页-下载任务,品牌广告,汇川,福利页,60342,3377,787.19817
20260121,福利页红包-激励视频,声播,?,极速版,140,302,25.968262
20260104,激励视频-福利页-唤端广告,效果广告,海贝（嗨量）,福利页,43199,33812,564.72303
20260126,福利页-提取现金-激励视频,效果广告,fancy-v2,福利页,332,325,39.16708
20260120,福利页-下载任务,声播,?,福利页,3,0,0.0
20260118,激励视频-福利页,效果广告,亿典v2,福利页,10045,9183,830.28151
20260123,极速版-激励视频-福利页,adsounds,?,极速版,16513,16399,120.348634
20260104,激励视频-福利页,效果广告,多盟,福利页,76868,81538,1767.37174
20260123,激励视频-时长模式,效果广告,软告V2,时长模式,36900,32934,2417.06826
20260115,激励视频-唤端广告,效果广告,荣耀_他方,时长模式,295,23,3.14332
20260102,激励视频-福利页,效果广告,讯飞,福利页,330417,315357,6920.39418
20260117,激励视频-时长模式,效果广告,海贝（嗨量）,时长模式,48769,42990,2948.87641
20260103,福利页-提取现金-激励视频,声播,?,福利页,860,831,80.1670989999965
20260113,激励视频-福利页,效果广告,讯飞,福利页,287538,275660,5838.36418
20260110,福利页-下载任务,效果广告,爱奇艺,福利页,4,0,0.05255
20260110,激励视频-福利页-唤端广告,效果广告,美数_v2,福利页,346,317,5.83836
20260106,极速版-激励视频-福利页,效果广告,穿山甲聚合SDK,极速版,294289,239405,6370.40416
20260112,激励视频-唤端广告,效果广告,枫岚rtb,时长模式,27549,5892,446.39547
20260105,激励视频-福利页,品牌广告,手淘_巨浪,福利页,1141,810,112.73515
20260111,激励视频-唤端广告,效果广告,荣耀_他方,时长模式,282,15,2.81256
20260118,激励视频-时长模式,效果广告,OPPO-API,时长模式,32633,26853,2842.89108
20260102,收听失效奖励激励视频,效果广告,广点通,极速版,167,13,0.725
20260114,激励视频-福利页-唤端广告,效果广告,墨果,福利页,4430,3441,80.29964
20260119,激励视频-唤端广告,效果广告,美数_v2,时长模式,542,55,10.59018
20260113,极速版免费领时长激励视频,效果广告,穿山甲聚合SDK,极速版,145106,96260,9885.02561
20260114,福利页-领现金-激励视频,品牌广告,汇川,福利页,86,74,2.15899
20260110,激励视频-福利页,效果广告,枫岚rtb,福利页,109593,99540,2383.48986
20260119,福利页红包-激励视频,adsounds,?,极速版,1300,1344,14.443068
20260123,激励视频-时长模式,效果广告,吉欣,时长模式,275,247,14.51274
20260120,?,效果广告,布鲁肯,极速版,0,2,0.0
20260121,激励视频-福利页,效果广告,吉欣,福利页,9812,9688,177.42296
20260111,激励视频-短剧模式,声播,?,主app-其他,2,9,0.275269
20260120,激励视频-福利页,效果广告,华为,福利页,35230,34831,813.63461
20260128,激励视频-福利页,效果广告,有境V2,福利页,8086,4773,586.84468
20260123,激励视频-唤端广告,效果广告,枫岚rtb,时长模式,51584,13173,1372.44081
20260112,激励视频-福利页,效果广告,星梵,福利页,1661,1637,41.2521
20260117,激励视频-福利页,效果广告,易点天下,福利页,81565,76220,2873.99464
20260115,极速版-激励视频-福利页,效果广告,广点通,极速版,125753,122343,1330.72036
20260120,福利页-领现金-激励视频,效果广告,百度SDK,福利页,15,16,0.38886
20260126,喝水打卡激励视频,效果广告,穿山甲（模板）,极速版,88365,57815,1824.28877
20260110,激励视频-福利页-唤端广告,效果广告,布鲁肯,福利页,2935,2017,53.58768
20260125,激励视频-福利页-唤端广告,效果广告,百度SDK,福利页,139129,121772,1304.74075
20260119,奇迹小说-看视频任务激励视频,效果广告,广点通,极速版,2,0,0.013
20260103,激励视频-福利页,效果广告,瑞狮,福利页,90019,88050,1814.55579
20260111,激励视频-福利页,效果广告,百度SDK,福利页,573813,561402,10540.6651
20260128,喝水打卡激励视频,声播,?,极速版,835,1415,20.277875
20260119,积分中心激励视频,效果广告,穿山甲（模板）,福利页,75860,45611,4894.54874
20260113,收听时长-超级翻倍-激励视频,效果广告,穿山甲聚合SDK,极速版,173697,140006,3664.25411
20260109,激励视频-福利页-唤端广告,效果广告,方歌,福利页,1403,1336,34.67986
20260102,激励视频-时长模式,效果广告,舜飞,时长模式,20938,20069,1405.52585
20260114,奇迹小说-宝箱激励视频,效果广告,穿山甲（模板）,极速版,148,59,1.036
20260119,激励视频-时长模式,效果广告,吉欣,时长模式,279,268,23.37102
20260112,激励视频-福利页-唤端广告,效果广告,OPPO-API,福利页,1159,822,23.24246
20260116,激励视频-短剧模式,声播,?,主app-其他,3,0,0.0
20260105,激励视频-唤端广告,效果广告,海贝（嗨量）,时长模式,51901,4058,747.65199
20260112,收听时长-超级翻倍-激励视频,效果广告,ToBid聚合SDK,极速版,14511,11757,331.1749
20260107,前插视频,效果广告,穿山甲（开屏/自渲染）,主app-其他,3476,1179,170.25
20260104,激励视频-福利页-唤端广告,效果广告,方歌,福利页,1058,1029,18.58721
20260118,激励视频-福利页,adsounds,?,福利页,306108,223094,5208.85829402454
20260104,激励视频,adsounds,?,主app-其他,72,1,0.014611
20260119,福利页-领现金-激励视频,效果广告,方歌,福利页,18,14,0.69039
20260119,收听气泡超级翻倍激励视频,效果广告,穿山甲（模板）,极速版,74,0,0.045
20260117,激励视频-福利页-唤端广告,品牌广告,快手UG,福利页,439,168,7.13354
20260114,激励视频-时长模式,品牌广告,汇川,时长模式,165376,152671,12901.18963
20260128,激励视频-金币模式,效果广告,广推,福利页,7,7,0.17849
