"Date","Price","Open","High","Low","Vol.","Change %"
"01/28/2026","113.110","112.910","116.110","111.912","58.97K","6.75%"
"01/27/2026","105.957","104.015","113.550","102.900","227.34K","-8.27%"
"01/26/2026","115.504","104.600","117.700","101.700","317.87K","13.98%"
"01/23/2026","101.333","96.320","103.530","96.220","139.09K","5.15%"
"01/22/2026","96.372","92.790","96.735","90.680","108.42K","4.03%"
"01/21/2026","92.637","94.550","95.530","90.150","128.65K","-2.11%"
"01/20/2026","94.636","90.605","95.780","90.500","199.93K","0.87%"
"01/19/2026","93.820","93.635","94.740","92.283","79.94K","-7.41%"
"01/18/2026","101.333","90.605","103.530","90.150","436.99K","14.45%"
"01/11/2026","88.537","80.505","93.700","79.900","897.43K","11.72%"
"01/06/2026","79.250","81.285","82.585","78.100","57.33K","-2.21%"
"01/05/2026","81.039","76.530","81.485","75.700","136.39K","5.72%"
"01/04/2026","76.657","73.080","77.835","72.505","131.25K","7.94%"
"01/01/2026","71.015","71.500","74.210","70.515","99.77K","0.58%"
"12/30/2025","70.603","76.065","76.275","69.255","148.60K","-9.39%"
"12/29/2025","77.919","71.685","78.065","70.670","168.12K","10.59%"
"12/28/2025","70.460","80.000","82.670","70.215","248.84K","-8.73%"
"12/25/2025","77.196","72.725","79.700","72.720","171.24K","7.69%"
"12/23/2025","71.685","71.680","72.750","70.160","94.82K","0.77%"
"12/22/2025","71.137","69.080","71.795","68.725","128.80K","3.75%"
