symbol,name,type,type_detail,supply,price,tvl,aum2,address number,token address
GOOGLon,Alphabet Class A (Ondo Tokenized),Stock,Common Stock,122192.1978,334.2620606,40844215.83,40844215.83,,
CRCLon,Circle Internet Group (Ondo Tokenized),Stock,Common Stock,177841.6648,71.545,12723681.91,12723681.91,,
AMDon,AMD (Ondo Tokenized),Stock,Common Stock,48600.33377,250.899451,12193797.06,12193797.06,,
SLVon,iShares Silver Trust (Ondo Tokenized),ETF,Commodity ETF,124313.6722,97.169333,12079476.61,12079476.61,,
TSLAon,Tesla (Ondo Tokenized),Stock,Common Stock,26523.89451,435.66,11555399.88,11555399.88,,
MUon,Micron Technology (Ondo Tokenized),Stock,Common Stock,23970.53566,388.5546072,9313862.067,9313862.07,,
AVGOon,Broadcom (Ondo Tokenized),Stock,Common Stock,23615.39499,326.9326035,7720642.566,7720642.57,,
NVDAon,NVIDIA (Ondo Tokenized),Stock,Common Stock,18583.11837,186.4546268,3464908.4,3464908.4,,
IAUon,iShares Gold Trust (Ondo Tokenized),ETF,Commodity ETF,23416.99866,95.130361,2227667.536,2227667.54,,
QQQon,Invesco QQQ (Ondo Tokenized),ETF,Equity ETF,3445.484775,627.6377892,2162516.447,2162516.45,,
COINon,Coinbase (Ondo Tokenized),Stock,Common Stock,8802.195885,214.386667,1887073.438,1887073.44,,
INTCon,Intel (Ondo Tokenized),Stock,Common Stock,42774.24488,42.276,1808323.976,1808323.98,,
TSMon,Taiwan Semiconductor Manufacturing (Ondo Tokenized),Stock,ADR,5171.037554,334.3435737,1728903.175,1728903.18,,
CVXon,Chevron (Ondo Tokenized),Stock,Common Stock,8173.665241,168.7378809,1379206.952,1379206.95,,
PDDon,PDD Holdings (Ondo Tokenized),Stock,Common Stock,12608.3346,106.93,1348209.219,1348209.22,,
BABAon,Alibaba (Ondo Tokenized),Stock,ADR,7305.021307,171.26,1251057.949,1251057.95,,
ADBEon,Adobe (Ondo Tokenized),Stock,Common Stock,4027.780613,304.657692,1227094.346,1227094.35,,
ONDSon,Ondas Holdings (Ondo Tokenized),Stock,Common Stock,108938.6397,11.237438,1224191.21,1224191.21,,
NVOon,Novo Nordisk (Ondo Tokenized),Stock,ADR,17948.48196,63.98,1148343.876,1148343.88,,
COPXon,Global X Copper Miners ETF (Ondo Tokenized),ETF,Commodity ETF,12785.2194,88.19,1127528.499,1127528.5,,
SPYon,SPDR S&P 500 ETF (Ondo Tokenized),ETF,Equity ETF,1475.637043,695.4953585,1026298.714,1026298.71,,
AAPLon,Apple (Ondo Tokenized),Stock,Common Stock,3873.353774,256.7937192,994652.9212,994652.92,,
MSTRon,MicroStrategy (Ondo Tokenized),Stock,Common Stock,4885.2606,161.283333,787911.1121,787911.11,,
GLDon,SPDR Gold Shares (Ondo Tokenized),ETF,Commodity ETF,1656.109507,464.272,768885.2732,768885.27,,
AMZNon,Amazon (Ondo Tokenized),Stock,Common Stock,2637.743158,238.884286,630115.3911,630115.39,,
MSFTon,Microsoft (Ondo Tokenized),Stock,Common Stock,1289.904688,473.1353031,610299.4454,610299.45,,
ORCLon,Oracle (Ondo Tokenized),Stock,Common Stock,2861.385497,183.0538682,523787.6838,523787.68,,
COSTon,Costco (Ondo Tokenized),Stock,Common Stock,461.7312813,980.4123506,452687.0508,452687.05,,
TQQQon,ProShares UltraPro QQQ (Ondo Tokenized),ETF,Equity ETF,7455.827404,55.365429,412795.0828,412795.08,,
HIMSon,Hims & Hers Health (Ondo Tokenized),Stock,Common Stock,13517.55653,30.263896,409093.925,409093.93,,
BIDUon,Baidu (Ondo Tokenized),Stock,ADR,2452.667977,156.51,383867.0651,383867.07,,
TLTon,iShares 20+ Year Treasury Bond ETF (Ondo Tokenized),ETF,Bond ETF,4175.018993,89.99463808,375729.3232,375729.32,,
METAon,Meta Platforms (Ondo Tokenized),Stock,Common Stock,514.5960446,673.8537315,346762.4649,346762.46,,
OKLOon,Oklo (Ondo Tokenized),Stock,Common Stock,3851.22282,82.82,318958.2739,318958.27,,
PALLon,abrdn Physical Palladium Shares ETF (Ondo Tokenized),ETF,Commodity ETF,1739.179488,180.423333,313788.56,313788.56,,
MRNAon,Moderna (Ondo Tokenized),Stock,Common Stock,6369.808152,47.676,303686.9735,303686.97,,
TCOMon,Trip.com Group (Ondo Tokenized),Stock,Common Stock,4044.88975,63.857778,258297.6717,258297.67,,
NFLXon,Netflix (Ondo Tokenized),Stock,Common Stock,285.5034487,858.15439,245006.0379,245006.04,,
ARMon,Arm Holdings plc (Ondo Tokenized),Stock,ADR,1938.970952,114.77,222535.6961,222535.7,,
GRABon,Grab Holdings (Ondo Tokenized),Stock,Common Stock,47500.79417,4.552012,216224.1851,216224.19,,
RIVNon,Rivian Automotive (Ondo Tokenized),Stock,Common Stock,13418.15859,15.742,211228.6525,211228.65,,
HOODon,Robinhood Markets (Ondo Tokenized),Stock,Common Stock,1682.688618,107.01875,180079.2325,180079.23,,
REMXon,VanEck Rare Earth and Strategic Metals ETF (Ondo Tokenized),ETF,Commodity ETF,1820.373915,96.912368,176416.7467,176416.75,,
MARAon,MARA Holdings (Ondo Tokenized),Stock,Common Stock,17320.04493,10.031875,173752.5257,173752.53,,
NIKLon,Sprott Nickel Miners ETF (Ondo Tokenized),ETF,Commodity ETF,7871.002277,20.526667,161565.4427,161565.44,,
IRENon,IREN (Ondo Tokenized),Stock,Common Stock,2970.285471,53.177692,157952.9259,157952.93,,
IVVon,iShares Core S&P 500 ETF (Ondo Tokenized),ETF,Equity ETF,170.6940704,699.0363513,119321.3602,119321.36,,
XOMon,Exxon Mobil (Ondo Tokenized),Stock,Common Stock,868.4702114,134.93375,117185.9424,117185.94,,
JDon,JD.com (Ondo Tokenized),Stock,ADR,3749.536738,29.751613,111554.766,111554.77,,
BILIon,Bilibili (Ondo Tokenized),Stock,ADR,3210.451807,33.448,107383.192,107383.19,,
MPon,MP Materials (Ondo Tokenized),Stock,Common Stock,1648.327944,63.58,104800.6907,104800.69,,
ASMLon,ASML Holding NV (Ondo Tokenized),Stock,ADR,71.73033064,1416.441002,101601.7814,101601.78,,
CPNGon,Coupang (Ondo Tokenized),Stock,Common Stock,5130.445643,19.441667,99744.41575,99744.42,,
QCOMon,Qualcomm (Ondo Tokenized),Stock,Common Stock,614.6661277,156.2021615,96012.17775,96012.18,,
VRTon,Vertiv (Ondo Tokenized),Stock,Common Stock,490.7117777,181.381667,89006.12025,89006.12,,
PLTRon,Palantir Technologies (Ondo Tokenized),Stock,Common Stock,530.4787913,167.643333,88931.23267,88931.23,,
LLYon,Eli Lilly (Ondo Tokenized),Stock,Common Stock,77.86326851,1062.092201,82697.97019,82697.97,,
RDDTon,Reddit (Ondo Tokenized),Stock,Common Stock,352.7825023,213.455,75303.18904,75303.19,,
CATon,Caterpillar (Ondo Tokenized),Stock,Common Stock,117.1099275,637.1873029,74620.95885,74620.96,,
USOon,United States Oil Fund (Ondo Tokenized),ETF,Commodity ETF,1007.24934,73.515882,74048.82359,74048.82,,
JPMon,JPMorgan Chase (Ondo Tokenized),Stock,Common Stock,233.0566504,302.7740287,70563.50095,70563.5,,
LMTon,Lockheed (Ondo Tokenized),Stock,Common Stock,114.3591556,586.776417,67103.25559,67103.26,,
QBTSon,D-Wave Quantum (Ondo Tokenized),Stock,Common Stock,2653.353542,24.045,63799.88591,63799.89,,
IWMon,iShares Russell 2000 ETF (Ondo Tokenized),ETF,Equity ETF,234.2131765,264.9979701,62066.01633,62066.02,,
OXYon,Occidental Petroleum (Ondo Tokenized),Stock,Common Stock,1405.430845,43.9825,61814.36214,61814.36,,
SQQQon,ProShares UltraPro Short QQQ (Ondo Tokenized),ETF,Equity ETF,924.2032464,64.729167,59822.90628,59822.91,,
PYPLon,PayPal (Ondo Tokenized),Stock,Common Stock,1030.349658,56.71138274,58432.5538,58432.55,,
PANWon,Palo Alto Networks (Ondo Tokenized),Stock,Common Stock,314.7100397,184.4325,58042.75939,58042.76,,
NKEon,Nike (Ondo Tokenized),Stock,Common Stock,880.7262351,65.82200109,57971.1632,57971.16,,
SMCIon,Super Micro Computer (Ondo Tokenized),Stock,Common Stock,1659.609459,30.7875,51095.22622,51095.23,,
EEMon,iShares MSCI Emerging Markets ETF (Ondo Tokenized),ETF,Equity ETF,841.4577205,59.64426634,50188.1284,50188.13,,
BLKon,"Blackrock, Inc. (Ondo Tokenized)",Stock,Common Stock,42.92787926,1136.58119,48791.02009,48791.02,,
ABBVon,AbbVie (Ondo Tokenized),Stock,Common Stock,214.0900902,221.5350221,47428.45287,47428.45,,
GSon,Goldman Sachs (Ondo Tokenized),Stock,Common Stock,50.05281524,932.9419224,46696.36967,46696.37,,
AMGNon,Amgen (Ondo Tokenized),Stock,Common Stock,127.5348824,349.34,44553.03583,44553.04,,
UBERon,Uber (Ondo Tokenized),Stock,Common Stock,535.5837006,82.18,44014.26851,44014.27,,
TMUSon,T-Mobile US (Ondo Tokenized),Stock,Common Stock,233.2342197,188.175,43888.84929,43888.85,,
MRVLon,Marvell Technology (Ondo Tokenized),Stock,Common Stock,514.8113768,81.89251642,42159.19913,42159.2,,
