symbol,name,supply,price,aum,aum2
TSLAx,Tesla xStock,124458.4544,435.40051,54189274.52,54189274.52
CRCLx,Circle xStock,322487.2972,70.90701,22866610.01,22866610.01
NVDAx,NVIDIA xStock,106696.2548,186.405,19888715.37,19888715.37
GOOGLx,Alphabet xStock,48129.75293,333.29049,16041188.94,16041188.94
MSTRx,MicroStrategy xStock,95599.35302,160.56051,15349480.88,15349480.88
SPYx,SP500 xStock,22077.93396,692.78292,15295215.56,15295215.56
QQQx,Nasdaq xStock,21652.05228,625.55583,13544567.53,13544567.53
GLDx,Gold xStock,16933.0412,464.64553,7867861.905,7867861.905
COINx,Coinbase xStock,29013.57072,213.49044,6194119.979,6194119.979
AAPLx,Apple xStock,18112.89837,255.50002,4627845.895,4627845.895
HOODx,Robinhood xStock,38490.84267,107.01725,4119184.133,4119184.133
METAx,Meta xStock,5685.727718,672.354,3822821.774,3822821.774
AMZNx,Amazon.com xStock,13962.24252,238.516,3330218.237,3330218.237
MSFTx,Microsoft xStock,3721.240853,470.30943,1750134.664,1750134.664
TQQQx,TQQQ xStock,29382.53784,55.12734,1619781.154,1619781.154
VTx,Vanguard Total World xStock,9311.286585,145.85337,1358082.528,1358082.528
STRCx,Strategy PP Variable xStock,11732.76294,99.05,1162130.169,1162130.169
INTCx,Intel xStock,27005.03354,42.495,1147578.9,1147578.9
VTIx,Vanguard xStock,3343.822954,342.07,1143821.518,1143821.518
ORCLx,Oracle xStock,5703.734944,182.42999,1040532.309,1040532.309
PLTRx,Palantir xStock,6042.882402,167.48274,1012078.502,1012078.502
NVOx,Novo Nordisk xStock,15003.23593,63.975,959832.0187,959832.0187
DFDVx,DFDV xStock,147973.9544,5.76,852329.9773,852329.9773
NFLXx,Netflix xStock,9200.188258,85.76099,789017.2532,789017.2532
AVGOx,Broadcom xStock,2305.255925,324.99504,749196.7414,749196.7414
MCDx,McDonald's xStock,2303.731684,312.91512,720872.4765,720872.4765
GMEx,Gamestop xStock,28420.66844,24.00863,682341.3129,682341.3129
PFEx,Pfizer xStock,25644.98672,25.87684,663611.2183,663611.2183
UNHx,UnitedHealth xStock,1876.477728,351.61199,659792.0683,659792.0683
BRK.Bx,Berkshire Hathaway xStock,1326.827895,483.79,641906.0675,641906.0675
PGx,Procter & Gamble xStock,3118.444982,149.50402,466220.061,466220.061
XOMx,Exxon Mobil xStock,3357.704092,134.86,452819.9739,452819.9739
AMBRx,Amber xStock,178824.4857,2.49,445272.9695,445272.9695
LLYx,Eli Lilly xStock,381.7735826,1062.65,405691.6976,405691.6976
APPx,AppLovin xStock,752.8007097,535.6,403200.0601,403200.0601
GSx,Goldman Sachs xStock,428.4518737,931.53488,399117.8648,399117.8648
KOx,Coca-Cola xStock,5486.695554,72.57506,398197.259,398197.259
CVXx,Chevron xStock,2362.566578,167.44975,395611.1829,395611.1829
Vx,Visa xStock,1026.286158,328.53989,337175.9416,337175.9416
JPMx,JPMorgan Chase xStock,1068.549149,301.00402,321637.5894,321637.5894
PEPx,PepsiCo xStock,2190.669891,145.85598,319522.3038,319522.3038
CMCSAx,Comcast xStock,10642.43824,29.45,313419.8061,313419.8061
JNJx,Johnson & Johnson xStock,1369.350836,221.465,303263.283,303263.283
BACx,Bank of America xStock,5717.566211,52.028,297473.5348,297473.5348
PMx,Philip Morris xStock,1688.224436,175.785,296764.5325,296764.5325
LINx,Linde xStock,647.1562905,455.06387,294497.446,294497.446
MRVLx,Marvell xStock,3590.79013,81.78019,293655.4991,293655.4991
ABBVx,AbbVie xStock,1329.846904,220.66011,293444.164,293444.164
IBMx,International Business Machines xStock,983.0765299,296.245,291231.5066,291231.5066
HONx,Honeywell xStock,1316.250492,221.16359,291106.6842,291106.6842
CSCOx,Cisco xStock,3765.003507,77.02407,289995.8937,289995.8937
MRKx,Merck xStock,2624.453057,107.37,281787.5247,281787.5247
OPENx,OPEN xStock,47796.22946,5.85503,279848.3574,279848.3574
ACNx,Accenture xStock,989.9211445,280.715,277885.7141,277885.7141
CRMx,Salesforce xStock,1171.619776,229.39011,268757.9892,268757.9892
DHRx,Danaher xStock,1086.623828,236.99877,257528.5107,257528.5107
CRWDx,CrowdStrike xStock,549.4874089,468.32,257335.9433,257335.9433
WMTx,Walmart xStock,2090.889007,117.67796,246051.5529,246051.5529
TONXx,TON xStock,89360.07557,2.66001,237698.6946,237698.6946
TMOx,Thermo Fisher xStock,346.5415582,626.62,217149.8712,217149.8712
ABTx,Abbott xStock,1839.592978,108.7725,200097.1272,200097.1272
MAx,Mastercard xStock,368.3360662,527.265,194210.716,194210.716
AZNx,AstraZeneca xStock,2001.707234,94.24499,188650.8783,188650.8783
HDx,Home Depot xStock,413.4107197,386.51505,159789.465,159789.465
MDTx,Medtronic xStock,1551.055459,100.7,156191.2847,156191.2847
AMDx,AMD xStock,608.3831112,251.24,152850.1729,152850.1729
IEMGx,Core MSCI Emerging Markets xStock,1816.658968,72.61757,131921.3598,131921.3598
SCHFx,Schwab International Equity xStock,4004.252712,25.41337,101761.5557,101761.5557
IJRx,S&P Small Cap xStock,790.2901273,128.12615,101256.8314,101256.8314
IWMx,Russell 2000 xStock,383.1018645,263.96955,101127.2268,101127.2268
TBLLx,TBLL xStock,947.5912552,105.555,100022.9949,100022.9949
BMNRx,Bitmine xStock,3536.252011,27.71191,97996.29748,97996.29748
BTBTx,Bit Digital xStock,44385.47056,2.08494,92541.04298,92541.04298
STRKx,Strategy PP Fixed xStock,0.13474873,84.50161,11.38648463,11.38648463
