day,symbol,name,day,total_aum_usd
6/10/2025,AAPLx,Apple xStock,45818,0
6/11/2025,AAPLx,Apple xStock,45819,0
6/12/2025,GMEx,Gamestop xStock,45820,0
6/12/2025,MDTx,Medtronic xStock,45820,0
6/12/2025,ABBVx,AbbVie xStock,45820,0
6/12/2025,PEPx,PepsiCo xStock,45820,0
6/12/2025,UNHx,UnitedHealth xStock,45820,0
6/12/2025,BRK.Bx,Berkshire Hathaway xStock,45820,0
6/12/2025,LINx,Linde xStock,45820,0
6/12/2025,AZNx,AstraZeneca xStock,45820,0
6/12/2025,LLYx,Eli Lilly xStock,45820,0
6/12/2025,AAPLx,Apple xStock,45820,0
6/12/2025,PGx,Procter & Gamble xStock,45820,0
6/12/2025,MCDx,McDonald's xStock,45820,0
6/12/2025,IBMx,International Business Machines xStock,45820,0
6/12/2025,CRCLx,Circle xStock,45820,0
6/12/2025,AVGOx,Broadcom xStock,45820,0
6/12/2025,TSLAx,Tesla xStock,45820,0
6/12/2025,ABTx,Abbott xStock,45820,0
6/12/2025,VTIx,Vanguard xStock,45820,0
6/12/2025,HONx,Honeywell xStock,45820,0
6/12/2025,Vx,Visa xStock,45820,0
6/12/2025,NVOx,Novo Nordisk xStock,45820,0
6/12/2025,SPYx,SP500 xStock,45820,0
6/12/2025,CMCSAx,Comcast xStock,45820,0
6/12/2025,GLDx,Gold xStock,45820,0
6/12/2025,HOODx,Robinhood xStock,45820,0
6/12/2025,CSCOx,Cisco xStock,45820,0
6/12/2025,NVDAx,NVIDIA xStock,45820,0
6/12/2025,NFLXx,Netflix xStock,45820,0
6/12/2025,GSx,Goldman Sachs xStock,45820,0
6/12/2025,MSTRx,MicroStrategy xStock,45820,0
6/12/2025,PMx,Philip Morris xStock,45820,0
6/12/2025,BACx,Bank of America xStock,45820,0
6/12/2025,MRVLx,Marvell xStock,45820,0
6/12/2025,ACNx,Accenture xStock,45820,0
6/12/2025,METAx,Meta xStock,45820,0
6/12/2025,JPMx,JPMorgan Chase xStock,45820,0
6/12/2025,KOx,Coca-Cola xStock,45820,0
6/12/2025,APPx,AppLovin xStock,45820,0
6/12/2025,QQQx,Nasdaq xStock,45820,0
6/12/2025,PLTRx,Palantir xStock,45820,0
6/12/2025,COINx,Coinbase xStock,45820,0
6/12/2025,PFEx,Pfizer xStock,45820,0
6/12/2025,MSFTx,Microsoft xStock,45820,0
6/12/2025,MRKx,Merck xStock,45820,0
6/12/2025,CVXx,Chevron xStock,45820,0
6/12/2025,XOMx,Exxon Mobil xStock,45820,0
6/12/2025,MAx,Mastercard xStock,45820,0
6/12/2025,CRMx,Salesforce xStock,45820,0
6/12/2025,HDx,Home Depot xStock,45820,0
6/12/2025,GOOGLx,Alphabet xStock,45820,0
6/12/2025,JNJx,Johnson & Johnson xStock,45820,0
6/12/2025,CRWDx,CrowdStrike xStock,45820,0
6/12/2025,AMBRx,Amber xStock,45820,0
6/12/2025,WMTx,Walmart xStock,45820,0
6/12/2025,INTCx,Intel xStock,45820,0
6/12/2025,ORCLx,Oracle xStock,45820,0
6/12/2025,TQQQx,TQQQ xStock,45820,0
6/12/2025,TMOx,Thermo Fisher xStock,45820,0
6/12/2025,DHRx,Danaher xStock,45820,0
6/12/2025,AMZNx,Amazon.com xStock,45820,0
6/13/2025,UNHx,UnitedHealth xStock,45821,167.1737132
6/13/2025,LINx,Linde xStock,45821,0
6/13/2025,ACNx,Accenture xStock,45821,0
6/13/2025,CSCOx,Cisco xStock,45821,0
6/13/2025,PMx,Philip Morris xStock,45821,0
6/13/2025,AMBRx,Amber xStock,45821,0
6/13/2025,MRKx,Merck xStock,45821,0
6/13/2025,MCDx,McDonald's xStock,45821,0
6/13/2025,JPMx,JPMorgan Chase xStock,45821,0
6/13/2025,TSLAx,Tesla xStock,45821,0
6/13/2025,TQQQx,TQQQ xStock,45821,0
6/13/2025,QQQx,Nasdaq xStock,45821,0
6/13/2025,TMOx,Thermo Fisher xStock,45821,0
6/13/2025,MAx,Mastercard xStock,45821,0
6/13/2025,KOx,Coca-Cola xStock,45821,0
6/13/2025,MSFTx,Microsoft xStock,45821,0
6/13/2025,CVXx,Chevron xStock,45821,0
6/13/2025,NVDAx,NVIDIA xStock,45821,0
6/13/2025,APPx,AppLovin xStock,45821,0
6/13/2025,AAPLx,Apple xStock,45821,0
6/13/2025,DHRx,Danaher xStock,45821,0
6/13/2025,AVGOx,Broadcom xStock,45821,0
6/13/2025,ORCLx,Oracle xStock,45821,0
6/13/2025,BACx,Bank of America xStock,45821,0
6/13/2025,GMEx,Gamestop xStock,45821,0
6/13/2025,ABTx,Abbott xStock,45821,0
6/13/2025,COINx,Coinbase xStock,45821,0
6/13/2025,XOMx,Exxon Mobil xStock,45821,0
6/13/2025,CMCSAx,Comcast xStock,45821,0
6/13/2025,GLDx,Gold xStock,45821,0
6/13/2025,ABBVx,AbbVie xStock,45821,0
6/13/2025,AZNx,AstraZeneca xStock,45821,0
6/13/2025,CRCLx,Circle xStock,45821,0
6/13/2025,NFLXx,Netflix xStock,45821,0
6/13/2025,SPYx,SP500 xStock,45821,0
6/13/2025,CRMx,Salesforce xStock,45821,0
6/13/2025,MSTRx,MicroStrategy xStock,45821,0
6/13/2025,PFEx,Pfizer xStock,45821,0
6/13/2025,PGx,Procter & Gamble xStock,45821,0
6/13/2025,MRVLx,Marvell xStock,45821,0
6/13/2025,HDx,Home Depot xStock,45821,0
6/13/2025,HOODx,Robinhood xStock,45821,0
6/13/2025,LLYx,Eli Lilly xStock,45821,0
6/13/2025,BRK.Bx,Berkshire Hathaway xStock,45821,0
6/13/2025,JNJx,Johnson & Johnson xStock,45821,0
6/13/2025,AMZNx,Amazon.com xStock,45821,0
6/13/2025,MDTx,Medtronic xStock,45821,0
6/13/2025,HONx,Honeywell xStock,45821,0
6/13/2025,INTCx,Intel xStock,45821,0
6/13/2025,METAx,Meta xStock,45821,0
6/13/2025,CRWDx,CrowdStrike xStock,45821,0
6/13/2025,PEPx,PepsiCo xStock,45821,0
