ts_ms,o,h,l,c,vol
1764176635000,3.4399695762612e-05,3.4399792150713e-05,3.4399695762612e-05,3.4399792150713e-05,393.646768
1764180432000,3.4399792150713e-05,3.4897208823421e-05,3.4399792150713e-05,3.4897208823421e-05,236819.81353
1764180638000,3.4897208823421e-05,3.4920038640225e-05,3.4897208823421e-05,3.4920038640225e-05,117403.422558
1764181069000,3.4920038640225e-05,3.6352240992361e-05,3.4920038640225e-05,3.6352240992361e-05,3888963.797579
1764181150000,3.6352240992361e-05,3.8508505568522e-05,3.6352240992361e-05,3.8508505568522e-05,7585060.296981
1764181152000,3.8508505568522e-05,3.8508505568522e-05,3.8500957186308e-05,3.8500957186308e-05,29423.49337
1764181156000,3.8500957186308e-05,3.8500957186308e-05,3.8500608230651e-05,3.8500608230651e-05,10537.968597
1764181179000,3.8500608230651e-05,4.0611910342226e-05,3.8500608230651e-05,4.059617715995e-05,7236009.919031
1764181180000,4.059617715995e-05,4.059617715995e-05,4.059186533616e-05,4.059186533616e-05,21174.985836
1764181306000,4.059186533616e-05,4.1612065296498e-05,4.059186533616e-05,4.1612065296498e-05,3368799.323226
1764181327000,4.1612065296498e-05,4.270311768106e-05,4.1612065296498e-05,4.270311768106e-05,3350633.652386
1764181328000,4.270311768106e-05,4.270311768106e-05,4.27029720049e-05,4.27029720049e-05,55235.564619
1764181331000,4.27029720049e-05,4.27029720049e-05,4.2691165534714e-05,4.2691165534714e-05,15535.533285
1764181565000,4.2691165534714e-05,4.3674925796834e-05,4.2691165534714e-05,4.3674925796834e-05,1610887.716933
1764182634000,4.3674925796834e-05,4.3674925796834e-05,4.284628814208e-05,4.284628814208e-05,2641453.196227
1764182762000,4.284628814208e-05,4.2877417559652e-05,4.284628814208e-05,4.2877417559652e-05,18851.022695
1764182796000,4.2877417559652e-05,4.2903538484516e-05,4.2877417559652e-05,4.2903538484516e-05,48132.976055
1764182841000,4.2903538484516e-05,4.2903538484516e-05,4.0542771904364e-05,4.0542771904364e-05,7621101.926587
1764185990000,4.0542771904364e-05,4.0542771904364e-05,4.026081341222e-05,4.026081341222e-05,14515.006716
1764186099000,4.026081341222e-05,4.0807168321916e-05,4.026081341222e-05,4.0807168321916e-05,16318.543583
1764186114000,4.0807168321916e-05,4.080999667231e-05,4.0807168321916e-05,4.080999667231e-05,1631.738432
1764186119000,4.080999667231e-05,4.0810499632301e-05,4.080999667231e-05,4.0810499632301e-05,1631.718322
1764186125000,4.0810499632301e-05,4.0811002579679e-05,4.0810499632301e-05,4.0811002579679e-05,1631.698213
1764186151000,4.0811002579679e-05,4.0839723247999e-05,4.0811002579679e-05,4.0839723247999e-05,1642.165253
1764186155000,4.0839723247999e-05,4.0840229770079e-05,4.0839723247999e-05,4.0840229770079e-05,1642.144886
1764186160000,4.0840229770079e-05,4.0840736304724e-05,4.0840229770079e-05,4.0840736304724e-05,1642.124519
1764186169000,4.0840736304724e-05,4.0841242851933e-05,4.0840736304724e-05,4.0841242851933e-05,1642.104152
1764190041000,4.0841242851933e-05,4.0841242851933e-05,3.9342359315375e-05,3.9342359315375e-05,3368799.323226
1764190042000,3.9342359315375e-05,3.9356854650043e-05,3.9342359315375e-05,3.9356854650043e-05,61058.666276
1764190669000,3.9356854650043e-05,3.9356854650043e-05,3.8880366652888e-05,3.8880366652888e-05,257461.952972
1764191791000,3.8880366652888e-05,3.9393822073241e-05,3.8880366652888e-05,3.9393822073241e-05,7476.134823
1764191792000,3.9393822073241e-05,3.9395258965225e-05,3.9393822073241e-05,3.9395258965225e-05,6047.184414
1764192043000,3.9395258965225e-05,3.9395258965225e-05,3.9333527922039e-05,3.9333527922039e-05,4542.528127
1764192052000,3.9333527922039e-05,3.9335208135576e-05,3.9333527922039e-05,3.9335208135576e-05,7120.450555
1764193297000,3.9335208135576e-05,3.9753680927629e-05,3.9335208135576e-05,3.9753680927629e-05,885199.167816
1764193538000,3.9753680927629e-05,4.0421968673731e-05,3.9753680927629e-05,4.0421968673731e-05,3514754.412472
1764193616000,4.0421968673731e-05,4.1495653669817e-05,4.0421968673731e-05,4.1495653669817e-05,3423573.568918
1764193780000,4.1495653669817e-05,4.1546855684528e-05,4.1495653669817e-05,4.1546855684528e-05,4215.468699
1764193781000,4.1546855684528e-05,4.1546855684528e-05,4.1543614638496e-05,4.1543614638496e-05,16399.646109
1764193796000,4.1543614638496e-05,4.1543614638496e-05,4.1533443881603e-05,4.1533443881603e-05,47435.872152
1764193887000,4.1533443881603e-05,4.2312191392435e-05,4.1533443881603e-05,4.2312191392435e-05,1517666.871255
1764194108000,4.2312191392435e-05,4.269057644294e-05,4.2312191392435e-05,4.269057644294e-05,666441.938431
1764194187000,4.269057644294e-05,4.3021923137407e-05,4.269057644294e-05,4.3021923137407e-05,2095703.332155
1764194204000,4.3021923137407e-05,4.3716961920402e-05,4.3021923137407e-05,4.3716961920402e-05,2012469.47658
1764194219000,4.3716961920402e-05,4.3716961920402e-05,4.3502207545689e-05,4.3502207545689e-05,7291.170271
1764194223000,4.3502207545689e-05,4.3502207545689e-05,4.3492452633904e-05,4.3492452633904e-05,49904.97615
1764194301000,4.3492452633904e-05,4.4027211538576e-05,4.3492452633904e-05,4.4027211538576e-05,244193.770501
1764194537000,4.4027211538576e-05,4.4027211538576e-05,4.2916635861556e-05,4.2916635861556e-05,3423573.568918
1764194544000,4.2916635861556e-05,4.2916635861556e-05,4.1162982703376e-05,4.1162982703376e-05,7403718.210051
1764194550000,4.1162982703376e-05,4.1162982703376e-05,4.053571730827e-05,4.053571730827e-05,53145.834231
1764195158000,4.053571730827e-05,4.1294487560653e-05,4.053571730827e-05,4.1294487560653e-05,4126580.96829
1764195212000,4.1294487560653e-05,4.2221554097921e-05,4.1294487560653e-05,4.2221554097921e-05,1689141.017305
1764195484000,4.2221554097921e-05,4.2717894094945e-05,4.2221554097921e-05,4.2717894094945e-05,1645031.32141
1764196285000,4.2717894094945e-05,4.2717894094945e-05,4.228642262819e-05,4.228642262819e-05,354282.854833
1764196286000,4.228642262819e-05,4.228642262819e-05,4.1563018147387e-05,4.1563018147387e-05,4126580.96829
1764197207000,4.1563018147387e-05,4.1563018147387e-05,4.1331015119266e-05,4.1331015119266e-05,40529.030504
1764197980000,4.1331015119266e-05,4.1894818195771e-05,4.1331015119266e-05,4.1894818195771e-05,3339760.15734
1764198597000,4.1894818195771e-05,4.2837830361684e-05,4.1894818195771e-05,4.2837830361684e-05,2012815.827515
1764199477000,4.2837830361684e-05,4.3325496171429e-05,4.2837830361684e-05,4.3325496171429e-05,1039623.012735
1764199867000,4.3325496171429e-05,4.3335049844362e-05,4.3325496171429e-05,4.3335049844362e-05,1544.580813
1764199872000,4.3335049844362e-05,4.333557388418e-05,4.3335049844362e-05,4.333557388418e-05,1544.562135
1764199879000,4.333557388418e-05,4.333557388418e-05,4.3305722848751e-05,4.3305722848751e-05,1544.543458
1764199903000,4.3305722848751e-05,4.3306303147319e-05,4.3305722848751e-05,4.3306303147319e-05,1551.024719
1764199907000,4.3306303147319e-05,4.3306829019543e-05,4.3306303147319e-05,4.3306829019543e-05,1551.005885
1764200006000,4.3306829019543e-05,4.3306829019543e-05,4.2779146987247e-05,4.2779146987247e-05,11655.787779
1764200332000,4.2779146987247e-05,4.2779146987247e-05,4.2743378034221e-05,4.2743378034221e-05,4676.409813
1764200333000,4.2743378034221e-05,4.2743378034221e-05,4.2741051309906e-05,4.2741051309906e-05,9423.573184
1764200514000,4.2741051309906e-05,4.2787931051147e-05,4.2741051309906e-05,4.2787931051147e-05,15160.623898
1764201319000,4.2787931051147e-05,4.3433578791712e-05,4.2787931051147e-05,4.3433578791712e-05,129408.799027
1764202163000,4.3433578791712e-05,4.3594464416146e-05,4.3433578791712e-05,4.3594464416146e-05,1721784.884897
1764203097000,4.3594464416146e-05,4.3594464416146e-05,4.340622414675e-05,4.340622414675e-05,52734.389559
1764203598000,4.340622414675e-05,4.3958238848042e-05,4.340622414675e-05,4.3958238848042e-05,87880.161919
1764204706000,4.3958238848042e-05,4.4182481430618e-05,4.3958238848042e-05,4.4182481430618e-05,32135.224237
1764205392000,4.4182481430618e-05,4.4182481430618e-05,4.4082836853436e-05,4.4082836853436e-05,15217.866731
1764205397000,4.4082836853436e-05,4.4122044495675e-05,4.4082836853436e-05,4.4122044495675e-05,15216.040328
1764205411000,4.4122044495675e-05,4.4127340209074e-05,4.4122044495675e-05,4.4127340209074e-05,15214.214254
1764205422000,4.4127340209074e-05,4.4156458470223e-05,4.4127340209074e-05,4.4156458470223e-05,152041.788943
1764206865000,4.4156458470223e-05,4.4156458470223e-05,4.3357278135001e-05,4.3357278135001e-05,30446.805216
1764206911000,4.3357278135001e-05,4.3420520462666e-05,4.3357278135001e-05,4.3420520462666e-05,11563.265179
1764207271000,4.3420520462666e-05,4.3420520462666e-05,4.3315818233966e-05,4.3315818233966e-05,12574.939221
1764209138000,4.3315818233966e-05,4.3536129282949e-05,4.3315818233966e-05,4.3536129282949e-05,35415.908373
1764211032000,4.3536129282949e-05,4.3536129282949e-05,4.2178196621443e-05,4.2178196621443e-05,9314907.598686
1764211275000,4.2178196621443e-05,4.2178196621443e-05,4.1270826080538e-05,4.1270826080538e-05,5567.198052
1764212513000,4.1270826080538e-05,4.1270826080538e-05,4.0504912589115e-05,4.0504912589115e-05,269262.002871
1764213371000,4.0504912589115e-05,4.0504912589115e-05,4.0487622763053e-05,4.0487622763053e-05,339235.990901
1764213667000,4.0487622763053e-05,4.1049386287585e-05,4.0487622763053e-05,4.1049386287585e-05,52221.818122
1764214289000,4.1049386287585e-05,4.1049386287585e-05,3.9323349238838e-05,3.9323349238838e-05,7026610.471975
1764214290000,3.9323349238838e-05,3.9323349238838e-05,3.8207487156342e-05,3.8207487156342e-05,666441.938431
1764214292000,3.8207487156342e-05,3.8609551518247e-05,3.8207487156342e-05,3.8609551518247e-05,40783.443338
1764214302000,3.8609551518247e-05,3.8616526748971e-05,3.8609551518247e-05,3.8616526748971e-05,8118.054557
1764214416000,3.8616526748971e-05,3.8616526748971e-05,3.8522498732494e-05,3.8529165353531e-05,46902.955768
1764215652000,3.8529165353531e-05,3.8862111056356e-05,3.8529165353531e-05,3.8862111056356e-05,2533720.942332
1764216633000,3.8862111056356e-05,3.9672250205743e-05,3.8862111056356e-05,3.9672250205743e-05,2887300.502587
1764217603000,3.9672250205743e-05,4.0235409640324e-05,3.9672250205743e-05,4.0235409640324e-05,590829.250699
1764221754000,4.0235409640324e-05,4.0235409640324e-05,3.9106943769933e-05,3.9106943769933e-05,5200000.0
1764221936000,3.9106943769933e-05,3.9106943769933e-05,3.7597474149934e-05,3.7597474149934e-05,4995000.0
1764222537000,3.7597474149934e-05,3.7597474149934e-05,3.7372820732491e-05,3.7372820732491e-05,48412.339905
1764223797000,3.7372820732491e-05,3.7372820732491e-05,3.6698352005622e-05,3.6698352005622e-05,2497500.0
1764225481000,3.6698352005622e-05,3.6698352005622e-05,3.6156605327091e-05,3.6296607833368e-05,2547208.006541
1764225728000,3.6296607833368e-05,3.6302931184411e-05,3.6296607833368e-05,3.6302931184411e-05,14766.440638
1764226399000,3.6302931184411e-05,3.6302931184411e-05,3.5625845052729e-05,3.5893452564059e-05,1540376.795563
1764227403000,3.5893452564059e-05,3.5956106617647e-05,3.5893452564059e-05,3.5956106617647e-05,25140.217337
1764229541000,3.5956106617647e-05,3.5956106617647e-05,3.546208493015e-05,3.546208493015e-05,244193.770501
1764229757000,3.546208493015e-05,3.546208493015e-05,3.514208403771e-05,3.514208403771e-05,2497500.0
1764229948000,3.514208403771e-05,3.5322108793419e-05,3.514208403771e-05,3.5322108793419e-05,11673.87596
1764230337000,3.5322108793419e-05,3.5322108793419e-05,3.4730013115668e-05,3.4730013115668e-05,651702.801157
1764230431000,3.4730013115668e-05,3.5114449670402e-05,3.4730013115668e-05,3.5114449670402e-05,29893.768456
1764231182000,3.5114449670402e-05,3.5114449670402e-05,3.5032158391578e-05,3.5032158391578e-05,54785.286314
1764231639000,3.5032158391578e-05,3.5032158391578e-05,3.4130665917758e-05,3.4271667263913e-05,2518138.22118
1764231701000,3.4271667263913e-05,3.4271929864901e-05,3.4271667263913e-05,3.4271929864901e-05,21848.323538
1764233782000,3.4271929864901e-05,3.4543235785814e-05,3.4271929864901e-05,3.4543235785814e-05,2854159.86958
1764235837000,3.4543235785814e-05,3.4838425858074e-05,3.4543235785814e-05,3.4838425858074e-05,19715.73305
1764235838000,3.4838425858074e-05,3.4843999014871e-05,3.4838425858074e-05,3.4843999014871e-05,25797.043632
1764236001000,3.4843999014871e-05,3.6600245150901e-05,3.4843999014871e-05,3.6600245150901e-05,12517305.920871
1764236004000,3.6600245150901e-05,3.7794679893447e-05,3.6600245150901e-05,3.7794679893447e-05,34754.277074
1764236006000,3.7794679893447e-05,3.7794679893447e-05,3.7782165935449e-05,3.7782165935449e-05,55343.750762
1764237077000,3.7782165935449e-05,3.7782165935449e-05,3.7475372326126e-05,3.7475372326126e-05,1498500.0
1764237719000,3.7475372326126e-05,3.7475372326126e-05,3.7101496417329e-05,3.7101496417329e-05,7323.03602
1764237767000,3.7101496417329e-05,3.7101496417329e-05,3.6965512350811e-05,3.6965512350811e-05,999000.0
1764237846000,3.6965512350811e-05,3.6965512350811e-05,3.6756647992016e-05,3.6756647992016e-05,496972.707872
1764240510000,3.6756647992016e-05,3.6756647992016e-05,3.6564693787858e-05,3.6564693787858e-05,1352924.284226
1764240885000,3.6564693787858e-05,3.6564693787858e-05,3.6061932010661e-05,3.6061932010661e-05,2854159.86958
1764240914000,3.6061932010661e-05,3.6158237630328e-05,3.6061932010661e-05,3.6158237630328e-05,5819.913633
1764241534000,3.6158237630328e-05,3.6231762350878e-05,3.6158237630328e-05,3.6231762350878e-05,384464.059388
1764242497000,3.6231762350878e-05,3.6231762350878e-05,3.6210844507922e-05,3.6212911866619e-05,11923.267234
1764242498000,3.6212911866619e-05,3.6214494715432e-05,3.6212911866619e-05,3.6214494715432e-05,8365.762058
1764243393000,3.6214494715432e-05,3.6214494715432e-05,3.5523434292614e-05,3.5523434292614e-05,1645031.32141
1764244774000,3.5523434292614e-05,3.582415551808e-05,3.5523434292614e-05,3.582415551808e-05,15210.600815
1764244775000,3.582415551808e-05,3.5827136558374e-05,3.582415551808e-05,3.5827136558374e-05,8016.416791
1764249111000,3.5827136558374e-05,3.5827136558374e-05,3.5133907990997e-05,3.5133907990997e-05,181000.44
1764249743000,3.5133907990997e-05,3.5700854920436e-05,3.5133907990997e-05,3.5700854920436e-05,1540201.989506
1764251156000,3.5700854920436e-05,3.609331577863e-05,3.5700854920436e-05,3.609331577863e-05,1529969.684679
1764252406000,3.609331577863e-05,3.609331577863e-05,3.5091719374689e-05,3.5091719374689e-05,6252394.307476
1764252712000,3.5091719374689e-05,3.5091719374689e-05,3.4750895229419e-05,3.4755163814762e-05,34947.094583
1764252901000,3.4755163814762e-05,3.4755163814762e-05,3.4738522111932e-05,3.4738522111932e-05,16087.429251
1764254430000,3.4738522111932e-05,3.4738522111932e-05,3.4232688763574e-05,3.4579001998527e-05,818050.304292
1764255473000,3.4579001998527e-05,3.4663670280447e-05,3.4579001998527e-05,3.4663670280447e-05,450213.356736
1764255796000,3.4663670280447e-05,3.4663670280447e-05,2.9881039220343e-05,2.9881039220343e-05,22496174.377637
1764255829000,2.9881039220343e-05,2.9881039220343e-05,2.9368156285761e-05,2.9368156285761e-05,1998000.0
1764255830000,2.9368156285761e-05,2.9555580307977e-05,2.9368156285761e-05,2.9555580307977e-05,27844.207631
1764255839000,2.9555580307977e-05,2.9718351349365e-05,2.9555580307977e-05,2.9718351349365e-05,1658917.69123
1764256510000,2.9718351349365e-05,2.9718351349365e-05,2.9358285001101e-05,2.9358285001101e-05,999000.0
1764256601000,2.9358285001101e-05,2.9358285001101e-05,2.8498995792532e-05,2.8498995792532e-05,6291009.371855
1764256827000,2.8498995792532e-05,2.8498995792532e-05,2.8121557106827e-05,2.8121557106827e-05,694482.618477
1764257625000,2.8121557106827e-05,2.8518038578255e-05,2.8121557106827e-05,2.8518038578255e-05,1077076.655788
1764257955000,2.8518038578255e-05,2.8719033645973e-05,2.8518038578255e-05,2.8719033645973e-05,85252.206279
1764258012000,2.8719033645973e-05,2.8726441206572e-05,2.8719033645973e-05,2.8726441206572e-05,171869.012196
1764258021000,2.8726441206572e-05,2.9434938626085e-05,2.8726441206572e-05,2.9434938626085e-05,7147383.984487
1764259344000,2.9434938626085e-05,3.032356817876e-05,2.9434938626085e-05,3.032356817876e-05,1805581.327151
1764260039000,3.032356817876e-05,3.032356817876e-05,2.9738708346206e-05,2.9738708346206e-05,3318608.84371
1764261373000,2.9738708346206e-05,3.0503750150112e-05,2.9738708346206e-05,3.0503750150112e-05,3491243.93922
1764261386000,3.0503750150112e-05,3.0829473456865e-05,3.0503750150112e-05,3.0829473456865e-05,3183449.407423
