season,week,regime,judges_save,n_active,n_elim,constraint_applied,consistency_type,consistency_strict,consistency_tie,thr,assignment_feasible,assignment_cost,bottom_gap,judge_choice_match,opt_success,lp_feasible,min_margin,objective
1,1,rank,0,6,0,0,rank_bottomk,,,,1.0,0.0,,,,,,
1,2,rank,0,6,1,1,rank_bottomk,1.0,1.0,10.0,1.0,8.0,0.0,,,,,
1,3,rank,0,5,1,1,rank_bottomk,1.0,1.0,10.0,1.0,0.0,2.0,,,,,
1,4,rank,0,4,1,1,rank_bottomk,1.0,1.0,6.0,1.0,8.0,0.0,,,,,
1,5,rank,0,3,0,0,rank_bottomk,,,,1.0,0.0,,,,,,
1,6,rank,0,2,0,0,rank_bottomk,,,,1.0,0.0,,,,,,
2,1,rank,0,10,1,1,rank_bottomk,1.0,1.0,19.0,1.0,2.0,0.0,,,,,
2,2,rank,0,9,1,1,rank_bottomk,1.0,1.0,17.0,1.0,2.0,0.0,,,,,
2,3,rank,0,8,1,1,rank_bottomk,0.0,1.0,14.0,1.0,8.0,0.0,,,,,
2,4,rank,0,7,1,1,rank_bottomk,1.0,1.0,14.0,1.0,0.0,2.0,,,,,
2,5,rank,0,6,1,1,rank_bottomk,1.0,1.0,12.0,1.0,0.0,2.0,,,,,
2,6,rank,0,5,1,1,rank_bottomk,0.0,1.0,9.0,1.0,2.0,0.0,,,,,
2,7,rank,0,4,1,1,rank_bottomk,1.0,1.0,7.0,1.0,2.0,0.0,,,,,
2,8,rank,0,3,0,0,rank_bottomk,,,,1.0,0.0,,,,,,
3,1,percent,0,11,1,1,percent_bottomk,1.0,1.0,,,,0.007237558454813636,,1.0,True,0.007237558454813636,0.0
3,2,percent,0,10,1,1,percent_bottomk,1.0,1.0,,,,1.000000000001e-06,,1.0,True,1.000000000001e-06,0.00029663754443001603
3,3,percent,0,9,1,1,percent_bottomk,1.0,1.0,,,,1.000000000001e-06,,1.0,True,1.000000000001e-06,0.0009343270281058052
3,4,percent,0,8,1,1,percent_bottomk,1.0,1.0,,,,1.000000000001e-06,,1.0,True,1.000000000001e-06,0.0013321966672540254
3,5,percent,0,6,1,1,percent_bottomk,1.0,1.0,,,,9.999999999732445e-07,,1.0,True,9.999999999732445e-07,0.0013541043444304135
3,6,percent,0,5,0,0,percent_bottomk,,,,,,0.02983616626687635,,1.0,True,,0.0
3,7,percent,0,5,1,1,percent_bottomk,1.0,1.0,,,,0.02439504969402634,,1.0,True,0.02439504969402634,0.0
3,8,percent,0,4,1,1,percent_bottomk,1.0,1.0,,,,0.09286604075945776,,1.0,True,0.09286604075945776,0.0
3,9,percent,0,3,0,0,percent_bottomk,,,,,,0.06928744320009284,,1.0,True,,0.0
3,10,percent,0,2,0,0,percent_bottomk,,,,,,0.32270782357062255,,1.0,True,,0.0
4,1,percent,0,11,0,0,percent_bottomk,,,,,,0.025045584807106128,,1.0,True,,0.0
4,2,percent,0,11,1,1,percent_bottomk,1.0,1.0,,,,0.005098762347638619,,1.0,True,0.005098762347638619,0.0
4,3,percent,0,10,1,1,percent_bottomk,1.0,1.0,,,,1.000000000001e-06,,1.0,True,1.000000000001e-06,0.0006652751969244174
4,4,percent,0,9,1,1,percent_bottomk,1.0,1.0,,,,1.000000000001e-06,,1.0,True,1.000000000001e-06,0.0005479034621290823
4,5,percent,0,8,1,1,percent_bottomk,1.0,1.0,,,,0.04579018083181287,,1.0,True,0.04579018083181287,0.0
4,6,percent,0,7,1,1,percent_bottomk,1.0,1.0,,,,1.000000000001e-06,,1.0,True,1.000000000001e-06,0.0012543174774794896
4,7,percent,0,6,1,1,percent_bottomk,1.0,1.0,,,,1.000000000001e-06,,1.0,True,1.000000000001e-06,0.0010701872232640904
4,8,percent,0,5,1,1,percent_bottomk,1.0,1.0,,,,0.15679781816363172,,1.0,True,0.15679781816363172,0.0
4,9,percent,0,4,1,1,percent_bottomk,1.0,1.0,,,,0.14647133799377055,,1.0,True,0.14647133799377055,0.0
4,10,percent,0,3,0,0,percent_bottomk,,,,,,0.013743398189413725,,1.0,True,,0.0
5,1,percent,0,12,1,1,percent_bottomk,1.0,1.0,,,,0.044728858994762116,,1.0,True,0.044728858994762116,0.0
5,2,percent,0,11,1,1,percent_bottomk,1.0,1.0,,,,1.000000000001e-06,,1.0,True,1.000000000001e-06,0.0030761602001311635
5,3,percent,0,10,1,1,percent_bottomk,1.0,1.0,,,,0.038637425931653965,,1.0,True,0.038637425931653965,0.0
5,4,percent,0,9,1,1,percent_bottomk,1.0,1.0,,,,9.999999999732445e-07,,1.0,True,9.999999999732445e-07,0.00029116574498506823
5,5,percent,0,8,1,1,percent_bottomk,1.0,1.0,,,,1.000000000001e-06,,1.0,True,1.000000000001e-06,4.848882616950046e-05
5,6,percent,0,7,1,1,percent_bottomk,1.0,1.0,,,,9.999999999732445e-07,,1.0,True,9.999999999732445e-07,0.003356828842804544
5,7,percent,0,6,1,1,percent_bottomk,1.0,1.0,,,,0.031935950901557875,,1.0,True,0.031935950901557875,0.0
5,8,percent,0,5,1,1,percent_bottomk,1.0,1.0,,,,1.0000000000287557e-06,,1.0,True,1.0000000000287557e-06,0.01077929833548082
5,9,percent,0,4,1,1,percent_bottomk,1.0,1.0,,,,9.999999999177334e-07,,1.0,True,9.999999999177334e-07,0.02431916687196562
5,10,percent,0,3,0,0,percent_bottomk,,,,,,0.33892830215217984,,1.0,True,,0.0
6,1,percent,0,12,0,0,percent_bottomk,,,,,,0.019878075523144093,,1.0,True,,0.0
6,2,percent,0,12,2,1,percent_bottomk,1.0,1.0,,,,0.022094212822772824,,1.0,True,1.000000000001e-06,0.00014351402580815528
6,3,percent,0,10,1,1,percent_bottomk,1.0,1.0,,,,1.000000000001e-06,,1.0,True,1.000000000001e-06,2.0113899531867618e-05
6,4,percent,0,9,1,1,percent_bottomk,1.0,1.0,,,,0.022571475593745144,,1.0,True,0.022571475593745144,0.0
6,5,percent,0,8,1,1,percent_bottomk,1.0,1.0,,,,0.04097437080119484,,1.0,True,0.04097437080119484,0.0
6,6,percent,0,7,1,1,percent_bottomk,1.0,1.0,,,,0.08809764817683322,,1.0,True,0.08809764817683322,0.0
6,7,percent,0,6,1,1,percent_bottomk,1.0,1.0,,,,1.0000000000287557e-06,,1.0,True,1.0000000000287557e-06,0.0014716839145466534
6,8,percent,0,5,1,1,percent_bottomk,1.0,1.0,,,,9.999999999732445e-07,,1.0,True,9.999999999732445e-07,0.008436814908251548
6,9,percent,0,4,1,1,percent_bottomk,1.0,1.0,,,,0.12041131803469296,,1.0,True,0.12041131803469296,0.0
