season,celebrity_name,avg_judge_score,avg_judge_percent,avg_fan_percent,avg_fan_rank,avg_judge_rank,weeks_survived,ballroom_partner,celebrity_industry,celebrity_age,age_group,industry_group,placement,celebrity_homecountry,is_us
1,Evander Holyfield,15.0,0.13449386781723474,0.161335387799773,4.333333333333333,5.0,3,Edyta Sliwinska,Athlete,42,35-45,Athlete,5,United States,US
1,Joey McIntyre,21.1,0.2180395219563426,0.22426078452881465,2.4,2.8,5,Ashly DelGrosso,Singer/Rapper,32,25-35,Musician,3,United States,US
1,John O'Hurley,24.166666666666668,0.2863856822050214,0.2797780937266146,1.8333333333333333,1.8333333333333333,6,Charlotte Jorgensen,Actor/Actress,50,45-55,Actor/Actress,2,United States,US
1,Kelly Monaco,21.333333333333332,0.2611647983660485,0.26627150095436386,3.1666666666666665,3.1666666666666665,6,Alec Mazo,Actor/Actress,29,25-35,Actor/Actress,1,United States,US
1,Rachel Hunter,23.75,0.22471387381820843,0.2026365597336157,2.5,2.0,4,Jonathan Roberts,Model,35,25-35,Model,4,New Zealand,International
1,Trista Sutter,18.5,0.16108120403366438,0.1539230534681365,5.5,4.5,2,Louis van Amstel,TV Personality,32,25-35,TV Personality,6,United States,US
2,Drew Lachey,27.437475,0.20018704680181554,0.18915259466551557,1.25,1.25,8,Cheryl Burke,Singer/Rapper,29,25-35,Musician,1,United States,US
2,George Hamilton,21.666666666666668,0.1313284889616562,0.1359253464876214,5.5,5.333333333333333,6,Edyta Sliwinska,Actor/Actress,66,55+,Actor/Actress,5,United States,US
2,Giselle Fernandez,23.0,0.11960927960927957,0.10906826573168954,4.333333333333333,3.6666666666666665,3,Jonathan Roberts,News Anchor,44,35-45,TV Personality,8,Mexico,International
2,Jerry Rice,22.520825000000002,0.16517795223782084,0.17421717235947773,4.5,4.75,8,Anna Trebunskaya,Athlete,43,35-45,Athlete,2,United States,US
2,Kenny Mayne,13.0,0.0666666666666666,0.0889423192803061,10.0,9.0,1,Andrea Hale,Sports Broadcaster,46,45-55,TV Personality,10,United States,US
2,Lisa Rinna,24.071428571428573,0.16110426444239367,0.15277619336926973,4.285714285714286,4.142857142857143,7,Louis van Amstel,Actor/Actress,42,35-45,Actor/Actress,4,United States,US
2,Master P,12.5,0.06727361246348584,0.1059143170897227,7.5,8.5,4,Ashly DelGrosso,Singer/Rapper,35,25-35,Musician,7,United States,US
2,Stacy Keibler,27.520812499999998,0.20056213646976576,0.18928674355833186,2.125,2.125,8,Tony Dovolani,Athlete,26,25-35,Athlete,3,United States,US
2,Tatum O'Neal,20.0,0.10147435897435896,0.1031855347960142,6.0,5.5,2,Nick Kosovich,Actor/Actress,42,35-45,Actor/Actress,9,United States,US
2,Tia Carrere,23.0,0.13186889155218434,0.1295174056792973,5.0,5.0,5,Maksim Chmerkoskiy,Actor/Actress,39,35-45,Actor/Actress,6,United States,US
3,Emmitt Smith,25.76666,0.20837414780431013,0.28993876953288955,2.2,2.6,10,Cheryl Burke,Athlete,37,35-45,Athlete,1,United States,US
3,Harry Hamlin,20.0,0.09259107343602828,0.0554357826101396,8.333333333333334,6.333333333333333,3,Ashly DelGrosso,Actor/Actress,54,45-55,Actor/Actress,9,United States,US
3,Jerry Springer,20.428571428571427,0.11802145836763005,0.10270807582356044,5.571428571428571,7.142857142857143,7,Kym Johnson,TV Personality,62,55+,TV Personality,5,England,International
3,Joey Lawrence,25.88888888888889,0.17793884820314096,0.17663857610517902,3.0,3.2222222222222223,9,Edyta Sliwinska,Actor/Actress,30,25-35,Actor/Actress,3,United States,US
3,Mario Lopez,26.866660000000003,0.21553587339218602,0.21507201277299406,2.5,2.8,10,Karina Smirnoff,Actor/Actress,32,25-35,Actor/Actress,2,United States,US
3,Monique Coleman,24.9375,0.15518985182521075,0.1297660708506488,4.0,3.625,8,Louis van Amstel,Actor/Actress,25,Under 25,Actor/Actress,4,United States,US
3,Sara Evans,20.25,0.0959605281693058,0.06430490004265087,7.75,7.5,4,Tony Dovolani,Singer/Rapper,35,25-35,Musician,6,United States,US
3,Shanna Moakler,20.0,0.0902789171452009,0.0395246341354232,9.5,6.5,2,Jesse DeSoto,Model,31,25-35,Model,10,United States,US
3,Tucker Carlson,12.0,0.0566037735849056,0.0318570621379447,10.0,11.0,1,Elena Grinenko,TV Personality,37,35-45,TV Personality,11,United States,US
3,Vivica A. Fox,24.25,0.1149420787033584,0.10667745834442595,4.75,3.75,4,Nick Kosovich,Actor/Actress,42,35-45,Actor/Actress,8,United States,US
3,Willa Ford,24.4,0.12012783805494971,0.12838335652738392,4.6,4.4,5,Maksim Chmerkoskiy,Singer/Rapper,25,Under 25,Musician,7,United States,US
4,Apolo Anton Ohno,26.883319999999998,0.178011794399143,0.24848295507293122,2.0,2.2,10,Julianne Hough,Athlete,24,Under 25,Athlete,1,United States,US
4,Billy Ray Cyrus,19.0,0.10627122028678884,0.0707991305583549,6.625,6.5,8,Karina Smirnoff,Singer/Rapper,45,35-45,Musician,5,United States,US
