season,week,regime,judges_save,celebrity_name,judge_total,judge_percent,judge_rank,prior_p0,p_est,fan_rank,combined_metric,eliminated_this_week,in_bottom2,judge_choice_match,p_min,p_max,p_width,certainty_score
1,1,rank,0,Evander Holyfield,18.0,0.1651376146788991,4,0.16552998188218546,0.16552998147089715,4,8.0,0,,,,,,
1,1,rank,0,Joey McIntyre,20.0,0.1834862385321101,1,0.1748971714270499,0.1748971711673843,1,2.0,0,,,,,,
1,1,rank,0,John O'Hurley,20.0,0.1834862385321101,2,0.1748971714270499,0.1748971713422815,2,4.0,0,,,,,,
1,1,rank,0,Kelly Monaco,13.0,0.11926605504587157,6,0.14424852195447935,0.14424852202881414,6,12.0,0,,,,,,
1,1,rank,0,Rachel Hunter,20.0,0.1834862385321101,3,0.1748971714270499,0.17489717169207583,3,6.0,0,,,,,,
1,1,rank,0,Trista Sutter,18.0,0.1651376146788991,5,0.16552998188218546,0.16552998229854704,5,10.0,0,,,,,,
1,2,rank,0,Evander Holyfield,14.0,0.11570247933884298,6,0.14231612427531637,0.16109878531577518,4,10.0,0,,,,,,
1,2,rank,0,Joey McIntyre,21.0,0.17355371900826447,3,0.16928852868652208,0.16928852844046322,3,6.0,0,,,,,,
1,2,rank,0,John O'Hurley,26.0,0.21487603305785125,1,0.19163096623855694,0.19163096615165454,1,2.0,0,,,,,,
1,2,rank,0,Kelly Monaco,17.0,0.14049586776859505,5,0.1533052414060842,0.15330524148986732,5,10.0,0,,,,,,
1,2,rank,0,Rachel Hunter,24.0,0.19834710743801653,2,0.1823603536824913,0.18236035396451372,2,4.0,0,,,,,,
1,2,rank,0,Trista Sutter,19.0,0.15702479338842976,4,0.16109878571102912,0.14231612463772608,6,10.0,1,,,,,,
1,3,rank,0,Evander Holyfield,13.0,0.12264150943396226,5,0.15737739694853997,0.15737739661264685,5,10.0,1,,,,,,
1,3,rank,0,Joey McIntyre,22.0,0.20754716981132076,3,0.20303202073014257,0.20303202049984,3,6.0,0,,,,,,
1,3,rank,0,John O'Hurley,24.0,0.22641509433962265,2,0.21485587999929381,0.21485587997043518,2,4.0,0,,,,,,
1,3,rank,0,Kelly Monaco,21.0,0.19811320754716982,4,0.1973663837471523,0.19736638391800918,4,8.0,0,,,,,,
1,3,rank,0,Rachel Hunter,26.0,0.24528301886792453,1,0.2273683185748714,0.22736831899906876,1,2.0,0,,,,,,
1,4,rank,0,Joey McIntyre,20.0,0.21739130434782608,4,0.22592039393103533,0.26592815405959636,2,6.0,0,,,,,,
1,4,rank,0,John O'Hurley,21.0,0.22826086956521738,3,0.2334087932254174,0.2334087931178964,3,6.0,0,,,,,,
1,4,rank,0,Kelly Monaco,26.0,0.2826086956521739,1,0.27474265839552153,0.27474265854370256,1,2.0,0,,,,,,
1,4,rank,0,Rachel Hunter,25.0,0.2717391304347826,2,0.2659281544480257,0.22592039427880467,4,6.0,1,,,,,,
1,5,rank,0,Joey McIntyre,22.5,0.3082191780821918,3,0.30815804878893144,0.30815804847678957,3,6.0,0,,,,,,
1,5,rank,0,John O'Hurley,27.0,0.3698630136986301,1,0.3707560516568129,0.37075605165201986,1,2.0,0,,,,,,
1,5,rank,0,Kelly Monaco,23.5,0.3219178082191781,2,0.32108589955425565,0.3210858998711906,2,4.0,0,,,,,,
1,6,rank,0,John O'Hurley,27.0,0.4954128440366973,2,0.4931197003753531,0.4931197001254004,2,4.0,0,,,,,,
1,6,rank,0,Kelly Monaco,27.5,0.5045871559633027,1,0.5068802996246469,0.5068802998745996,1,2.0,0,,,,,,
2,1,rank,0,Drew Lachey,24.0,0.12307692307692308,1,0.10697588623229659,0.10697588575284575,1,2.0,0,,,,,,
2,1,rank,0,George Hamilton,18.0,0.09230769230769231,8,0.09754323878748013,0.09754323844784836,8,16.0,0,,,,,,
2,1,rank,0,Giselle Fernandez,23.0,0.11794871794871795,2,0.10534269856191171,0.10534269830046597,2,4.0,0,,,,,,
2,1,rank,0,Jerry Rice,21.0,0.1076923076923077,5,0.10215074358642337,0.10215074343505036,5,10.0,0,,,,,,
2,1,rank,0,Kenny Mayne,13.0,0.06666666666666667,9,0.09032124260192008,0.08894231928030615,10,19.0,1,,,,,,
2,1,rank,0,Lisa Rinna,19.0,0.09743589743589744,7,0.09905550700437504,0.09905550705569977,7,14.0,0,,,,,,
2,1,rank,0,Master P,12.0,0.06153846153846154,10,0.08894231932316381,0.09032124273904049,9,19.0,0,,,,,,
2,1,rank,0,Stacy Keibler,22.0,0.11282051282051282,4,0.10373444456640106,0.10373444482761904,4,8.0,0,,,,,,
2,1,rank,0,Tatum O'Neal,23.0,0.11794871794871795,3,0.10534269856191171,0.10534269893252217,3,6.0,0,,,,,,
2,1,rank,0,Tia Carrere,20.0,0.10256410256410256,6,0.10059122077411664,0.10059122122860198,6,12.0,0,,,,,,
2,2,rank,0,Drew Lachey,27.0,0.135,2,0.1191521647864481,0.11915216431638039,2,4.0,0,,,,,,
2,2,rank,0,George Hamilton,22.0,0.11,5,0.11054264476257361,0.11054264443701396,5,10.0,0,,,,,,
2,2,rank,0,Giselle Fernandez,24.0,0.12,3,0.11390916949080696,0.1139091692692417,3,6.0,0,,,,,,
2,2,rank,0,Jerry Rice,23.0,0.115,4,0.11221328289566285,0.11221328278960954,4,8.0,0,,,,,,
2,2,rank,0,Lisa Rinna,20.0,0.1,7,0.10727561587647895,0.10727561588236789,7,14.0,0,,,,,,
2,2,rank,0,Master P,16.0,0.08,9,0.10102837035087521,0.10255521874819383,8,17.0,0,,,,,,
2,2,rank,0,Stacy Keibler,29.0,0.145,1,0.12278088843457202,0.12278088868687392,1,2.0,0,,,,,,
2,2,rank,0,Tatum O'Neal,17.0,0.085,8,0.10255521864000879,0.10102837065950634,9,17.0,1,,,,,,
