ballroom_partner,avg_judge_score_mean,avg_judge_score_std,avg_judge_score_count,avg_fan_percent_mean,avg_fan_percent_std,weeks_survived_mean,weeks_survived_std,placement_mean,season_min,season_max,season_nunique
Allison Holker,29.398,4.902,4,0.102,0.047,7.0,2.582,7.25,19,23,4
Valentin Chmerkovskiy,28.71,5.721,19,0.124,0.047,8.263,2.725,5.263,13,32,19
Derek Hough,28.705,3.572,17,0.181,0.042,9.647,0.996,2.941,5,23,17
Witney Carson,28.086,4.409,14,0.11,0.045,7.643,3.079,5.5,18,33,14
Sasha Farber,27.813,3.558,12,0.105,0.027,7.917,2.61,6.083,17,33,12
Daniella Karagach,27.629,3.508,5,0.107,0.021,8.8,2.683,4.6,29,33,5
Mark Ballas,27.112,5.031,21,0.125,0.049,7.905,3.081,5.19,5,34,21
Artem Chigvintsev,26.806,6.216,12,0.079,0.033,6.75,3.279,7.417,19,32,12
Sharna Burgess,25.95,5.649,14,0.115,0.06,6.786,3.215,6.571,16,30,14
Alan Bersten,25.756,5.988,9,0.099,0.036,6.889,3.689,6.111,25,33,9
Lindsay Arnold,25.609,4.363,10,0.128,0.048,7.9,3.071,5.4,16,30,10
Maksim Chmerkoskiy,25.108,4.09,17,0.126,0.057,7.059,2.883,6.0,2,25,17
Gleb Savchenko,24.701,5.204,13,0.076,0.031,5.769,3.244,8.462,16,34,13
Brandon Armstrong,24.422,5.616,8,0.089,0.02,5.5,2.33,9.125,27,34,8
Cheryl Burke,24.351,3.971,25,0.131,0.063,7.56,2.755,5.8,2,31,25
Peta Murgatroyd,24.071,5.738,15,0.092,0.036,6.733,3.058,7.4,13,32,15
Jenna Johnson,23.955,7.731,9,0.108,0.065,6.222,3.528,6.444,23,34,9
Rylee Arnold,23.87,2.752,3,0.106,0.024,8.0,1.732,6.667,32,34,3
Emma Slater,23.755,6.032,16,0.077,0.044,6.125,3.575,7.938,17,33,16
Julianne Hough,23.561,3.432,5,0.158,0.075,8.2,2.49,4.2,4,8,5
Kym Johnson,22.799,4.153,14,0.107,0.058,6.643,3.201,6.286,3,20,14
Karina Smirnoff,22.565,4.644,18,0.099,0.053,6.5,3.034,6.722,3,22,18
Pasha Pashkov,22.332,5.727,7,0.085,0.025,5.286,3.638,10.429,28,34,7
Louis van Amstel,22.306,3.123,11,0.103,0.047,5.909,2.468,7.0,1,31,11
Dmitry Chaplin,22.294,5.671,3,0.101,0.063,6.333,3.215,7.0,8,12,3
Tony Dovolani,22.262,4.893,21,0.078,0.051,5.524,2.874,7.667,2,22,21
Chelsie Hightower,21.739,3.827,7,0.079,0.03,6.143,2.854,7.286,8,15,7
Keo Motsepe,21.689,4.778,9,0.056,0.057,3.889,2.759,9.889,19,29,9
Anna Trebunskaya,21.057,2.615,11,0.074,0.047,4.909,2.587,8.182,2,21,11
Alec Mazo,20.727,3.018,5,0.092,0.103,3.8,2.168,8.4,1,9,5
Jonathan Roberts,20.667,3.535,7,0.081,0.067,4.0,3.109,8.714,1,9,7
Lacey Schwimmer,20.636,4.672,6,0.107,0.058,6.833,2.994,6.167,7,13,6
Britt Stewart,20.388,7.24,6,0.081,0.016,5.0,3.578,10.0,29,34,6
Tristan MacManus,19.925,2.091,5,0.067,0.04,4.0,3.082,9.6,13,17,5
Edyta Sliwinska,19.397,4.847,11,0.094,0.061,5.273,3.228,7.545,1,22,11
Ashly DelGrosso,16.65,4.53,4,0.103,0.087,3.75,0.957,7.25,1,10,4
